지역,연령별,성별,중등도 신체활동 실천
노원구,계,남,15.7
노원구,계,여,15.8
노원구,19~44,계,11.3
노원구,19~44,남,9.2
노원구,19~44,여,12.9
노원구,45~64,계,20.7
노원구,45~64,남,21.5
노원구,45~64,여,20.2
노원구,65~74,계,17.4
노원구,65~74,남,18.3
노원구,65~74,여,16.9
노원구,75 이상,계,8.5
노원구,75 이상,남,11.9
노원구,75 이상,여,6.7
강북구,계,계,6.5
강북구,계,남,9.7
강북구,계,여,4.2
강북구,19~44,계,9.4
강북구,19~44,남,14.0
강북구,19~44,여,5.6
강북구,45~64,계,8.1
강북구,45~64,남,13.2
강북구,45~64,여,4.2
강북구,65~74,계,3.5
강북구,65~74,남,1.7
강북구,65~74,여,4.7
강북구,75 이상,계,2.4
강북구,75 이상,남,4.2
강북구,75 이상,여,1.0
중구,계,계,9.4
중구,계,남,9.8
중구,계,여,9.1
중구,19~44,계,8.2
중구,19~44,남,11.4
중구,19~44,여,4.9
중구,45~64,계,12.2
중구,45~64,남,9.4
중구,45~64,여,14.7
중구,65~74,계,10.3
중구,65~74,남,7.7
중구,65~74,여,12.7
중구,75 이상,계,4.6
중구,75 이상,남,5.0
중구,75 이상,여,4.4
용산구,계,계,12.7
용산구,계,남,15.1
용산구,계,여,10.7
용산구,19~44,계,8.4
용산구,19~44,남,13.4
용산구,19~44,여,4.1
용산구,45~64,계,13.8
용산구,45~64,남,12.4
용산구,45~64,여,15.2
용산구,65~74,계,18.9
용산구,65~74,남,27.5
용산구,65~74,여,13.2
용산구,75 이상,계,12.9
용산구,75 이상,남,15.7
용산구,75 이상,여,10.6
송파구,계,계,11.8
송파구,계,남,15.2
송파구,계,여,9.2
송파구,19~44,계,7.1
송파구,19~44,남,10.5
송파구,19~44,여,4.1
송파구,45~64,계,14.5
송파구,45~64,남,16.1
송파구,45~64,여,13.3
송파구,65~74,계,16.9
송파구,65~74,남,28.3
송파구,65~74,여,9.6
송파구,75 이상,계,11.3
송파구,75 이상,남,17.9
송파구,75 이상,여,5.9
성동구,계,계,13.2
성동구,계,남,14.7
성동구,계,여,12.0
성동구,19~44,계,11.4
성동구,19~44,남,15.5
성동구,19~44,여,8.2
성동구,45~64,계,15.6
성동구,45~64,남,11.7
성동구,45~64,여,18.5
성동구,65~74,계,12.6
성동구,65~74,남,15.3
성동구,65~74,여,10.0
성동구,75 이상,계,9.7
성동구,75 이상,남,15.8
성동구,75 이상,여,5.5
서초구,계,계,13.3
서초구,계,남,16.0
서초구,계,여,11.3
서초구,19~44,계,11.2
서초구,19~44,남,14.5
서초구,19~44,여,8.4
서초구,45~64,계,11.7
서초구,45~64,남,14.1
서초구,45~64,여,9.9
서초구,65~74,계,16.2
서초구,65~74,남,12.5
서초구,65~74,여,19.0
서초구,75 이상,계,14.6
서초구,75 이상,남,25.7
서초구,75 이상,여,6.4
동대문구,계,계,6.2
동대문구,계,남,7.2
동대문구,계,여,5.4
동대문구,19~44,계,2.8
동대문구,19~44,남,5.4
동대문구,19~44,여,0.6
동대문구,45~64,계,7.9
동대문구,45~64,남,9.1
동대문구,45~64,여,6.9
동대문구,65~74,계,10.7
동대문구,65~74,남,6.8
동대문구,65~74,여,13.9
동대문구,75 이상,계,4.1
동대문구,75 이상,남,4.4
동대문구,75 이상,여,3.8
광진구,계,계,12.9
광진구,계,남,12.5
광진구,계,여,13.2
광진구,19~44,계,11.9
광진구,19~44,남,13.0
광진구,19~44,여,10.9
광진구,45~64,계,14.2
광진구,45~64,남,11.2
광진구,45~64,여,16.7
광진구,65~74,계,16.8
광진구,65~74,남,15.4
광진구,65~74,여,18.0
광진구,75 이상,계,1.6
광진구,75 이상,남,3.4
광진구,75 이상,여,0.0
강동구,계,계,11.5
강동구,계,남,12.6
강동구,계,여,10.7
강동구,19~44,계,11.6
강동구,19~44,남,12.9
강동구,19~44,여,10.5
강동구,45~64,계,11.8
강동구,45~64,남,11.1
강동구,45~64,여,12.4
강동구,65~74,계,13.2
강동구,65~74,남,13.0
강동구,65~74,여,13.4
강동구,75 이상,계,10.0
강동구,75 이상,남,14.3
강동구,75 이상,여,5.7
강남구,계,계,10.6
강남구,계,남,11.5
강남구,계,여,10.0
강남구,19~44,계,10.2
강남구,19~44,남,11.2
강남구,19~44,여,9.5
강남구,45~64,계,9.5
강남구,45~64,남,9.0
강남구,45~64,여,9.8
강남구,65~74,계,20.7
강남구,65~74,남,21.9
강남구,65~74,여,20.0
강남구,75 이상,계,10.0
강남구,75 이상,남,22.7
강남구,75 이상,여,2.6
