기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2013	서초구	131	-	15,820.5	-	-	-	120	-	15,025.6	84	134.9	3	8.6	26	-	1,728.0	6	-	13,026.3	1	127.8	-	-	-	-	-	-	-	-	-	-	-	-	11	-	794.9
2013	강남구	137	2	6,207.1	-	-	-	123	2	4,916.6	62	99	7	7.1	52	-	2,251.1	-	2	2,449.8	-	-	1	34	-	-	1	75.6	-	-	-	-	-	-	14	-	1,290.5
2013	송파구	144	1	4,264.0	-	-	-	133	-	1,658.3	82	136.9	2	1.9	49	-	1,519.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	1	2,605.6
2013	강동구	130	1	3,003.3	-	-	-	121	1	2,461.1	68	147.1	22	29.8	24	-	1,397.9	1	1	713.4	-	-	1	1.8	1	15.1	1	110.2	3	45.6	-	-	-	-	9	-	542.2
2013	서울대공원	1	1	9,132.8	-	-	-	1	1	9,132.8	-	-	-	-	1	-	6,670.0	-	1	2,462.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2014	합계	2,811	33	167,646.9	1	5	37,345.0	2,162	25	114,438.1	1,294	2,236.8	372	487	399	13	44,890.1	20	12	63,101.1	4	2,377.9	42	614.9	4	133.4	14	439.6	9	98.4	1	51.5	3	7.3	648	3	15,863.8
2014	종로구	114	2	11,575.4	-	1	4,998.0	75	1	6,450.5	28	65.1	16	17.5	23	-	2,511.8	2	1	3,734.1	-	-	4	12.7	-	-	2	109.4	-	-	-	-	-	-	39	-	126.9
2014	중구	71	2	3,134.0	-	-	-	60	2	3,084.4	18	37.2	28	25.1	7	2	1,178.1	1	-	1,785.1	-	-	3	5.8	1	29.7	2	23.4	-	-	-	-	-	-	11	-	49.6
2014	용산구	101	1	1,796.0	-	-	-	64	1	783.3	23	45.1	28	41	8	1	627.6	-	-	-	-	-	1	43.4	-	-	3	23.9	-	-	-	-	1	2.4	37	-	1,012.6
2014	성동구	81	1	3,061.7	-	-	-	59	1	1,220.1	34	57.1	13	10.6	9	1	1,056.7	-	-	-	-	-	1	90.4	1	2.8	-	-	-	-	-	-	1	2.5	22	-	1,841.7
2014	광진구	56	2	3,396.2	-	-	-	42	1	2,950.0	35	38.4	4	5.2	2	-	561.9	-	1	2,307.1	-	-	-	-	-	-	1	37.4	-	-	-	-	-	-	14	1	446.1
2014	동대문구	99	1	1,279.5	-	-	-	83	1	1,037.4	44	85.1	25	31.9	12	1	914	-	-	-	-	-	-	-	-	-	1	3.9	-	-	-	-	1	2.4	16	-	242.1
2014	중랑구	103	-	5,231.7	-	-	-	67	-	5,050.4	46	64.2	9	18.8	10	-	1,334.0	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	-	-	36	-	181.3
2014	성북구	130	5	8,391.2	-	1	3,864.0	77	4	4,468.8	41	107.3	22	24.3	11	3	2,057.4	1	1	2,276.2	-	-	1	1.9	-	-	-	-	1	1.8	-	-	-	-	53	-	58.4
2014	강북구	83	1	14,337.6	1	-	11,899.0	63	1	2,280.2	44	76.2	13	10.3	3	-	2,049.7	-	1	129.4	-	-	3	14.7	-	-	-	-	-	-	-	-	-	-	19	-	158.4
2014	도봉구	80	2	10,069.6	-	1	8,703.0	52	1	1,151.2	39	50	9	12.3	2	1	1,003.6	-	-	-	-	-	-	-	1	33.8	-	-	-	-	1	51.5	-	-	28	-	215.4
2014	노원구	178	-	14,163.0	-	-	-	129	-	13,850.0	96	174.1	1	1.8	25	-	1,535.9	2	-	12,024.3	-	-	4	46.9	1	67.1	-	-	-	-	-	-	-	-	49	-	313
2014	은평구	137	3	14,024.3	-	1	7,663.0	100	2	6,254.6	47	92.9	23	41.1	25	1	2,715.0	2	1	3,340.3	-	-	3	65.3	-	-	-	-	-	-	-	-	-	-	37	-	106.7
2014	서대문구	120	3	5,136.2	-	1	218	81	2	4,901.3	47	101.9	21	16	9	-	1,322.6	1	2	3,449.5	-	-	3	11.3	-	-	-	-	-	-	-	-	-	-	39	-	16.9
2014	마포구	152	-	4,404.1	-	-	-	102	-	3,080.4	58	97.7	23	42.3	12	-	2,897.5	-	-	-	1	13.2	7	24.9	-	-	1	4.8	-	-	-	-	-	-	50	-	1,323.7
2014	양천구	119	1	2,906.1	-	-	-	101	1	2,483.5	73	126.4	9	19.7	18	-	1,115.9	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	-	-	-	-	18	-	422.6
2014	강서구	167	-	4,341.3	-	-	-	156	-	3,257.9	123	186.1	4	3	23	-	3,044.6	-	-	-	-	-	6	24.2	-	-	-	-	-	-	-	-	-	-	11	-	1,083.4
2014	구로구	90	1	3,156.2	-	-	-	50	1	2,834.9	24	47.8	10	19.3	13	1	1,079.0	2	-	1,685.4	-	-	1	3.3	-	-	-	-	-	-	-	-	-	-	40	-	321.2
2014	금천구	51	1	2,189.5	-	-	-	44	1	2,030.3	41	41.4	-	-	3	-	33.4	-	1	1,955.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	159.2
2014	영등포구	120	-	3,063.6	-	-	-	85	-	718.6	33	95.3	40	56.5	11	-	563.8	-	-	-	-	-	-	-	-	-	1	3	-	-	-	-	-	-	35	-	2,345.0
