지역,연령별,성별,주관적 건강수준
노원구,계,남,37.9
노원구,계,여,31.3
노원구,19~44,계,50.7
노원구,19~44,남,55.5
노원구,19~44,여,47.2
노원구,45~64,계,34.2
노원구,45~64,남,38.0
노원구,45~64,여,31.8
노원구,65~74,계,16.1
노원구,65~74,남,15.0
노원구,65~74,여,16.9
노원구,75 이상,계,18.8
노원구,75 이상,남,19.0
노원구,75 이상,여,18.7
강북구,계,계,32.4
강북구,계,남,36.0
강북구,계,여,29.6
강북구,19~44,계,53.5
강북구,19~44,남,54.4
강북구,19~44,여,52.8
강북구,45~64,계,28.7
강북구,45~64,남,34.9
강북구,45~64,여,24.0
강북구,65~74,계,21.7
강북구,65~74,남,24.1
강북구,65~74,여,20.0
강북구,75 이상,계,16.1
강북구,75 이상,남,19.2
강북구,75 이상,여,13.7
중구,계,계,43.6
중구,계,남,46.9
중구,계,여,40.5
중구,19~44,계,68.9
중구,19~44,남,71.0
중구,19~44,여,66.7
중구,45~64,계,35.5
중구,45~64,남,36.5
중구,45~64,여,34.7
중구,65~74,계,24.3
중구,65~74,남,26.9
중구,65~74,여,21.8
중구,75 이상,계,13.0
중구,75 이상,남,22.5
중구,75 이상,여,7.4
용산구,계,계,49.3
용산구,계,남,52.5
용산구,계,여,46.6
용산구,19~44,계,71.3
용산구,19~44,남,79.5
용산구,19~44,여,64.2
용산구,45~64,계,50.3
용산구,45~64,남,48.4
용산구,45~64,여,52.1
용산구,65~74,계,34.6
용산구,65~74,남,35.3
용산구,65~74,여,34.2
용산구,75 이상,계,21.3
용산구,75 이상,남,22.9
용산구,75 이상,여,20.0
송파구,계,계,44.1
송파구,계,남,48.5
송파구,계,여,40.7
송파구,19~44,계,53.5
송파구,19~44,남,56.7
송파구,19~44,여,50.8
송파구,45~64,계,40.3
송파구,45~64,남,41.6
송파구,45~64,여,39.4
송파구,65~74,계,38.2
송파구,65~74,남,50.9
송파구,65~74,여,30.1
송파구,75 이상,계,25.8
송파구,75 이상,남,32.1
송파구,75 이상,여,20.6
성동구,계,계,34.4
성동구,계,남,36.8
성동구,계,여,32.5
성동구,19~44,계,46.4
성동구,19~44,남,48.4
성동구,19~44,여,44.9
성동구,45~64,계,28.3
성동구,45~64,남,29.9
성동구,45~64,여,27.0
성동구,65~74,계,29.4
성동구,65~74,남,32.2
성동구,65~74,여,26.7
성동구,75 이상,계,18.3
성동구,75 이상,남,21.1
성동구,75 이상,여,16.4
서초구,계,계,55.7
서초구,계,남,61.3
서초구,계,여,51.3
서초구,19~44,계,71.6
서초구,19~44,남,73.0
서초구,19~44,여,70.4
서초구,45~64,계,51.5
서초구,45~64,남,53.5
서초구,45~64,여,50.0
서초구,65~74,계,40.5
서초구,65~74,남,58.3
서초구,65~74,여,27.0
서초구,75 이상,계,32.9
서초구,75 이상,남,48.6
서초구,75 이상,여,21.3
동대문구,계,계,35.7
동대문구,계,남,44.0
동대문구,계,여,28.8
동대문구,19~44,계,44.3
동대문구,19~44,남,50.0
동대문구,19~44,여,39.4
동대문구,45~64,계,31.8
