,관리번호,공원명,위도,경도,공원면적,자치구
8226,11710-00099,영풍,37.495077,127.142517,1500.4,송파구
8227,11710-00100,옛동산,37.509534,127.115877,1266.3,송파구
8228,11710-00101,오동나무,37.506227,127.133895,1500.0,송파구
8320,11680-00133,대치에스케이뷰1 소공원,,,302.0,강남구
8332,11650-00103,햇 님,37.479935,126.993462,2119.1,서초구
8333,11650-00104,소라,37.478422,127.0030298,1782.4,서초구
8334,11650-00105,원지,37.454441,127.055803,1938.0,서초구
8335,11650-00106,언남,37.463807,127.054721,306.0,서초구
8336,11650-00107,느티나무,37.463821,127.054454,396.0,서초구
8337,11650-00108,오솔길,37.503183,127.007917,2802.8,서초구
8338,11650-00109,큰마을,37.465521,127.016442,1964.4,서초구
8339,11650-00110,솔말,37.462524,127.016442,2720.0,서초구
8340,11650-00111,달님,37.479935,126.993464,259.5,서초구
8341,11650-00112,우면,37.465212,127.016442,21609.1,서초구
8342,11650-00113,서초종합체육공원,37.45859,127.04238,20923.0,서초구
8343,11650-00114,우면생태놀이터,37.47335,127.02917,3426.3,서초구
8344,11650-00073,나  리,37.504209,126.987332,4155.0,서초구
8345,11650-00074,만  남,37.502071,126.984721,2965.0,서초구
8346,11650-00075,푸  른,37.500849,126.989554,1851.0,서초구
8347,11650-00076,초  롱,37.499605,126.987471,2575.0,서초구
8348,11650-00077,한  수,37.503173,126.928324,4400.0,서초구
8349,11650-00078,파랑새,37.505076,126.994807,4188.3,서초구
8350,11650-00079,반  원,37.509143,127.003665,6020.9,서초구
8351,11650-00080,장  미,37.560492,126.991324,4083.0,서초구
8352,11650-00081,비  석,37.478686,127.044123,1500.6,서초구
8353,11650-00082,구  룡,37.471593,127.048481,1651.3,서초구
8354,11650-00083,교  대,37.494444,127.011667,993.2,서초구
8355,11650-00084,코  아,37.508949,127.004109,1717.0,서초구
8356,11650-00085,미  도,37.503268,127.020397,988.3,서초구
8357,11650-00086,개  뜰,37.473958,127.041165,1530.4,서초구
8358,11650-00087,버  들,37.472382,127.045688,1487.4,서초구
8359,11650-00088,샛  별,37.470256,127.044645,1500.1,서초구
8360,11650-00089,두둑재,37.467965,127.044123,1703.8,서초구
8361,11650-00090,횃  불,37.478324,127.037494,1496.9,서초구
8362,11650-00091,용  말,37.462934,127.034764,1994.5,서초구
8363,11650-00092,새  터,37.508053,127.006799,1100.0,서초구
8364,11650-00093,늘푸른,37.508264,127.005522,1600.0,서초구
8365,11650-00094,아  름,37.507375,127.004771,1100.0,서초구
8366,11650-00095,바우뫼,37.474686,127.034467,2023.7,서초구
8367,11650-00096,동  문,37.472658,127.026745,1515.2,서초구
8368,11650-00097,효  자,37.4734814,127.0244176,2481.0,서초구
8369,11650-00098,능안,37.454423,127.065671,1156.0,서초구
8370,11650-00099,효령,37.483619,126.988386,1432.8,서초구
8371,11650-00100,새싹,37.487687,127.017427,840.0,서초구
8372,11650-00101,섶다리,37.465522,127.016442,1729.5,서초구
8373,11650-00102,샛말,37.462521,127.016442,1644.7,서초구
8374,11650-00043,상명달,37.482222,127.005556,991.5,서초구
8375,11650-00044,궁  현,37.488406,127.010358,985.5,서초구
8376,11650-00045,하명달,37.485809,127.005439,991.9,서초구
8377,11650-00046,당  골,37.485421,127.022497,1616.2,서초구
8378,11650-00047,고무래,37.520352,127.015402,5506.9,서초구
8379,11650-00048,싸리재,37.513326,127.018203,991.9,서초구
8380,11650-00049,주  흥,37.512121,127.016698,959.2,서초구
8381,11650-00050,언구비,37.508909,127.020207,1031.9,서초구
8382,11650-00051,청  룡,37.495845,126.999709,945.1,서초구
8383,11650-00052,서  래,37.501571,127.060341,997.1,서초구
8384,11650-00053,종  열,37.474017,127.033702,847.8,서초구
8385,11650-00054,암산,37.473186,127.025606,1506.0,서초구
8386,11650-00055,성형촌,37.466827,127.019774,2167.0,서초구
8387,11650-00056,식유촌,37.458785,127.013279,1009.0,서초구
8388,11650-00057,송동,37.460981,127.051614,1042.0,서초구
8389,11650-00058,세원,37.4565925,127.049922,1369.0,서초구
8390,11650-00059,본마을,37.673707,126.874318,1234.0,서초구
8391,11650-00060,원터,37.443583,127.055235,553.0,서초구
8392,11650-00061,청계숲,37.447445,127.0579927,1470.0,서초구
8393,11650-00062,새쟁이,37.435533,127.068669,1586.0,서초구
8394,11650-00063,염곡,37.462312,127.054382,1318.0,서초구
8395,11650-00064,안골,37.638928,126.804427,1192.0,서초구
8396,11650-00065,홍씨마을,37.455311,127.065666,1461.0,서초구
8397,11650-00066,아랫샘,37.460744,127.072234,1059.0,서초구
8398,11650-00067,윗샘,37.458355,127.071658,1084.0,서초구
