기간	구분	행정구역면적(㎡)	공원면적(㎡)	공원면적(㎡)	조성면적(㎡)	미조성면적(㎡)
기간	구분	행정구역면적(㎡)	합계	공원율(%)	조성면적(㎡)	미조성면적(㎡)
2013	광진구	17,062,332	3,395,585	19.9	3,355,816	39,769
2013	동대문구	14,210,791	1,234,480	8.69	1,129,394	105,086
2013	중랑구	18,497,206	5,230,686	28.28	5,152,016	78,670
2013	성북구	24,578,177	8,391,240	34.14	8,149,755	241,485
2013	강북구	23,597,084	14,336,569	60.76	14,162,081	174,488
2013	도봉구	20,702,811	10,059,219	48.59	10,020,765	38,454
2013	노원구	35,435,822	14,163,445	39.97	13,680,511	482,934
2013	은평구	29,702,018	14,031,235	47.24	10,981,994	3,049,241
2013	서대문구	17,607,427	5,136,224	29.17	4,992,544	143,680
2013	마포구	23,837,680	4,808,774	20.17	4,412,223	396,551
2013	양천구	17,403,553	2,906,057	16.7	1,879,284	1,026,773
2013	강서구	41,427,231	4,323,955	10.44	3,270,157	1,053,797
2013	구로구	20,118,739	3,189,424	15.85	1,264,840	1,924,584
2013	금천구	13,016,508	2,189,460	16.82	2,175,172	14,288
2013	영등포구	24,528,725	3,089,653	12.6	2,957,206	132,446
2013	동작구	16,353,871	4,630,492	28.31	4,569,629	60,864
2013	관악구	29,569,671	10,975,519	37.12	10,866,277	109,242
2013	서초구	47,001,798	15,820,544	33.66	4,755,583	11,064,961
2013	강남구	39,500,873	6,207,128	15.71	3,016,547	3,190,581
2013	송파구	33,874,808	4,263,955	12.59	4,185,078	78,877
2013	강동구	24,587,197	3,003,307	12.21	2,621,891	381,416
2013	서울대공원	-	9,132,803	-	9,132,803	-
2014	합계	605,209,947	167,646,904	27.7	145,601,213	22,045,691
2014	종로구	23,912,969	11,575,356	48.41	11,477,230	98,125
2014	중구	9,960,182	3,134,003	31.47	3,096,365	37,638
2014	용산구	21,868,789	1,795,960	8.21	1,646,495	149,465
2014	성동구	16,856,991	3,061,710	18.16	2,930,844	130,865
2014	광진구	17,062,632	3,396,156	19.9	3,356,387	39,769
2014	동대문구	14,210,892	1,279,518	9	1,192,739	86,779
2014	중랑구	18,495,635	5,231,744	28.29	5,153,074	78,670
2014	성북구	24,577,482	8,391,240	34.14	8,149,755	241,485
2014	강북구	23,596,887	14,337,627	60.76	14,163,139	174,488
2014	도봉구	20,701,031	10,069,616	48.64	10,031,499	38,117
2014	노원구	35,435,913	14,163,034	39.97	13,681,809	481,225
2014	은평구	29,702,485	14,024,309	47.22	10,980,294	3,044,015
2014	서대문구	17,605,857	5,136,224	29.17	4,992,544	143,680
2014	마포구	23,835,775	4,404,111	18.48	4,132,868	271,243
2014	양천구	17,403,680	2,906,057	16.7	1,879,284	1,026,773
2014	강서구	41,427,355	4,341,328	10.48	3,270,157	1,071,170
2014	구로구	20,118,904	3,156,155	15.69	1,337,066	1,819,089
2014	금천구	13,019,921	2,189,461	16.82	2,178,883	10,578
2014	영등포구	24,529,480	3,063,563	12.49	2,960,844	102,720
2014	동작구	16,353,888	4,594,775	28.1	4,534,245	60,531
