기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2017	합계	2,837	33	168,374.6	1	5	37,345.0	2,183	25	114,990.9	1,273	2,229.2	388	517.9	403	13	45,156.4	20	12	63,101.1	4	2,377.9	51	755	5	162.2	18	500.9	12	116.8	1	51.5	8	22	653	3	16,038.7
2017	종로구	110	2	11,569.7	-	1	4,998.0	72	1	6,448.6	27	65	15	18.7	23	-	2,511.8	2	1	3,734.1	-	-	3	9.6	-	-	2	109.4	-	-	-	-	-	-	38	-	123.1
2017	중구	70	2	3,132.0	-	-	-	59	2	3,082.4	16	33.7	28	25.2	6	2	1,176.7	1	-	1,785.1	-	-	3	5.8	1	29.7	4	26.2	-	-	-	-	-	-	11	-	49.6
2017	용산구	102	1	1,794.1	-	-	-	65	1	781.7	23	45.1	28	41	7	1	607.2	-	-	-	-	-	2	61	-	-	3	23.9	-	-	-	-	2	3.5	37	-	1,012.4
2017	성동구	84	1	3,101.4	-	-	-	63	1	1,260.0	32	55.2	16	16.1	9	1	1,083.1	-	-	-	-	-	2	94	1	2.8	-	-	-	-	-	-	3	8.8	21	-	1,841.4
2017	광진구	55	2	3,359.2	-	-	-	41	1	2,913.1	35	39	5	6.5	1	-	560.6	-	1	2,307.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	1	446.1
2017	동대문구	96	1	1,275.6	-	-	-	80	1	1,033.5	42	81.1	24	32.9	12	1	913.1	-	-	-	-	-	-	-	-	-	1	3.9	-	-	-	-	1	2.4	16	-	242.1
2017	중랑구	102	-	5,206.5	-	-	-	65	-	5,023.8	45	60	9	18.8	9	-	1,311.6	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	-	-	37	-	182.7
