기간	자치구	합계	합계	합계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	합계	합계	합계	자연공원	자연공원	자연공원	계	계	계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2009	성동구	80	1	2,868.5	-	-	-	54	1	1,023.1	36	58.8	7	5.6	10	1	955.9	-	-	-	-	-	-	-	1	2.8	-	-	-	-	26	-	1,845.4
2009	광진구	56	2	3,396.2	-	-	-	40	1	2,946.1	35	38.4	2	1.3	2	-	561.9	-	1	2,307.1	-	-	-	-	-	-	1	37.4	-	-	16	1	450
2009	동대문구	100	1	1,279.7	-	-	-	81	1	1,034.2	49	96.3	18	22.8	14	1	915.1	-	-	-	-	-	-	-	-	-	-	-	-	-	19	-	245.5
2009	중랑구	85	-	5,205.6	-	-	-	55	-	5,026.6	44	54.2	5	3.8	4	-	1,335.1	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	30	-	179.1
2009	성북구	124	4	8,115.4	-	1	3,638.0	71	3	4,419.0	35	92.7	23	27.6	11	2	2,020.7	1	1	2,276.2	-	-	-	-	-	-	-	-	1	1.8	53	-	58.4
2009	강북구	69	1	14,348.7	1	-	12,588.0	48	1	1,574.4	40	57.8	6	3.7	2	-	1,384.5	-	1	128.3	-	-	-	-	-	-	-	-	-	-	20	-	186.3
2009	도봉구	65	2	10,452.5	-	1	9,145.0	43	1	1,055.7	39	50.3	2	1.7	2	1	1,003.6	-	-	-	-	-	-	-	-	-	-	-	-	-	22	-	251.9
2009	노원구	146	-	14,125.8	-	-	-	126	-	13,851.0	92	171.5	1	1.8	27	-	1,626.8	2	-	12,024.3	-	-	4	26.7	-	-	-	-	-	-	20	-	274.8
2009	은평구	119	3	15,720.3	-	1	9,434.0	82	2	6,185.5	47	88.5	15	22.4	18	1	2,750.3	2	1	3,324.4	-	-	-	-	-	-	-	-	-	-	37	-	100.8
2009	서대문구	112	3	5,564.4	-	1	287	68	2	4,885.4	42	92.3	13	9.6	9	-	1,322.6	1	2	3,449.5	-	-	3	11.3	-	-	-	-	-	-	44	-	392
2009	마포구	107	-	5,050.2	-	-	-	91	-	2,198.0	56	73.8	15	18.1	11	-	2,068.4	-	-	-	1	13.2	7	19.6	-	-	1	4.8	-	-	16	-	2,852.1
2009	양천구	114	1	2,858.1	-	-	-	98	1	2,443.0	71	123.4	9	19.7	17	-	1,078.4	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	16	-	415.1
2009	강서구	163	-	4,024.3	-	-	-	152	-	3,257.0	125	190.2	3	1.9	23	-	3,044.9	-	-	-	-	-	-	-	1	20	-	-	-	-	11	-	767.3
2009	구로구	102	1	3,134.1	-	-	-	50	1	2,804.7	26	53	9	17.4	13	1	1,048.9	2	-	1,685.4	-	-	-	-	-	-	-	-	-	-	52	-	329.5
2009	금천구	51	1	2,189.5	-	-	-	44	1	2,030.3	41	41.4	-	-	3	-	33.4	-	1	1,955.4	-	-	-	-	-	-	-	-	-	-	7	-	159.2
2009	영등포구	112	-	2,175.8	-	-	-	77	-	725.9	32	100.2	31	45.8	13	-	577	-	-	-	-	-	-	-	-	-	1	3	-	-	35	-	1,449.9
2009	동작구	73	1	4,105.6	-	-	-	61	-	3,919.8	35	44.3	13	13.7	10	-	2,856.4	-	-	-	1	945.4	1	12.2	-	-	1	47.8	-	-	12	1	185.9
2009	관악구	103	2	10,953.9	-	-	-	90	2	10,947.2	68	76.1	12	11.4	4	2	400.5	1	-	10,420.8	-	-	1	4.3	-	-	-	-	4	34.2	13	-	6.7
2009	서초구	127	-	15,816.3	-	-	-	116	-	15,021.4	82	134.6	1	4.7	26	-	1,728.0	6	-	13,026.3	1	127.8	-	-	-	-	-	-	-	-	11	-	794.9
2009	강남구	133	2	5,672.5	-	-	-	117	2	4,649.4	61	94.6	7	7.1	49	-	2,098.0	-	2	2,449.8	-	-	-	-	-	-	-	-	-	-	16	-	1,023.0
2009	송파구	144	1	4,688.2	-	-	-	130	-	2,078.1	82	129.7	1	1	47	-	1,947.3	-	-	-	-	-	-	-	-	-	-	-	-	-	14	1	2,610.1
2009	강동구	108	1	2,793.4	-	-	-	99	1	2,251.1	60	106.8	13	11.7	23	-	1,307.3	1	1	713.4	-	-	1	1.8	-	-	1	110.2	-	-	9	-	542.3
2009	서울대공원	1	1	9,132.8	-	-	-	1	1	9,132.8	-	-	-	-	1	-	6,670.0	-	1	2,462.8	-	-	-	-	-	-	-	-	-	-	-	-	-
2010	합계	2,608	34	169,792.3	1	5	39,448.0	2,032	26	114,473.9	1,284	2,174.4	292	358.9	390	13	43,221.4	20	13	65,548.4	4	2,377.9	25	356.1	3	66.3	9	334.5	5	36	575	3	15,870.4
