자치구,총 도시림 면적,생활권 도시림 면적,1인당 총 도시림 면적,1인당 생활권 도시림 면적,1인당 생활권 도시림 면적(산림수목),1인당 생활권 도시림 면적(공원녹지)
서울시,180287524.33767545,66846771.33767543,18.53073713113397,6.870802360142141,1.6195610532395215,5.251241306902621
종로구,13277114.3,2501869.3,87.75936479608698,16.53691123008791,0.6397137946989226,15.897197435388987
중구,5417625.7,1506737.7,42.93875533997512,11.94202867536914,1.2787502674941151,10.663278407875026
용산구,2005971,809094,8.772340053351991,3.538260375213189,2.2083089167796386,1.3299514584335506
성동구,1388926,1184497,4.616074366294547,3.9366577043361506,1.0764035906929132,2.8602541136432373
광진구,6073160.28,1287528.28,17.28521497082681,3.6645176604525402,1.9010054930980504,1.7635121673544898
동대문구,1470284.05,847482.05,4.246994604181471,2.4479975100666103,1.015297781012958,1.432699729053652
중랑구,6274698,1477730,15.804687480321903,3.722101180056169,0.2591891994005264,3.4629119806556425
성북구,8813956,1009189,19.91179487179487,2.279880266576302,0.1897368123799842,2.0901434541963178
강북구,11500610,2099240,36.6315128967938,6.686457251699293,1.669187205768998,5.017270045930296
도봉구,2992345,1452016,8.976263041378441,4.355673412086561,0.6162250046496002,3.7394484074369605
노원구,14715090,1457052,27.612970416866045,2.734168378979368,0.7694241938056502,1.9647441851737177
은평구,11318891,2608784,23.57945095326978,5.434604359709352,0.5298667588827412,4.9047376008266115
서대문구,6748518,1028651,21.81184045094167,3.3246961024185753,0.33576602229498026,2.988930080123595
마포구,3977249.95,3956309.95,10.633363054259629,10.577378988597324,3.961345863355034,6.616033125242291
양천구,3659173,1860690,7.986583436098349,4.0611788329531935,0.7942946318466054,3.2668842011065884
강서구,8294106.057675432,4322172.057675432,14.01514382941999,7.303483054423201,1.7003004413683094,5.603182613054892
구로구,3432140,1325089,8.439743867172899,3.258436940570102,1.4969335864497473,1.7615033541203549
금천구,3126930,413950,13.431252953051844,1.7780593617112668,1.3995318070529617,0.37852755465830507
영등포구,2558024,2525751,6.957239758701908,6.869464585860454,5.18605954122901,1.683405044631444
동작구,3862343,2338377,9.754302801019287,5.90554420488783,0.8264459052992325,5.079098299588598
관악구,15833597,539962,31.661241686562928,1.0797210124496595,0.564859806356405,0.5148612060932545
서초구,16751343,16088754,38.88192216811427,37.34397181228616,3.320827898037723,34.02314391424844
강남구,14160969,4560597,25.975374608607606,8.365473825547674,2.195343095443798,6.170130730103876
송파구,5691832,5685855,8.420355612232067,8.411513386127305,1.254933346746336,7.15658003938097
강동구,6942628,3959394,15.921012138043007,9.079783611234053,5.015559535575955,4.064224075658099
