지역,연령별,성별,우울감 경험률
은평구,75 이상,남,0.0
은평구,75 이상,여,11.5
성북구,계,계,6.1
성북구,계,남,4.7
성북구,계,여,7.2
성북구,19~44,계,5.9
성북구,19~44,남,4.8
성북구,19~44,여,6.9
성북구,45~64,계,5.4
성북구,45~64,남,4.3
성북구,45~64,여,6.3
성북구,65~74,계,6.8
성북구,65~74,남,4.3
성북구,65~74,여,9.1
성북구,75 이상,계,8.3
성북구,75 이상,남,7.7
성북구,75 이상,여,8.7
서대문구,계,계,9.2
서대문구,계,남,7.3
서대문구,계,여,10.7
서대문구,19~44,계,7.7
서대문구,19~44,남,6.0
서대문구,19~44,여,9.1
서대문구,45~64,계,9.7
서대문구,45~64,남,6.1
서대문구,45~64,여,12.6
서대문구,65~74,계,9.6
서대문구,65~74,남,8.1
서대문구,65~74,여,11.0
서대문구,75 이상,계,14.9
서대문구,75 이상,남,20.8
서대문구,75 이상,여,11.6
도봉구,계,계,8.9
도봉구,계,남,5.8
도봉구,계,여,11.3
도봉구,19~44,계,9.9
도봉구,19~44,남,4.8
도봉구,19~44,여,14.7
도봉구,45~64,계,6.9
도봉구,45~64,남,5.9
도봉구,45~64,여,7.5
도봉구,65~74,계,11.9
도봉구,65~74,남,10.3
도봉구,65~74,여,13.3
도봉구,75 이상,계,7.5
도봉구,75 이상,남,0.0
도봉구,75 이상,여,12.5
노원구,계,계,3.8
노원구,계,남,3.1
노원구,계,여,4.3
노원구,19~44,계,3.9
노원구,19~44,남,4.2
노원구,19~44,여,3.7
노원구,45~64,계,3.1
노원구,45~64,남,2.3
노원구,45~64,여,3.8
노원구,65~74,계,4.0
노원구,65~74,남,0.0
노원구,65~74,여,7.7
노원구,75 이상,계,7.1
노원구,75 이상,남,5.3
노원구,75 이상,여,8.1
강북구,계,계,8.3
강북구,계,남,7.2
강북구,계,여,9.1
강북구,19~44,계,6.1
강북구,19~44,남,4.3
강북구,19~44,여,7.7
강북구,45~64,계,9.5
강북구,45~64,남,7.1
강북구,45~64,여,10.9
강북구,65~74,계,11.3
강북구,65~74,남,14.3
강북구,65~74,여,8.8
강북구,75 이상,계,6.4
강북구,75 이상,남,5.9
강북구,75 이상,여,6.8
중구,계,계,11.6
중구,계,남,10.1
중구,계,여,12.7
중구,19~44,계,9.7
중구,19~44,남,7.6
중구,19~44,여,11.6
중구,45~64,계,14.6
중구,45~64,남,14.1
중구,45~64,여,15.0
중구,65~74,계,10.5
중구,65~74,남,11.5
중구,65~74,여,9.9
중구,75 이상,계,11.1
중구,75 이상,남,5.4
중구,75 이상,여,14.5
용산구,계,계,4.8
용산구,계,남,3.1
용산구,계,여,6.0
용산구,19~44,계,6.7
용산구,19~44,남,6.0
용산구,19~44,여,7.2
용산구,45~64,계,3.6
용산구,45~64,남,0.7
용산구,45~64,여,5.9
용산구,65~74,계,4.0
용산구,65~74,남,2.0
용산구,65~74,여,5.3
용산구,75 이상,계,2.0
용산구,75 이상,남,0.0
용산구,75 이상,여,2.9
송파구,계,계,8.5
송파구,계,남,5.1
송파구,계,여,11.0
송파구,19~44,계,9.0
송파구,19~44,남,5.6
송파구,19~44,여,11.2
송파구,45~64,계,8.2
송파구,45~64,남,6.4
송파구,45~64,여,9.8
송파구,65~74,계,5.7
송파구,65~74,남,0.0
송파구,65~74,여,11.4
송파구,75 이상,계,10.9
송파구,75 이상,남,0.0
송파구,75 이상,여,16.1
성동구,계,계,4.0
성동구,계,남,2.8
성동구,계,여,5.2
성동구,19~44,계,3.5
성동구,19~44,남,2.3
성동구,19~44,여,4.7
성동구,45~64,계,5.6
성동구,45~64,남,4.7
성동구,45~64,여,6.2
성동구,65~74,계,2.9
성동구,65~74,남,0.0
성동구,65~74,여,4.9
성동구,75 이상,계,2.9
성동구,75 이상,남,2.6
성동구,75 이상,여,3.3
서초구,계,계,9.2
서초구,계,남,6.2
서초구,계,여,11.5
서초구,19~44,계,7.7
서초구,19~44,남,5.6
서초구,19~44,여,9.2
서초구,45~64,계,11.5
서초구,45~64,남,8.2
서초구,45~64,여,13.8
서초구,65~74,계,6.3
서초구,65~74,남,2.1
서초구,65~74,여,10.6
서초구,75 이상,계,13.5
서초구,75 이상,남,5.9
서초구,75 이상,여,20.0
동대문구,계,계,7.4
동대문구,계,남,5.9
동대문구,계,여,8.7
동대문구,19~44,계,7.0
동대문구,19~44,남,6.4
동대문구,19~44,여,7.6
동대문구,45~64,계,7.0
동대문구,45~64,남,3.9
동대문구,45~64,여,9.8
동대문구,65~74,계,8.9
동대문구,65~74,남,8.9
동대문구,65~74,여,8.9
동대문구,75 이상,계,8.3
동대문구,75 이상,남,8.0
동대문구,75 이상,여,8.5
광진구,계,계,11.9
광진구,계,남,8.2
광진구,계,여,14.6
광진구,19~44,계,12.7
광진구,19~44,남,10.5
광진구,19~44,여,14.5
광진구,45~64,계,11.4
광진구,45~64,남,5.9
광진구,45~64,여,15.3
광진구,65~74,계,11.0
광진구,65~74,남,5.9
광진구,65~74,여,14.6
광진구,75 이상,계,8.0
광진구,75 이상,남,4.5
광진구,75 이상,여,10.7
강동구,계,계,8.9
강동구,계,남,7.5
강동구,계,여,10.1
강동구,19~44,계,8.8
강동구,19~44,남,7.9
강동구,19~44,여,9.6
강동구,45~64,계,9.4
강동구,45~64,남,7.2
강동구,45~64,여,11.0
강동구,65~74,계,8.9
강동구,65~74,남,6.5
강동구,65~74,여,11.4
강동구,75 이상,계,5.7
강동구,75 이상,남,6.7
강동구,75 이상,여,5.0
강남구,계,계,9.0
강남구,계,남,5.6
강남구,계,여,11.6
강남구,19~44,계,8.1
강남구,19~44,남,3.0
강남구,19~44,여,12.1
강남구,45~64,계,9.7
강남구,45~64,남,7.6
강남구,45~64,여,11.1
강남구,65~74,계,9.1
강남구,65~74,남,7.3
강남구,65~74,여,10.6
강남구,75 이상,계,12.5
강남구,75 이상,남,13.6
강남구,75 이상,여,11.5
