지역,연령별,성별,우울감 경험률
서울시,계,계,8.3
서울시,계,남,6.2
서울시,계,여,10.0
서울시,19~44,계,7.8
서울시,19~44,남,5.8
서울시,19~44,여,9.4
서울시,45~64,계,8.7
서울시,45~64,남,6.4
서울시,45~64,여,10.3
서울시,65~74,계,8.7
서울시,65~74,남,6.8
서울시,65~74,여,10.2
서울시,75 이상,계,9.2
서울시,75 이상,남,6.6
서울시,75 이상,여,10.9
영등포구,계,계,6.8
영등포구,계,남,5.4
영등포구,계,여,7.9
영등포구,19~44,계,5.5
영등포구,19~44,남,5.4
영등포구,19~44,여,5.6
영등포구,45~64,계,7.0
영등포구,45~64,남,4.4
영등포구,45~64,여,9.1
영등포구,65~74,계,9.4
영등포구,65~74,남,8.9
영등포구,65~74,여,9.8
영등포구,75 이상,계,9.1
영등포구,75 이상,남,3.6
영등포구,75 이상,여,13.2
양천구,계,계,7.1
양천구,계,남,5.9
양천구,계,여,8.0
양천구,19~44,계,6.1
양천구,19~44,남,4.6
양천구,19~44,여,7.5
양천구,45~64,계,8.6
양천구,45~64,남,7.6
양천구,45~64,여,9.3
양천구,65~74,계,4.1
양천구,65~74,남,6.7
양천구,65~74,여,1.9
양천구,75 이상,계,8.0
양천구,75 이상,남,0.0
양천구,75 이상,여,13.3
마포구,계,계,11.8
마포구,계,남,9.7
마포구,계,여,13.4
마포구,19~44,계,11.3
마포구,19~44,남,10.1
마포구,19~44,여,12.4
마포구,45~64,계,12.8
마포구,45~64,남,10.8
마포구,45~64,여,14.3
마포구,65~74,계,9.7
마포구,65~74,남,4.2
마포구,65~74,여,13.8
마포구,75 이상,계,15.2
마포구,75 이상,남,11.8
마포구,75 이상,여,17.2
동작구,계,계,10.7
동작구,계,남,7.9
동작구,계,여,13.1
동작구,19~44,계,9.0
동작구,19~44,남,5.8
동작구,19~44,여,12.0
동작구,45~64,계,12.5
동작구,45~64,남,8.8
동작구,45~64,여,15.4
동작구,65~74,계,10.1
동작구,65~74,남,9.3
동작구,65~74,여,10.7
동작구,75 이상,계,15.8
동작구,75 이상,남,19.2
동작구,75 이상,여,12.9
금천구,계,계,6.8
금천구,계,남,3.4
금천구,계,여,9.4
금천구,19~44,계,6.2
금천구,19~44,남,2.8
금천구,19~44,여,9.3
금천구,45~64,계,6.7
금천구,45~64,남,3.3
금천구,45~64,여,9.0
금천구,65~74,계,8.6
금천구,65~74,남,4.8
금천구,65~74,여,11.8
금천구,75 이상,계,5.4
금천구,75 이상,남,5.0
금천구,75 이상,여,5.9
구로구,계,계,8.6
구로구,계,남,7.4
구로구,계,여,9.6
구로구,19~44,계,7.9
구로구,19~44,남,6.1
구로구,19~44,여,9.4
구로구,45~64,계,9.1
구로구,45~64,남,7.4
구로구,45~64,여,10.3
구로구,65~74,계,10.3
구로구,65~74,남,9.4
구로구,65~74,여,10.9
구로구,75 이상,계,7.4
구로구,75 이상,남,12.5
구로구,75 이상,여,3.3
관악구,계,계,8.9
관악구,계,남,8.1
관악구,계,여,9.7
관악구,19~44,계,8.5
관악구,19~44,남,8.8
관악구,19~44,여,8.3
관악구,45~64,계,9.4
관악구,45~64,남,8.1
관악구,45~64,여,10.3
관악구,65~74,계,8.5
관악구,65~74,남,5.6
관악구,65~74,여,11.1
관악구,75 이상,계,11.4
관악구,75 이상,남,10.0
관악구,75 이상,여,12.5
강서구,계,계,6.0
강서구,계,남,5.3
강서구,계,여,6.5
강서구,19~44,계,4.3
강서구,19~44,남,4.3
강서구,19~44,여,4.3
강서구,45~64,계,8.2
강서구,45~64,남,6.5
강서구,45~64,여,9.5
강서구,65~74,계,5.6
강서구,65~74,남,7.0
강서구,65~74,여,4.3
강서구,75 이상,계,7.8
강서구,75 이상,남,5.6
강서구,75 이상,여,9.1
중랑구,계,계,11.6
중랑구,계,남,8.6
중랑구,계,여,13.8
중랑구,19~44,계,10.1
중랑구,19~44,남,7.0
중랑구,19~44,여,12.5
중랑구,45~64,계,12.5
중랑구,45~64,남,10.7
중랑구,45~64,여,13.7
중랑구,65~74,계,9.8
중랑구,65~74,남,4.0
중랑구,65~74,여,13.9
중랑구,75 이상,계,20.7
중랑구,75 이상,남,19.0
중랑구,75 이상,여,21.6
종로구,계,계,10.5
종로구,계,남,6.6
종로구,계,여,13.5
종로구,19~44,계,11.4
종로구,19~44,남,5.8
종로구,19~44,여,16.0
종로구,45~64,계,8.8
종로구,45~64,남,7.1
종로구,45~64,여,10.3
종로구,65~74,계,12.9
종로구,65~74,남,10.9
종로구,65~74,여,14.5
종로구,75 이상,계,8.9
종로구,75 이상,남,0.0
종로구,75 이상,여,14.5
은평구,계,계,7.2
은평구,계,남,4.3
은평구,계,여,9.3
은평구,19~44,계,6.1
은평구,19~44,남,4.0
은평구,19~44,여,7.8
은평구,45~64,계,7.1
은평구,45~64,남,4.3
은평구,45~64,여,9.2
은평구,65~74,계,11.1
은평구,65~74,남,8.2
은평구,65~74,여,13.6
은평구,75 이상,계,7.5
