지역,연령별,성별,걷기 실천
서울시,계,계,57.3
서울시,계,남,59.2
서울시,계,여,55.8
서울시,19~44,계,59.2
서울시,19~44,남,62.0
서울시,19~44,여,56.7
서울시,45~64,계,55.0
서울시,45~64,남,53.6
서울시,45~64,여,56.0
서울시,65~74,계,60.9
서울시,65~74,남,63.2
서울시,65~74,여,59.0
서울시,75 이상,계,49.9
서울시,75 이상,남,60.7
서울시,75 이상,여,42.7
영등포구,계,계,62.1
영등포구,계,남,64.6
영등포구,계,여,59.9
영등포구,19~44,계,62.2
영등포구,19~44,남,64.0
영등포구,19~44,여,60.6
영등포구,45~64,계,62.5
영등포구,45~64,남,65.0
영등포구,45~64,여,60.4
영등포구,65~74,계,70.1
영등포구,65~74,남,69.6
영등포구,65~74,여,70.5
영등포구,75 이상,계,45.5
영등포구,75 이상,남,57.1
영등포구,75 이상,여,36.8
양천구,계,계,70.5
양천구,계,남,71.4
양천구,계,여,69.7
양천구,19~44,계,73.6
양천구,19~44,남,75.9
양천구,19~44,여,71.6
양천구,45~64,계,67.5
양천구,45~64,남,64.1
양천구,45~64,여,70.0
양천구,65~74,계,75.8
양천구,65~74,남,84.4
양천구,65~74,여,68.5
양천구,75 이상,계,60.0
양천구,75 이상,남,65.0
양천구,75 이상,여,56.7
마포구,계,계,58.2
마포구,계,남,57.9
마포구,계,여,58.5
마포구,19~44,계,57.8
마포구,19~44,남,59.2
마포구,19~44,여,56.6
마포구,45~64,계,57.3
마포구,45~64,남,53.3
마포구,45~64,여,60.2
마포구,65~74,계,58.4
마포구,65~74,남,60.4
마포구,65~74,여,56.9
마포구,75 이상,계,67.4
마포구,75 이상,남,64.7
마포구,75 이상,여,69.0
동작구,계,계,61.1
동작구,계,남,65.1
동작구,계,여,57.6
동작구,19~44,계,65.6
동작구,19~44,남,71.3
동작구,19~44,여,60.3
동작구,45~64,계,58.2
동작구,45~64,남,57.7
동작구,45~64,여,58.6
동작구,65~74,계,59.0
동작구,65~74,남,68.2
동작구,65~74,여,51.8
동작구,75 이상,계,43.9
동작구,75 이상,남,46.2
동작구,75 이상,여,41.9
금천구,계,계,47.7
금천구,계,남,46.8
금천구,계,여,48.4
금천구,19~44,계,49.5
금천구,19~44,남,51.4
금천구,19~44,여,47.7
금천구,45~64,계,50.0
금천구,45~64,남,44.7
금천구,45~64,여,53.6
금천구,65~74,계,38.8
금천구,65~74,남,38.1
금천구,65~74,여,39.5
금천구,75 이상,계,40.5
금천구,75 이상,남,50.0
금천구,75 이상,여,29.4
구로구,계,계,60.9
구로구,계,남,62.4
구로구,계,여,59.8
구로구,19~44,계,60.5
구로구,19~44,남,63.5
구로구,19~44,여,58.0
구로구,45~64,계,60.6
구로구,45~64,남,58.4
구로구,45~64,여,62.4
구로구,65~74,계,67.5
구로구,65~74,남,66.0
구로구,65~74,여,68.8
구로구,75 이상,계,51.9
구로구,75 이상,남,70.8
구로구,75 이상,여,36.7
관악구,계,계,59.9
관악구,계,남,63.4
관악구,계,여,56.8
관악구,19~44,계,64.2
관악구,19~44,남,66.2
관악구,19~44,여,62.2
관악구,45~64,계,51.6
관악구,45~64,남,54.5
관악구,45~64,여,49.4
관악구,65~74,계,66.2
관악구,65~74,남,71.2
관악구,65~74,여,61.7
관악구,75 이상,계,50.0
관악구,75 이상,남,60.0
관악구,75 이상,여,41.7
강서구,계,계,51.6
강서구,계,남,53.1
강서구,계,여,50.3
강서구,19~44,계,55.0
강서구,19~44,남,57.6
강서구,19~44,여,52.4
강서구,45~64,계,47.8
강서구,45~64,남,41.7
강서구,45~64,여,52.5
강서구,65~74,계,53.9
강서구,65~74,남,55.8
강서구,65~74,여,52.2
강서구,75 이상,계,41.2
강서구,75 이상,남,77.8
강서구,75 이상,여,21.2
중랑구,계,계,60.1
중랑구,계,남,64.1
중랑구,계,여,57.4
중랑구,19~44,계,62.0
중랑구,19~44,남,69.0
중랑구,19~44,여,56.9
중랑구,45~64,계,58.2
중랑구,45~64,남,60.3
중랑구,45~64,여,56.9
중랑구,65~74,계,63.1
중랑구,65~74,남,58.0
중랑구,65~74,여,66.7
중랑구,75 이상,계,51.7
중랑구,75 이상,남,61.9
중랑구,75 이상,여,45.9
종로구,계,계,58.3
종로구,계,남,60.8
종로구,계,여,56.3
종로구,19~44,계,63.2
종로구,19~44,남,65.6
종로구,19~44,여,61.2
종로구,45~64,계,50.4
종로구,45~64,남,52.9
종로구,45~64,여,48.4
종로구,65~74,계,67.3
종로구,65~74,남,64.1
종로구,65~74,여,69.9
종로구,75 이상,계,54.4
종로구,75 이상,남,68.6
종로구,75 이상,여,45.5
은평구,계,계,50.1
은평구,계,남,52.0
은평구,계,여,48.6
은평구,19~44,계,49.9
은평구,19~44,남,53.7
은평구,19~44,여,47.0
은평구,45~64,계,45.5
은평구,45~64,남,42.1
은평구,45~64,여,48.1
은평구,65~74,계,63.9
은평구,65~74,남,67.3
은평구,65~74,여,61.0
은평구,75 이상,계,50.6
은평구,75 이상,남,64.3
은평구,75 이상,여,43.4
성북구,계,계,55.4
성북구,계,남,55.7
성북구,계,여,55.2
성북구,19~44,계,56.9
성북구,19~44,남,59.0
성북구,19~44,여,55.0
성북구,45~64,계,54.8
성북구,45~64,남,47.5
성북구,45~64,여,60.6
성북구,65~74,계,57.5
성북구,65~74,남,65.2
성북구,65~74,여,50.6
성북구,75 이상,계,45.8
성북구,75 이상,남,50.0
성북구,75 이상,여,43.5
서대문구,계,계,48.4
서대문구,계,남,49.3
서대문구,계,여,47.7
서대문구,19~44,계,53.0
서대문구,19~44,남,58.2
서대문구,19~44,여,48.6
서대문구,45~64,계,39.8
서대문구,45~64,남,34.8
서대문구,45~64,여,43.7
서대문구,65~74,계,53.2
서대문구,65~74,남,50.0
서대문구,65~74,여,56.1
서대문구,75 이상,계,47.8
서대문구,75 이상,남,58.3
서대문구,75 이상,여,41.9
도봉구,계,계,50.9
도봉구,계,남,53.4
도봉구,계,여,49.0
도봉구,19~44,계,53.4
도봉구,19~44,남,58.9
도봉구,19~44,여,48.4
도봉구,45~64,계,48.4
도봉구,45~64,남,46.3
도봉구,45~64,여,49.8
도봉구,65~74,계,56.3
도봉구,65~74,남,57.4
도봉구,65~74,여,55.4
도봉구,75 이상,계,38.8
도봉구,75 이상,남,44.4
도봉구,75 이상,여,35.0
노원구,계,계,43.8
노원구,계,남,45.0
노원구,계,여,42.9
노원구,19~44,계,44.3
노원구,19~44,남,46.0
노원구,19~44,여,42.9
노원구,45~64,계,42.9
노원구,45~64,남,39.1
노원구,45~64,여,46.0
노원구,65~74,계,48.0
노원구,65~74,남,58.3
노원구,65~74,여,38.5
노원구,75 이상,계,41.1
노원구,75 이상,남,63.2
노원구,75 이상,여,29.7
강북구,계,계,54.5
강북구,계,남,57.9
강북구,계,여,51.9
강북구,19~44,계,55.7
강북구,19~44,남,60.1
강북구,19~44,여,51.6
강북구,45~64,계,54.0
강북구,45~64,남,55.1
강북구,45~64,여,53.2
강북구,65~74,계,58.3
강북구,65~74,남,61.0
강북구,65~74,여,56.0
강북구,75 이상,계,43.6
강북구,75 이상,남,50.0
강북구,75 이상,여,38.6
중구,계,계,58.3
중구,계,남,60.8
중구,계,여,56.2
중구,19~44,계,62.4
중구,19~44,남,64.5
중구,19~44,여,60.5
중구,45~64,계,53.0
중구,45~64,남,52.6
중구,45~64,여,53.3
중구,65~74,계,63.2
중구,65~74,남,68.9
중구,65~74,여,59.3
중구,75 이상,계,51.5
중구,75 이상,남,60.5
중구,75 이상,여,45.9
용산구,계,계,63.4
용산구,계,남,66.6
용산구,계,여,61.2
용산구,19~44,계,64.9
용산구,19~44,남,69.3
용산구,19~44,여,61.7
용산구,45~64,계,65.9
용산구,45~64,남,66.2
용산구,45~64,여,65.7
용산구,65~74,계,64.0
용산구,65~74,남,62.0
용산구,65~74,여,65.3
용산구,75 이상,계,49.0
용산구,75 이상,남,60.7
용산구,75 이상,여,44.3
송파구,계,계,64.3
송파구,계,남,64.6
송파구,계,여,64.1
송파구,19~44,계,63.8
송파구,19~44,남,63.9
송파구,19~44,여,63.8
송파구,45~64,계,65.0
송파구,45~64,남,63.5
송파구,45~64,여,66.3
송파구,65~74,계,69.3
송파구,65~74,남,72.7
송파구,65~74,여,65.9
송파구,75 이상,계,54.3
송파구,75 이상,남,60.0
송파구,75 이상,여,51.6
성동구,계,계,56.8
성동구,계,남,60.3
성동구,계,여,53.6
성동구,19~44,계,58.6
성동구,19~44,남,63.1
성동구,19~44,여,54.2
성동구,45~64,계,52.8
성동구,45~64,남,50.8
성동구,45~64,여,54.4
성동구,65~74,계,58.8
성동구,65~74,남,70.9
성동구,65~74,여,50.6
성동구,75 이상,계,58.0
성동구,75 이상,남,61.5
성동구,75 이상,여,53.3
서초구,계,계,55.1
서초구,계,남,58.7
서초구,계,여,52.5
서초구,19~44,계,54.4
서초구,19~44,남,61.5
서초구,19~44,여,49.6
서초구,45~64,계,54.4
서초구,45~64,남,51.4
서초구,45~64,여,56.7
서초구,65~74,계,60.0
서초구,65~74,남,64.6
서초구,65~74,여,55.3
서초구,75 이상,계,56.8
서초구,75 이상,남,76.5
서초구,75 이상,여,40.0
동대문구,계,계,66.4
동대문구,계,남,67.1
동대문구,계,여,65.8
동대문구,19~44,계,67.3
동대문구,19~44,남,69.0
동대문구,19~44,여,65.7
동대문구,45~64,계,66.7
동대문구,45~64,남,63.6
동대문구,45~64,여,69.4
동대문구,65~74,계,69.6
동대문구,65~74,남,67.9
동대문구,65~74,여,70.9
동대문구,75 이상,계,54.2
동대문구,75 이상,남,72.0
동대문구,75 이상,여,44.7
광진구,계,계,62.0
광진구,계,남,62.2
광진구,계,여,61.9
광진구,19~44,계,69.0
광진구,19~44,남,69.0
광진구,19~44,여,69.0
광진구,45~64,계,55.1
광진구,45~64,남,54.4
광진구,45~64,여,55.6
광진구,65~74,계,56.1
광진구,65~74,남,55.9
광진구,65~74,여,56.2
광진구,75 이상,계,54.0
광진구,75 이상,남,59.1
광진구,75 이상,여,50.0
강동구,계,계,55.9
강동구,계,남,60.1
강동구,계,여,52.5
강동구,19~44,계,58.8
강동구,19~44,남,62.9
강동구,19~44,여,55.2
강동구,45~64,계,53.9
강동구,45~64,남,58.8
강동구,45~64,여,50.2
강동구,65~74,계,51.1
강동구,65~74,남,50.0
강동구,65~74,여,52.3
강동구,75 이상,계,54.3
강동구,75 이상,남,66.7
강동구,75 이상,여,45.0
강남구,계,계,56.3
강남구,계,남,57.0
강남구,계,여,55.7
강남구,19~44,계,52.3
강남구,19~44,남,48.5
강남구,19~44,여,55.3
강남구,45~64,계,58.2
강남구,45~64,남,61.4
강남구,45~64,여,56.1
강남구,65~74,계,75.0
강남구,65~74,남,80.5
강남구,65~74,여,70.2
강남구,75 이상,계,45.8
강남구,75 이상,남,63.6
강남구,75 이상,여,30.8
