지역,연령별,성별,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
마포구,75 이상,남,5.9,64.7,5.9,62.5,5.9,11.8,23.5,47.1,6.94
마포구,75 이상,여,20.7,69.0,0.0,78.6,31.0,17.2,6.9,17.2,7.07
동작구,계,계,39.2,61.1,13.9,72.8,32.1,10.7,8.2,64.6,6.84
동작구,계,남,44.0,65.1,19.5,74.4,32.6,7.9,10.0,56.5,6.83
동작구,계,여,35.1,57.6,9.0,71.4,31.6,13.1,6.5,71.6,6.85
동작구,19~44,계,47.9,65.6,15.3,67.8,39.8,9.0,7.9,70.0,6.96
동작구,19~44,남,55.2,71.3,20.6,70.8,41.7,5.8,11.7,62.3,6.93
동작구,19~44,여,41.0,60.3,10.3,64.9,38.0,12.0,4.3,77.4,6.99
동작구,45~64,계,35.0,58.2,14.4,76.8,25.5,12.5,9.2,66.7,6.72
동작구,45~64,남,35.0,57.7,19.7,75.4,24.1,8.8,8.0,54.7,6.61
동작구,45~64,여,34.9,58.6,10.1,78.0,26.6,15.4,10.1,76.3,6.8
동작구,65~74,계,22.0,59.0,10.0,77.0,23.0,10.1,8.0,53.0,6.55
동작구,65~74,남,25.0,68.2,18.2,81.8,18.2,9.3,9.1,50.0,6.8
동작구,65~74,여,19.6,51.8,3.6,73.2,26.8,10.7,7.1,55.4,6.35
동작구,75 이상,계,22.8,43.9,7.0,83.9,21.1,15.8,5.3,29.8,7.06
동작구,75 이상,남,26.9,46.2,11.5,88.0,23.1,19.2,7.7,26.9,7.21
동작구,75 이상,여,19.4,41.9,3.2,80.6,19.4,12.9,3.2,32.3,6.93
금천구,계,계,34.6,47.7,14.4,67.6,29.3,6.8,9.4,60.0,6.54
금천구,계,남,40.3,46.8,17.1,70.3,24.4,3.4,10.0,44.4,6.55
금천구,계,여,29.9,48.4,12.2,65.4,33.1,9.4,8.9,72.6,6.54
금천구,19~44,계,49.6,49.5,15.1,61.4,34.8,6.2,7.3,67.0,6.75
금천구,19~44,남,52.3,51.4,16.9,64.0,30.7,2.8,10.2,52.5,6.64
금천구,19~44,여,47.2,47.7,13.5,59.0,38.5,9.3,4.7,80.3,6.84
금천구,45~64,계,26.3,50.0,14.5,67.4,28.0,6.7,11.0,64.0,6.46
금천구,45~64,남,33.3,44.7,16.7,68.5,23.3,3.3,8.0,46.0,6.47
금천구,45~64,여,21.6,53.6,13.1,66.7,31.1,9.0,13.1,76.1,6.46
