지역,연령별,성별,체중조절 경험 여부
서울시,계,계,63.8
서울시,계,남,56.0
서울시,계,여,70.1
서울시,19~44,계,71.6
서울시,19~44,남,63.7
서울시,19~44,여,78.3
서울시,45~64,계,64.9
서울시,45~64,남,53.3
서울시,45~64,여,73.7
서울시,65~74,계,50.6
서울시,65~74,남,46.3
서울시,65~74,여,54.1
서울시,75 이상,계,31.7
서울시,75 이상,남,33.6
서울시,75 이상,여,30.4
영등포구,계,계,67.7
영등포구,계,남,61.1
영등포구,계,여,73.4
영등포구,19~44,계,76.0
영등포구,19~44,남,71.4
영등포구,19~44,여,80.1
영등포구,45~64,계,65.4
영등포구,45~64,남,56.2
영등포구,45~64,여,73.2
영등포구,65~74,계,53.8
영등포구,65~74,남,42.9
영등포구,65~74,여,63.9
영등포구,75 이상,계,47.7
영등포구,75 이상,남,46.4
영등포구,75 이상,여,48.6
양천구,계,계,64.5
양천구,계,남,54.9
양천구,계,여,72.1
양천구,19~44,계,64.0
양천구,19~44,남,55.2
양천구,19~44,여,71.6
양천구,45~64,계,72.0
양천구,45~64,남,58.0
양천구,45~64,여,82.4
양천구,65~74,계,51.5
양천구,65~74,남,55.6
양천구,65~74,여,48.1
양천구,75 이상,계,34.0
양천구,75 이상,남,25.0
양천구,75 이상,여,40.0
마포구,계,계,69.6
마포구,계,남,65.1
마포구,계,여,73.3
마포구,19~44,계,73.3
마포구,19~44,남,69.3
마포구,19~44,여,76.9
마포구,45~64,계,74.4
마포구,45~64,남,65.8
마포구,45~64,여,80.7
마포구,65~74,계,59.3
마포구,65~74,남,50.0
마포구,65~74,여,66.2
마포구,75 이상,계,28.3
마포구,75 이상,남,47.1
마포구,75 이상,여,17.2
동작구,계,계,64.6
동작구,계,남,56.5
동작구,계,여,71.6
동작구,19~44,계,70.0
동작구,19~44,남,62.3
동작구,19~44,여,77.4
동작구,45~64,계,66.7
동작구,45~64,남,54.7
동작구,45~64,여,76.3
동작구,65~74,계,53.0
동작구,65~74,남,50.0
동작구,65~74,여,55.4
동작구,75 이상,계,29.8
동작구,75 이상,남,26.9
동작구,75 이상,여,32.3
금천구,계,계,60.0
금천구,계,남,44.4
금천구,계,여,72.6
금천구,19~44,계,67.0
금천구,19~44,남,52.5
금천구,19~44,여,80.3
금천구,45~64,계,64.0
금천구,45~64,남,46.0
금천구,45~64,여,76.1
금천구,65~74,계,42.4
금천구,65~74,남,27.0
금천구,65~74,여,55.3
금천구,75 이상,계,16.2
금천구,75 이상,남,15.0
금천구,75 이상,여,17.6
구로구,계,계,64.4
구로구,계,남,55.5
구로구,계,여,71.5
구로구,19~44,계,71.9
구로구,19~44,남,63.0
구로구,19~44,여,79.0
구로구,45~64,계,64.4
구로구,45~64,남,51.7
구로구,45~64,여,74.2
구로구,65~74,계,55.6
구로구,65~74,남,49.1
구로구,65~74,여,60.9
구로구,75 이상,계,27.8
구로구,75 이상,남,37.5
구로구,75 이상,여,20.0
관악구,계,계,64.6
관악구,계,남,54.6
관악구,계,여,73.5
관악구,19~44,계,74.4
관악구,19~44,남,65.7
관악구,19~44,여,82.9
관악구,45~64,계,59.7
관악구,45~64,남,44.7
관악구,45~64,여,70.9
관악구,65~74,계,57.8
관악구,65~74,남,46.6
관악구,65~74,여,67.9
관악구,75 이상,계,25.0
관악구,75 이상,남,25.0
관악구,75 이상,여,25.0
강서구,계,계,62.7
강서구,계,남,54.3
강서구,계,여,70.1
강서구,19~44,계,71.0
강서구,19~44,남,63.2
강서구,19~44,여,78.8
강서구,45~64,계,63.2
강서구,45~64,남,49.6
강서구,45~64,여,73.7
강서구,65~74,계,42.7
강서구,65~74,남,34.9
강서구,65~74,여,50.0
강서구,75 이상,계,19.6
강서구,75 이상,남,22.2
강서구,75 이상,여,18.2
중랑구,계,계,57.6
중랑구,계,남,45.7
중랑구,계,여,65.7
중랑구,19~44,계,70.0
