지역,연령별,성별,행복감 지수
서울시,계,계,6.79
서울시,계,남,6.8
서울시,계,여,6.78
서울시,19~44,계,6.93
서울시,19~44,남,6.93
서울시,19~44,여,6.93
서울시,45~64,계,6.72
서울시,45~64,남,6.66
서울시,45~64,여,6.76
서울시,65~74,계,6.63
서울시,65~74,남,6.74
서울시,65~74,여,6.54
서울시,75 이상,계,6.54
서울시,75 이상,남,6.75
서울시,75 이상,여,6.41
영등포구,계,계,6.74
영등포구,계,남,6.78
영등포구,계,여,6.7
영등포구,19~44,계,6.85
영등포구,19~44,남,6.8
영등포구,19~44,여,6.89
영등포구,45~64,계,6.61
영등포구,45~64,남,6.61
영등포구,45~64,여,6.62
영등포구,65~74,계,6.56
영등포구,65~74,남,6.95
영등포구,65~74,여,6.2
영등포구,75 이상,계,6.89
영등포구,75 이상,남,7.11
영등포구,75 이상,여,6.73
양천구,계,계,6.83
양천구,계,남,6.86
양천구,계,여,6.81
양천구,19~44,계,6.98
양천구,19~44,남,6.98
양천구,19~44,여,6.97
양천구,45~64,계,6.75
양천구,45~64,남,6.77
양천구,45~64,여,6.74
양천구,65~74,계,6.58
양천구,65~74,남,6.57
양천구,65~74,여,6.59
양천구,75 이상,계,6.82
양천구,75 이상,남,7.15
양천구,75 이상,여,6.6
마포구,계,계,6.82
마포구,계,남,6.74
마포구,계,여,6.89
마포구,19~44,계,6.88
마포구,19~44,남,6.82
마포구,19~44,여,6.93
마포구,45~64,계,6.77
마포구,45~64,남,6.65
마포구,45~64,여,6.85
마포구,65~74,계,6.65
마포구,65~74,남,6.48
마포구,65~74,여,6.78
마포구,75 이상,계,7.02
마포구,75 이상,남,6.94
마포구,75 이상,여,7.07
동작구,계,계,6.84
동작구,계,남,6.83
동작구,계,여,6.85
동작구,19~44,계,6.96
동작구,19~44,남,6.93
동작구,19~44,여,6.99
동작구,45~64,계,6.72
동작구,45~64,남,6.61
동작구,45~64,여,6.8
동작구,65~74,계,6.55
동작구,65~74,남,6.8
동작구,65~74,여,6.35
동작구,75 이상,계,7.06
동작구,75 이상,남,7.21
동작구,75 이상,여,6.93
금천구,계,계,6.54
금천구,계,남,6.55
금천구,계,여,6.54
금천구,19~44,계,6.75
금천구,19~44,남,6.64
금천구,19~44,여,6.84
금천구,45~64,계,6.46
금천구,45~64,남,6.47
금천구,45~64,여,6.46
금천구,65~74,계,6.4
금천구,65~74,남,6.64
금천구,65~74,여,6.2
금천구,75 이상,계,5.71
금천구,75 이상,남,6.05
금천구,75 이상,여,5.17
구로구,계,계,6.61
구로구,계,남,6.6
구로구,계,여,6.63
구로구,19~44,계,6.87
구로구,19~44,남,6.82
구로구,19~44,여,6.91
구로구,45~64,계,6.47
구로구,45~64,남,6.28
구로구,45~64,여,6.62
구로구,65~74,계,6.41
구로구,65~74,남,6.77
구로구,65~74,여,6.11
구로구,75 이상,계,6.02
구로구,75 이상,남,6.43
구로구,75 이상,여,5.69
관악구,계,계,6.78
관악구,계,남,6.68
관악구,계,여,6.88
관악구,19~44,계,6.91
관악구,19~44,남,6.83
관악구,19~44,여,7.0
관악구,45~64,계,6.65
관악구,45~64,남,6.5
관악구,45~64,여,6.76
관악구,65~74,계,6.77
관악구,65~74,남,6.63
관악구,65~74,여,6.89
관악구,75 이상,계,6.45
관악구,75 이상,남,6.35
관악구,75 이상,여,6.55
강서구,계,계,6.73
강서구,계,남,6.83
강서구,계,여,6.65
강서구,19~44,계,6.9
강서구,19~44,남,6.93
강서구,19~44,여,6.87
강서구,45~64,계,6.55
강서구,45~64,남,6.68
강서구,45~64,여,6.45
강서구,65~74,계,6.88
강서구,65~74,남,6.95
강서구,65~74,여,6.8
강서구,75 이상,계,6.16
강서구,75 이상,남,6.33
강서구,75 이상,여,6.06
중랑구,계,계,6.82
중랑구,계,남,6.84
중랑구,계,여,6.81
중랑구,19~44,계,6.96
중랑구,19~44,남,7.01
중랑구,19~44,여,6.92
중랑구,45~64,계,6.8
중랑구,45~64,남,6.67
중랑구,45~64,여,6.89
중랑구,65~74,계,6.68
중랑구,65~74,남,6.8
중랑구,65~74,여,6.6
중랑구,75 이상,계,6.23
중랑구,75 이상,남,6.57
중랑구,75 이상,여,6.03
종로구,계,계,6.93
종로구,계,남,6.98
종로구,계,여,6.9
종로구,19~44,계,7.01
종로구,19~44,남,7.21
종로구,19~44,여,6.84
종로구,45~64,계,6.86
종로구,45~64,남,6.73
종로구,45~64,여,6.96
종로구,65~74,계,6.93
종로구,65~74,남,6.89
종로구,65~74,여,6.96
종로구,75 이상,계,6.93
종로구,75 이상,남,7.14
종로구,75 이상,여,6.8
은평구,계,계,6.71
은평구,계,남,6.69
은평구,계,여,6.72
은평구,19~44,계,6.75
은평구,19~44,남,6.88
은평구,19~44,여,6.65
은평구,45~64,계,6.65
은평구,45~64,남,6.47
은평구,45~64,여,6.79
은평구,65~74,계,6.61
은평구,65~74,남,6.45
은평구,65~74,여,6.74
은평구,75 이상,계,6.88
은평구,75 이상,남,7.04
은평구,75 이상,여,6.8
성북구,계,계,6.61
성북구,계,남,6.66
성북구,계,여,6.56
성북구,19~44,계,6.84
성북구,19~44,남,6.86
성북구,19~44,여,6.82
성북구,45~64,계,6.61
성북구,45~64,남,6.55
성북구,45~64,여,6.65
성북구,65~74,계,6.35
성북구,65~74,남,6.7
성북구,65~74,여,6.04
성북구,75 이상,계,5.89
성북구,75 이상,남,5.77
성북구,75 이상,여,5.96
서대문구,계,계,6.49
서대문구,계,남,6.44
서대문구,계,여,6.54
서대문구,19~44,계,6.83
서대문구,19~44,남,6.8
서대문구,19~44,여,6.86
서대문구,45~64,계,6.38
서대문구,45~64,남,6.38
서대문구,45~64,여,6.39
서대문구,65~74,계,6.04
서대문구,65~74,남,5.93
서대문구,65~74,여,6.14
서대문구,75 이상,계,6.0
서대문구,75 이상,남,5.67
서대문구,75 이상,여,6.19
도봉구,계,계,6.6
도봉구,계,남,6.61
도봉구,계,여,6.58
도봉구,19~44,계,6.82
도봉구,19~44,남,6.77
도봉구,19~44,여,6.86
도봉구,45~64,계,6.52
도봉구,45~64,남,6.49
도봉구,45~64,여,6.54
도봉구,65~74,계,6.29
도봉구,65~74,남,6.45
도봉구,65~74,여,6.16
도봉구,75 이상,계,6.49
도봉구,75 이상,남,6.59
도봉구,75 이상,여,6.42
노원구,계,계,6.83
노원구,계,남,6.96
노원구,계,여,6.73
노원구,19~44,계,7.04
노원구,19~44,남,7.08
노원구,19~44,여,7.01
노원구,45~64,계,6.73
노원구,45~64,남,6.86
노원구,45~64,여,6.62
노원구,65~74,계,6.77
노원구,65~74,남,7.11
노원구,65~74,여,6.45
노원구,75 이상,계,6.15
노원구,75 이상,남,6.53
노원구,75 이상,여,5.94
강북구,계,계,6.46
강북구,계,남,6.5
강북구,계,여,6.43
강북구,19~44,계,6.75
강북구,19~44,남,6.72
강북구,19~44,여,6.78
강북구,45~64,계,6.42
강북구,45~64,남,6.21
강북구,45~64,여,6.55
강북구,65~74,계,6.16
강북구,65~74,남,6.53
강북구,65~74,여,5.85
강북구,75 이상,계,6.01
강북구,75 이상,남,6.47
강북구,75 이상,여,5.66
중구,계,계,6.75
중구,계,남,6.71
중구,계,여,6.78
중구,19~44,계,6.77
중구,19~44,남,6.74
중구,19~44,여,6.79
중구,45~64,계,6.73
중구,45~64,남,6.56
중구,45~64,여,6.87
중구,65~74,계,6.69
중구,65~74,남,6.73
중구,65~74,여,6.66
중구,75 이상,계,6.81
중구,75 이상,남,7.0
중구,75 이상,여,6.69
용산구,계,계,7.0
용산구,계,남,6.91
용산구,계,여,7.06
용산구,19~44,계,6.97
용산구,19~44,남,6.9
용산구,19~44,여,7.02
용산구,45~64,계,6.97
용산구,45~64,남,6.78
용산구,45~64,여,7.12
용산구,65~74,계,6.99
용산구,65~74,남,7.0
용산구,65~74,여,6.99
용산구,75 이상,계,7.22
용산구,75 이상,남,7.43
용산구,75 이상,여,7.14
송파구,계,계,6.91
송파구,계,남,6.96
송파구,계,여,6.87
송파구,19~44,계,6.99
송파구,19~44,남,7.1
송파구,19~44,여,6.91
송파구,45~64,계,6.84
송파구,45~64,남,6.76
송파구,45~64,여,6.9
송파구,65~74,계,7.16
송파구,65~74,남,7.11
송파구,65~74,여,7.2
송파구,75 이상,계,6.13
송파구,75 이상,남,6.87
송파구,75 이상,여,5.77
성동구,계,계,7.02
성동구,계,남,7.13
성동구,계,여,6.92
성동구,19~44,계,7.29
성동구,19~44,남,7.37
성동구,19~44,여,7.22
성동구,45~64,계,6.88
성동구,45~64,남,6.89
성동구,45~64,여,6.87
성동구,65~74,계,6.64
성동구,65~74,남,6.87
성동구,65~74,여,6.47
성동구,75 이상,계,6.62
성동구,75 이상,남,6.92
성동구,75 이상,여,6.23
서초구,계,계,7.17
서초구,계,남,7.19
서초구,계,여,7.15
서초구,19~44,계,7.18
서초구,19~44,남,7.17
서초구,19~44,여,7.18
서초구,45~64,계,7.11
서초구,45~64,남,7.1
서초구,45~64,여,7.11
서초구,65~74,계,7.27
서초구,65~74,남,7.29
서초구,65~74,여,7.26
서초구,75 이상,계,7.3
서초구,75 이상,남,7.76
서초구,75 이상,여,6.9
동대문구,계,계,6.68
동대문구,계,남,6.68
동대문구,계,여,6.69
동대문구,19~44,계,6.92
동대문구,19~44,남,6.83
동대문구,19~44,여,7.01
동대문구,45~64,계,6.58
동대문구,45~64,남,6.48
동대문구,45~64,여,6.66
동대문구,65~74,계,6.55
동대문구,65~74,남,6.71
동대문구,65~74,여,6.43
동대문구,75 이상,계,6.14
동대문구,75 이상,남,6.68
동대문구,75 이상,여,5.85
광진구,계,계,6.91
광진구,계,남,6.95
광진구,계,여,6.88
광진구,19~44,계,6.97
광진구,19~44,남,6.99
광진구,19~44,여,6.95
광진구,45~64,계,6.86
광진구,45~64,남,6.91
광진구,45~64,여,6.83
광진구,65~74,계,6.82
광진구,65~74,남,6.79
광진구,65~74,여,6.83
광진구,75 이상,계,6.82
광진구,75 이상,남,7.09
광진구,75 이상,여,6.61
강동구,계,계,6.81
강동구,계,남,6.79
강동구,계,여,6.82
강동구,19~44,계,6.92
강동구,19~44,남,6.9
강동구,19~44,여,6.93
강동구,45~64,계,6.74
강동구,45~64,남,6.66
강동구,45~64,여,6.8
강동구,65~74,계,6.7
강동구,65~74,남,6.87
강동구,65~74,여,6.52
강동구,75 이상,계,6.31
강동구,75 이상,남,6.43
강동구,75 이상,여,6.22
강남구,계,계,7.13
강남구,계,남,7.17
강남구,계,여,7.1
강남구,19~44,계,6.98
강남구,19~44,남,6.98
강남구,19~44,여,6.98
강남구,45~64,계,7.29
강남구,45~64,남,7.42
강남구,45~64,여,7.2
강남구,65~74,계,7.44
강남구,65~74,남,7.41
강남구,65~74,여,7.47
강남구,75 이상,계,6.83
강남구,75 이상,남,6.77
강남구,75 이상,여,6.88
