지역,연령별,성별,긍정적 태도율(자연환경)
노원구,65~74,계,81.1
노원구,65~74,남,74.3
노원구,65~74,여,87.2
노원구,75 이상,계,91.1
노원구,75 이상,남,89.5
노원구,75 이상,여,91.9
강북구,계,계,70.2
강북구,계,남,71.8
강북구,계,여,68.9
강북구,19~44,계,65.7
강북구,19~44,남,70.4
강북구,19~44,여,61.5
강북구,45~64,계,72.0
강북구,45~64,남,74.0
강북구,45~64,여,70.6
강북구,65~74,계,72.0
강북구,65~74,남,68.8
강북구,65~74,여,74.7
강북구,75 이상,계,78.2
강북구,75 이상,남,76.5
강북구,75 이상,여,79.5
중구,계,계,63.9
중구,계,남,65.2
중구,계,여,62.8
중구,19~44,계,59.1
중구,19~44,남,60.5
중구,19~44,여,57.8
중구,45~64,계,60.3
중구,45~64,남,61.4
중구,45~64,여,59.4
중구,65~74,계,70.1
중구,65~74,남,71.7
중구,65~74,여,69.0
중구,75 이상,계,82.3
중구,75 이상,남,89.2
중구,75 이상,여,78.0
용산구,계,계,72.3
용산구,계,남,70.4
용산구,계,여,73.6
용산구,19~44,계,64.9
용산구,19~44,남,65.4
용산구,19~44,여,64.5
용산구,45~64,계,74.1
용산구,45~64,남,72.7
용산구,45~64,여,75.3
용산구,65~74,계,79.8
용산구,65~74,남,75.5
용산구,65~74,여,82.7
용산구,75 이상,계,85.7
용산구,75 이상,남,78.6
용산구,75 이상,여,88.6
송파구,계,계,77.9
송파구,계,남,79.1
송파구,계,여,77.1
송파구,19~44,계,74.4
송파구,19~44,남,78.7
송파구,19~44,여,71.7
송파구,45~64,계,79.3
송파구,45~64,남,78.8
송파구,45~64,여,79.7
송파구,65~74,계,87.4
송파구,65~74,남,84.1
송파구,65~74,여,90.7
송파구,75 이상,계,84.8
송파구,75 이상,남,73.3
송파구,75 이상,여,90.3
성동구,계,계,65.1
성동구,계,남,67.9
성동구,계,여,62.7
성동구,19~44,계,61.7
성동구,19~44,남,65.9
성동구,19~44,여,57.5
성동구,45~64,계,63.9
성동구,45~64,남,67.2
성동구,45~64,여,61.3
성동구,65~74,계,74.1
성동구,65~74,남,72.7
성동구,65~74,여,75.0
성동구,75 이상,계,73.9
성동구,75 이상,남,74.4
성동구,75 이상,여,73.3
서초구,계,계,77.5
서초구,계,남,81.2
서초구,계,여,74.7
서초구,19~44,계,75.9
서초구,19~44,남,82.6
서초구,19~44,여,71.2
서초구,45~64,계,75.0
서초구,45~64,남,76.7
서초구,45~64,여,73.8
서초구,65~74,계,88.4
서초구,65~74,남,85.4
서초구,65~74,여,91.5
서초구,75 이상,계,91.9
서초구,75 이상,남,94.1
서초구,75 이상,여,90.0
동대문구,계,계,67.7
동대문구,계,남,66.8
동대문구,계,여,68.4
동대문구,19~44,계,61.6
동대문구,19~44,남,65.4
동대문구,19~44,여,58.0
동대문구,45~64,계,67.3
동대문구,45~64,남,63.4
동대문구,45~64,여,70.8
동대문구,65~74,계,78.4
동대문구,65~74,남,73.2
동대문구,65~74,여,82.1
동대문구,75 이상,계,81.7
동대문구,75 이상,남,84.0
동대문구,75 이상,여,80.4
광진구,계,계,68.0
광진구,계,남,68.6
광진구,계,여,67.5
광진구,19~44,계,62.4
광진구,19~44,남,65.8
광진구,19~44,여,59.8
광진구,45~64,계,73.3
광진구,45~64,남,73.3
광진구,45~64,여,73.3
광진구,65~74,계,70.0
광진구,65~74,남,69.7
광진구,65~74,여,70.2
광진구,75 이상,계,79.6
광진구,75 이상,남,63.6
광진구,75 이상,여,92.6
강동구,계,계,80.1
강동구,계,남,83.3
강동구,계,여,77.4
강동구,19~44,계,79.5
강동구,19~44,남,84.1
강동구,19~44,여,75.4
강동구,45~64,계,77.6
강동구,45~64,남,78.9
강동구,45~64,여,76.6
강동구,65~74,계,86.7
강동구,65~74,남,89.1
강동구,65~74,여,84.1
강동구,75 이상,계,97.1
강동구,75 이상,남,100.0
강동구,75 이상,여,95.0
강남구,계,계,67.4
강남구,계,남,71.2
강남구,계,여,64.6
강남구,19~44,계,62.7
강남구,19~44,남,66.7
강남구,19~44,여,59.6
강남구,45~64,계,71.2
강남구,45~64,남,74.2
강남구,45~64,여,69.2
강남구,65~74,계,71.6
강남구,65~74,남,80.5
강남구,65~74,여,63.8
강남구,75 이상,계,78.7
강남구,75 이상,남,77.3
강남구,75 이상,여,80.0
