지역,연령별,성별,긍정적 태도율(자연환경)
서울시,계,계,70.4
서울시,계,남,72.0
서울시,계,여,69.1
서울시,19~44,계,66.4
서울시,19~44,남,69.5
서울시,19~44,여,63.7
서울시,45~64,계,71.0
서울시,45~64,남,72.2
서울시,45~64,여,70.0
서울시,65~74,계,77.0
서울시,65~74,남,76.7
서울시,65~74,여,77.2
서울시,75 이상,계,81.0
서울시,75 이상,남,78.7
서울시,75 이상,여,82.5
영등포구,계,계,45.5
영등포구,계,남,47.2
영등포구,계,여,44.0
영등포구,19~44,계,40.4
영등포구,19~44,남,40.8
영등포구,19~44,여,40.0
영등포구,45~64,계,43.1
영등포구,45~64,남,46.6
영등포구,45~64,여,40.1
영등포구,65~74,계,60.5
영등포구,65~74,남,62.5
영등포구,65~74,여,58.6
영등포구,75 이상,계,63.1
영등포구,75 이상,남,64.3
영등포구,75 이상,여,62.2
양천구,계,계,73.9
양천구,계,남,74.6
양천구,계,여,73.3
양천구,19~44,계,70.6
양천구,19~44,남,74.0
양천구,19~44,여,67.7
양천구,45~64,계,73.9
양천구,45~64,남,74.6
양천구,45~64,여,73.5
양천구,65~74,계,83.7
양천구,65~74,남,79.5
양천구,65~74,여,87.0
양천구,75 이상,계,79.6
양천구,75 이상,남,70.0
양천구,75 이상,여,86.2
마포구,계,계,65.3
마포구,계,남,68.2
마포구,계,여,63.0
마포구,19~44,계,60.8
마포구,19~44,남,63.4
마포구,19~44,여,58.4
마포구,45~64,계,67.1
마포구,45~64,남,72.4
마포구,45~64,여,63.4
마포구,65~74,계,76.6
마포구,65~74,남,81.2
마포구,65~74,여,73.0
마포구,75 이상,계,72.7
마포구,75 이상,남,62.5
마포구,75 이상,여,78.6
동작구,계,계,72.8
동작구,계,남,74.4
동작구,계,여,71.4
동작구,19~44,계,67.8
동작구,19~44,남,70.8
동작구,19~44,여,64.9
동작구,45~64,계,76.8
동작구,45~64,남,75.4
동작구,45~64,여,78.0
동작구,65~74,계,77.0
동작구,65~74,남,81.8
동작구,65~74,여,73.2
동작구,75 이상,계,83.9
동작구,75 이상,남,88.0
동작구,75 이상,여,80.6
금천구,계,계,67.6
금천구,계,남,70.3
금천구,계,여,65.4
금천구,19~44,계,61.4
금천구,19~44,남,64.0
금천구,19~44,여,59.0
금천구,45~64,계,67.4
금천구,45~64,남,68.5
금천구,45~64,여,66.7
금천구,65~74,계,78.9
금천구,65~74,남,85.0
금천구,65~74,여,74.0
금천구,75 이상,계,86.5
금천구,75 이상,남,90.0
금천구,75 이상,여,82.4
구로구,계,계,59.7
구로구,계,남,64.8
구로구,계,여,55.7
구로구,19~44,계,59.4
구로구,19~44,남,67.6
구로구,19~44,여,52.6
구로구,45~64,계,55.0
구로구,45~64,남,57.2
구로구,45~64,여,53.4
구로구,65~74,계,70.6
구로구,65~74,남,74.5
구로구,65~74,여,67.7
구로구,75 이상,계,68.6
구로구,75 이상,남,69.6
구로구,75 이상,여,67.9
관악구,계,계,72.9
관악구,계,남,75.0
관악구,계,여,70.9
관악구,19~44,계,67.5
관악구,19~44,남,68.7
관악구,19~44,여,66.4
관악구,45~64,계,73.9
관악구,45~64,남,80.5
관악구,45~64,여,68.9
관악구,65~74,계,84.1
관악구,65~74,남,82.9
관악구,65~74,여,85.2
관악구,75 이상,계,78.6
관악구,75 이상,남,80.0
관악구,75 이상,여,77.3
강서구,계,계,67.3
강서구,계,남,67.4
강서구,계,여,67.2
강서구,19~44,계,64.1
강서구,19~44,남,65.8
강서구,19~44,여,62.4
강서구,45~64,계,65.6
강서구,45~64,남,64.5
강서구,45~64,여,66.5
강서구,65~74,계,77.5
강서구,65~74,남,76.7
강서구,65~74,여,78.3
강서구,75 이상,계,88.0
강서구,75 이상,남,88.2
강서구,75 이상,여,87.9
중랑구,계,계,66.6
중랑구,계,남,69.8
중랑구,계,여,64.4
중랑구,19~44,계,62.4
중랑구,19~44,남,68.3
중랑구,19~44,여,58.0
중랑구,45~64,계,69.0
중랑구,45~64,남,74.8
중랑구,45~64,여,65.2
중랑구,65~74,계,70.0
중랑구,65~74,남,63.3
중랑구,65~74,여,74.6
중랑구,75 이상,계,74.1
중랑구,75 이상,남,66.7
중랑구,75 이상,여,78.4
종로구,계,계,74.6
종로구,계,남,76.7
종로구,계,여,72.9
종로구,19~44,계,68.3
종로구,19~44,남,75.3
종로구,19~44,여,62.5
종로구,45~64,계,75.4
종로구,45~64,남,72.8
종로구,45~64,여,77.6
종로구,65~74,계,80.1
종로구,65~74,남,81.0
종로구,65~74,여,79.5
종로구,75 이상,계,85.6
종로구,75 이상,남,91.4
종로구,75 이상,여,81.8
은평구,계,계,76.4
은평구,계,남,76.9
은평구,계,여,76.1
은평구,19~44,계,74.9
은평구,19~44,남,75.9
은평구,19~44,여,74.1
은평구,45~64,계,77.1
은평구,45~64,남,78.3
은평구,45~64,여,76.2
은평구,65~74,계,76.4
은평구,65~74,남,77.6
은평구,65~74,여,75.4
은평구,75 이상,계,81.5
은평구,75 이상,남,75.0
은평구,75 이상,여,84.9
성북구,계,계,67.2
성북구,계,남,67.8
성북구,계,여,66.8
성북구,19~44,계,66.2
성북구,19~44,남,71.8
성북구,19~44,여,60.9
성북구,45~64,계,63.7
성북구,45~64,남,62.6
성북구,45~64,여,64.6
성북구,65~74,계,74.7
성북구,65~74,남,69.6
성북구,65~74,여,79.2
성북구,75 이상,계,73.6
성북구,75 이상,남,61.5
성북구,75 이상,여,80.4
서대문구,계,계,75.1
서대문구,계,남,75.9
서대문구,계,여,74.6
서대문구,19~44,계,70.9
서대문구,19~44,남,71.3
서대문구,19~44,여,70.6
서대문구,45~64,계,74.6
서대문구,45~64,남,78.6
서대문구,45~64,여,71.3
서대문구,65~74,계,82.1
서대문구,65~74,남,79.7
서대문구,65~74,여,84.1
서대문구,75 이상,계,86.6
서대문구,75 이상,남,83.3
서대문구,75 이상,여,88.4
도봉구,계,계,80.2
도봉구,계,남,81.8
도봉구,계,여,79.0
도봉구,19~44,계,76.1
도봉구,19~44,남,77.4
도봉구,19~44,여,74.9
도봉구,45~64,계,84.7
도봉구,45~64,남,88.0
도봉구,45~64,여,82.6
도봉구,65~74,계,77.5
도봉구,65~74,남,80.9
도봉구,65~74,여,74.7
도봉구,75 이상,계,84.8
도봉구,75 이상,남,80.8
도봉구,75 이상,여,87.5
노원구,계,계,82.5
노원구,계,남,82.7
노원구,계,여,82.3
노원구,19~44,계,80.2
노원구,19~44,남,81.0
노원구,19~44,여,79.6
노원구,45~64,계,83.9
노원구,45~64,남,85.5
노원구,45~64,여,82.5
