지역,연령별,성별,중등도 신체활동 실천
서울시,계,계,9.4
서울시,계,남,11.2
서울시,계,여,8.0
서울시,19~44,계,8.5
서울시,19~44,남,10.1
서울시,19~44,여,7.2
서울시,45~64,계,10.3
서울시,45~64,남,11.6
서울시,45~64,여,9.2
서울시,65~74,계,11.2
서울시,65~74,남,13.4
서울시,65~74,여,9.4
서울시,75 이상,계,7.7
서울시,75 이상,남,12.3
서울시,75 이상,여,4.7
영등포구,계,계,11.0
영등포구,계,남,11.8
영등포구,계,여,10.3
영등포구,19~44,계,9.4
영등포구,19~44,남,10.3
영등포구,19~44,여,8.7
영등포구,45~64,계,13.0
영등포구,45~64,남,14.6
영등포구,45~64,여,11.6
영등포구,65~74,계,11.1
영등포구,65~74,남,8.9
영등포구,65~74,여,13.1
영등포구,75 이상,계,12.1
영등포구,75 이상,남,14.3
영등포구,75 이상,여,10.5
양천구,계,계,9.2
양천구,계,남,11.8
양천구,계,여,7.2
양천구,19~44,계,9.9
양천구,19~44,남,12.7
양천구,19~44,여,7.5
양천구,45~64,계,8.6
양천구,45~64,남,10.0
양천구,45~64,여,7.5
양천구,65~74,계,8.1
양천구,65~74,남,13.3
양천구,65~74,여,3.7
양천구,75 이상,계,12.0
양천구,75 이상,남,15.0
양천구,75 이상,여,10.0
마포구,계,계,11.9
마포구,계,남,16.2
마포구,계,여,8.3
마포구,19~44,계,12.7
마포구,19~44,남,18.0
마포구,19~44,여,8.0
마포구,45~64,계,10.3
마포구,45~64,남,11.7
마포구,45~64,여,9.3
마포구,65~74,계,11.5
마포구,65~74,남,16.7
마포구,65~74,여,7.7
마포구,75 이상,계,13.0
마포구,75 이상,남,23.5
마포구,75 이상,여,6.9
동작구,계,계,8.2
동작구,계,남,10.0
동작구,계,여,6.5
동작구,19~44,계,7.9
동작구,19~44,남,11.7
동작구,19~44,여,4.3
동작구,45~64,계,9.2
동작구,45~64,남,8.0
동작구,45~64,여,10.1
동작구,65~74,계,8.0
동작구,65~74,남,9.1
동작구,65~74,여,7.1
동작구,75 이상,계,5.3
동작구,75 이상,남,7.7
동작구,75 이상,여,3.2
금천구,계,계,9.4
금천구,계,남,10.0
금천구,계,여,8.9
금천구,19~44,계,7.3
금천구,19~44,남,10.2
금천구,19~44,여,4.7
금천구,45~64,계,11.0
금천구,45~64,남,8.0
금천구,45~64,여,13.1
금천구,65~74,계,11.5
금천구,65~74,남,15.9
금천구,65~74,여,7.9
금천구,75 이상,계,5.4
금천구,75 이상,남,5.0
금천구,75 이상,여,5.9
구로구,계,계,6.9
구로구,계,남,9.8
구로구,계,여,4.5
구로구,19~44,계,5.9
구로구,19~44,남,8.8
구로구,19~44,여,3.6
구로구,45~64,계,8.7
구로구,45~64,남,10.7
구로구,45~64,여,7.2
구로구,65~74,계,4.3
구로구,65~74,남,7.5
구로구,65~74,여,1.6
구로구,75 이상,계,7.4
구로구,75 이상,남,16.7
구로구,75 이상,여,0.0
관악구,계,계,10.4
관악구,계,남,13.7
관악구,계,여,7.4
관악구,19~44,계,10.6
관악구,19~44,남,12.5
관악구,19~44,여,8.8
관악구,45~64,계,10.8
관악구,45~64,남,16.3
관악구,45~64,여,6.7
관악구,65~74,계,9.1
관악구,65~74,남,12.3
관악구,65~74,여,6.2
관악구,75 이상,계,9.3
관악구,75 이상,남,15.0
관악구,75 이상,여,4.3
강서구,계,계,5.1
강서구,계,남,6.0
강서구,계,여,4.3
강서구,19~44,계,3.7
강서구,19~44,남,5.6
강서구,19~44,여,1.7
강서구,45~64,계,6.0
강서구,45~64,남,7.2
강서구,45~64,여,5.0
강서구,65~74,계,11.2
강서구,65~74,남,7.0
강서구,65~74,여,15.2
강서구,75 이상,계,2.0
강서구,75 이상,남,0.0
강서구,75 이상,여,3.0
중랑구,계,계,8.6
중랑구,계,남,10.2
중랑구,계,여,7.5
중랑구,19~44,계,8.2
중랑구,19~44,남,9.3
중랑구,19~44,여,7.3
중랑구,45~64,계,8.4
중랑구,45~64,남,9.9
중랑구,45~64,여,7.4
중랑구,65~74,계,13.9
중랑구,65~74,남,18.0
중랑구,65~74,여,11.1
