지역,연령별,성별,중등도 신체활동 실천
중랑구,75 이상,계,1.7
중랑구,75 이상,남,0.0
중랑구,75 이상,여,2.7
종로구,계,계,15.1
종로구,계,남,17.4
종로구,계,여,13.3
종로구,19~44,계,12.6
종로구,19~44,남,13.0
종로구,19~44,여,12.2
종로구,45~64,계,13.0
종로구,45~64,남,14.8
종로구,45~64,여,11.4
종로구,65~74,계,25.9
종로구,65~74,남,29.7
종로구,65~74,여,22.9
종로구,75 이상,계,15.6
종로구,75 이상,남,25.7
종로구,75 이상,여,9.1
은평구,계,계,6.3
은평구,계,남,7.9
은평구,계,여,5.1
은평구,19~44,계,6.9
은평구,19~44,남,10.2
은평구,19~44,여,4.3
은평구,45~64,계,6.5
은평구,45~64,남,5.0
은평구,45~64,여,7.6
은평구,65~74,계,5.6
은평구,65~74,남,8.2
은평구,65~74,여,3.4
은평구,75 이상,계,3.7
은평구,75 이상,남,7.1
은평구,75 이상,여,1.9
성북구,계,계,11.2
성북구,계,남,16.1
성북구,계,여,7.0
성북구,19~44,계,8.7
성북구,19~44,남,10.6
성북구,19~44,여,6.9
성북구,45~64,계,14.3
성북구,45~64,남,20.1
성북구,45~64,여,9.7
성북구,65~74,계,11.6
성북구,65~74,남,20.3
성북구,65~74,여,3.9
성북구,75 이상,계,9.7
성북구,75 이상,남,23.1
성북구,75 이상,여,2.2
서대문구,계,계,6.3
서대문구,계,남,7.0
서대문구,계,여,5.7
서대문구,19~44,계,5.7
서대문구,19~44,남,7.1
서대문구,19~44,여,4.5
서대문구,45~64,계,7.4
서대문구,45~64,남,7.6
서대문구,45~64,여,7.2
서대문구,65~74,계,6.4
서대문구,65~74,남,6.8
서대문구,65~74,여,6.1
서대문구,75 이상,계,4.5
서대문구,75 이상,남,4.2
서대문구,75 이상,여,4.7
도봉구,계,계,9.6
도봉구,계,남,10.5
도봉구,계,여,8.8
도봉구,19~44,계,12.5
도봉구,19~44,남,13.7
도봉구,19~44,여,11.4
도봉구,45~64,계,8.0
도봉구,45~64,남,8.8
도봉구,45~64,여,7.5
도봉구,65~74,계,8.6
도봉구,65~74,남,7.4
도봉구,65~74,여,9.6
도봉구,75 이상,계,4.5
도봉구,75 이상,남,7.4
도봉구,75 이상,여,2.5
노원구,계,계,6.5
노원구,계,남,8.4
노원구,계,여,4.9
노원구,19~44,계,6.7
노원구,19~44,남,9.5
노원구,19~44,여,4.1
노원구,45~64,계,6.7
노원구,45~64,남,6.3
노원구,45~64,여,7.0
노원구,65~74,계,8.0
노원구,65~74,남,13.9
노원구,65~74,여,2.6
노원구,75 이상,계,1.8
노원구,75 이상,남,5.3
노원구,75 이상,여,0.0
강북구,계,계,10.2
강북구,계,남,13.0
강북구,계,여,8.1
강북구,19~44,계,9.3
강북구,19~44,남,9.8
강북구,19~44,여,8.8
강북구,45~64,계,12.8
강북구,45~64,남,15.7
강북구,45~64,여,10.9
강북구,65~74,계,10.1
강북구,65~74,남,16.9
강북구,65~74,여,4.4
강북구,75 이상,계,3.8
강북구,75 이상,남,8.8
강북구,75 이상,여,0.0
중구,계,계,8.0
중구,계,남,10.1
중구,계,여,6.3
중구,19~44,계,7.5
중구,19~44,남,8.1
중구,19~44,여,6.8
중구,45~64,계,9.3
중구,45~64,남,12.6
중구,45~64,여,6.6
중구,65~74,계,8.6
중구,65~74,남,13.1
중구,65~74,여,5.5
중구,75 이상,계,5.0
중구,75 이상,남,5.3
중구,75 이상,여,4.8
용산구,계,계,9.2
용산구,계,남,12.5
용산구,계,여,6.9
용산구,19~44,계,7.2
용산구,19~44,남,9.6
용산구,19~44,여,5.4
용산구,45~64,계,11.7
용산구,45~64,남,16.5
용산구,45~64,여,7.7
용산구,65~74,계,12.8
용산구,65~74,남,12.0
용산구,65~74,여,13.3
용산구,75 이상,계,5.1
용산구,75 이상,남,10.7
용산구,75 이상,여,2.9
송파구,계,계,11.2
송파구,계,남,12.7
송파구,계,여,10.1
송파구,19~44,계,8.8
송파구,19~44,남,8.9
송파구,19~44,여,8.7
송파구,45~64,계,13.3
송파구,45~64,남,15.4
송파구,45~64,여,11.5
송파구,65~74,계,17.0
송파구,65~74,남,22.7
송파구,65~74,여,11.4
송파구,75 이상,계,8.7
송파구,75 이상,남,0.0
송파구,75 이상,여,12.9
성동구,계,계,10.0
성동구,계,남,9.2
성동구,계,여,10.7
성동구,19~44,계,7.0
성동구,19~44,남,7.0
성동구,19~44,여,7.0
성동구,45~64,계,12.8
성동구,45~64,남,10.2
성동구,45~64,여,15.0
성동구,65~74,계,9.6
성동구,65~74,남,5.5
성동구,65~74,여,12.3
성동구,75 이상,계,17.4
성동구,75 이상,남,23.1
성동구,75 이상,여,10.0
서초구,계,계,11.0
서초구,계,남,13.6
서초구,계,여,9.1
서초구,19~44,계,7.8
서초구,19~44,남,8.9
서초구,19~44,여,6.9
서초구,45~64,계,10.0
서초구,45~64,남,12.3
서초구,45~64,여,8.4
서초구,65~74,계,26.3
서초구,65~74,남,29.2
서초구,65~74,여,23.4
서초구,75 이상,계,18.9
서초구,75 이상,남,29.4
서초구,75 이상,여,10.0
동대문구,계,계,10.6
동대문구,계,남,10.4
동대문구,계,여,10.7
동대문구,19~44,계,10.6
동대문구,19~44,남,9.1
동대문구,19~44,여,12.1
동대문구,45~64,계,11.3
동대문구,45~64,남,12.3
동대문구,45~64,여,10.4
동대문구,65~74,계,11.1
동대문구,65~74,남,8.9
동대문구,65~74,여,12.7
동대문구,75 이상,계,5.6
동대문구,75 이상,남,12.0
동대문구,75 이상,여,2.1
광진구,계,계,9.8
광진구,계,남,12.0
광진구,계,여,8.2
광진구,19~44,계,8.8
광진구,19~44,남,11.0
광진구,19~44,여,7.1
광진구,45~64,계,13.0
광진구,45~64,남,16.2
광진구,45~64,여,10.7
광진구,65~74,계,2.4
광진구,65~74,남,2.9
광진구,65~74,여,2.1
광진구,75 이상,계,10.0
광진구,75 이상,남,9.1
광진구,75 이상,여,10.7
강동구,계,계,12.5
강동구,계,남,11.3
강동구,계,여,13.5
강동구,19~44,계,11.1
강동구,19~44,남,9.4
강동구,19~44,여,12.6
강동구,45~64,계,13.3
강동구,45~64,남,12.4
강동구,45~64,여,13.9
강동구,65~74,계,16.7
강동구,65~74,남,13.0
강동구,65~74,여,20.5
강동구,75 이상,계,11.4
강동구,75 이상,남,20.0
강동구,75 이상,여,5.0
강남구,계,계,8.0
강남구,계,남,8.9
강남구,계,여,7.4
강남구,19~44,계,7.5
강남구,19~44,남,7.6
강남구,19~44,여,7.4
강남구,45~64,계,8.2
강남구,45~64,남,9.8
강남구,45~64,여,7.1
강남구,65~74,계,11.4
강남구,65~74,남,9.8
강남구,65~74,여,12.8
강남구,75 이상,계,6.2
강남구,75 이상,남,13.6
강남구,75 이상,여,0.0
