지역,연령별,성별,격렬한 신체활동 실천
노원구,계,남,15.6
노원구,계,여,10.7
노원구,19~44,계,15.8
노원구,19~44,남,21.2
노원구,19~44,여,11.1
노원구,45~64,계,12.7
노원구,45~64,남,12.1
노원구,45~64,여,13.1
노원구,65~74,계,8.0
노원구,65~74,남,11.1
노원구,65~74,여,5.1
노원구,75 이상,계,0.0
노원구,75 이상,남,0.0
노원구,75 이상,여,0.0
강북구,계,계,8.8
강북구,계,남,11.2
강북구,계,여,6.9
강북구,19~44,계,10.7
강북구,19~44,남,11.7
강북구,19~44,여,9.9
강북구,45~64,계,11.0
강북구,45~64,남,15.7
강북구,45~64,여,8.0
강북구,65~74,계,4.2
강북구,65~74,남,6.5
강북구,65~74,여,2.2
강북구,75 이상,계,1.3
강북구,75 이상,남,2.9
강북구,75 이상,여,0.0
중구,계,계,12.8
중구,계,남,15.5
중구,계,여,10.6
중구,19~44,계,14.4
중구,19~44,남,16.9
중구,19~44,여,12.1
중구,45~64,계,15.9
중구,45~64,남,19.3
중구,45~64,여,13.3
중구,65~74,계,9.2
중구,65~74,남,11.5
중구,65~74,여,7.7
중구,75 이상,계,3.0
중구,75 이상,남,2.6
중구,75 이상,여,3.2
용산구,계,계,18.3
용산구,계,남,26.4
용산구,계,여,12.5
용산구,19~44,계,19.1
용산구,19~44,남,26.5
용산구,19~44,여,13.5
용산구,45~64,계,19.5
용산구,45~64,남,26.6
용산구,45~64,여,13.6
용산구,65~74,계,21.6
용산구,65~74,남,32.0
용산구,65~74,여,14.7
용산구,75 이상,계,7.1
용산구,75 이상,남,14.3
용산구,75 이상,여,4.3
송파구,계,계,18.7
송파구,계,남,25.1
송파구,계,여,14.0
송파구,19~44,계,20.0
송파구,19~44,남,25.6
송파구,19~44,여,16.3
송파구,45~64,계,19.1
송파구,45~64,남,25.0
송파구,45~64,여,14.1
송파구,65~74,계,15.9
송파구,65~74,남,25.0
송파구,65~74,여,6.8
송파구,75 이상,계,8.7
송파구,75 이상,남,20.0
송파구,75 이상,여,3.2
성동구,계,계,15.7
성동구,계,남,16.5
성동구,계,여,15.1
성동구,19~44,계,19.6
성동구,19~44,남,20.6
성동구,19~44,여,18.7
성동구,45~64,계,14.9
성동구,45~64,남,13.3
성동구,45~64,여,16.2
성동구,65~74,계,10.3
성동구,65~74,남,12.7
성동구,65~74,여,8.6
성동구,75 이상,계,5.8
성동구,75 이상,남,10.3
성동구,75 이상,여,0.0
서초구,계,계,18.2
서초구,계,남,23.6
서초구,계,여,14.2
서초구,19~44,계,18.5
서초구,19~44,남,24.6
서초구,19~44,여,14.2
서초구,45~64,계,18.3
서초구,45~64,남,24.0
서초구,45~64,여,14.3
서초구,65~74,계,16.8
서초구,65~74,남,16.7
서초구,65~74,여,17.0
서초구,75 이상,계,16.2
서초구,75 이상,남,29.4
서초구,75 이상,여,5.0
동대문구,계,계,15.2
동대문구,계,남,17.3
동대문구,계,여,13.5
동대문구,19~44,계,16.9
동대문구,19~44,남,16.6
동대문구,19~44,여,17.2
동대문구,45~64,계,15.6
동대문구,45~64,남,19.5
동대문구,45~64,여,12.1
동대문구,65~74,계,14.8
동대문구,65~74,남,16.1
동대문구,65~74,여,13.9
동대문구,75 이상,계,5.6
동대문구,75 이상,남,12.0
동대문구,75 이상,여,2.1
광진구,계,계,20.2
광진구,계,남,27.3
광진구,계,여,15.0
광진구,19~44,계,21.8
광진구,19~44,남,30.5
광진구,19~44,여,14.9
광진구,45~64,계,20.5
광진구,45~64,남,25.0
광진구,45~64,여,17.3
광진구,65~74,계,19.5
광진구,65~74,남,29.4
광진구,65~74,여,12.5
광진구,75 이상,계,6.0
광진구,75 이상,남,9.1
광진구,75 이상,여,3.6
강동구,계,계,21.0
강동구,계,남,24.8
강동구,계,여,17.9
강동구,19~44,계,23.1
강동구,19~44,남,26.2
강동구,19~44,여,20.4
강동구,45~64,계,20.7
강동구,45~64,남,25.5
강동구,45~64,여,17.2
강동구,65~74,계,17.8
강동구,65~74,남,19.6
강동구,65~74,여,15.9
강동구,75 이상,계,5.7
강동구,75 이상,남,13.3
강동구,75 이상,여,0.0
강남구,계,계,15.8
강남구,계,남,20.9
강남구,계,여,12.0
강남구,19~44,계,18.1
강남구,19~44,남,23.2
강남구,19~44,여,14.1
강남구,45~64,계,16.7
강남구,45~64,남,23.5
강남구,45~64,여,12.1
강남구,65~74,계,3.4
강남구,65~74,남,7.3
강남구,65~74,여,0.0
강남구,75 이상,계,10.4
강남구,75 이상,남,9.1
강남구,75 이상,여,11.5
