지역,연령별,성별,행복감 지수
서대문구,19~44,남,7.0
서대문구,19~44,여,7.0
서대문구,45~64,계,7.0
서대문구,45~64,남,6.9
서대문구,45~64,여,7.0
서대문구,65~74,계,6.6
서대문구,65~74,남,6.6
서대문구,65~74,여,6.5
서대문구,75 이상,계,6.9
서대문구,75 이상,남,7.4
서대문구,75 이상,여,6.6
도봉구,계,계,6.9
도봉구,계,남,6.9
도봉구,계,여,6.9
도봉구,19~44,계,7.0
도봉구,19~44,남,7.0
도봉구,19~44,여,7.0
도봉구,45~64,계,7.0
도봉구,45~64,남,6.9
도봉구,45~64,여,7.0
도봉구,65~74,계,6.6
도봉구,65~74,남,6.6
도봉구,65~74,여,6.5
도봉구,75 이상,계,6.9
도봉구,75 이상,남,7.4
도봉구,75 이상,여,6.6
노원구,계,계,6.7
노원구,계,남,6.9
노원구,계,여,6.9
노원구,19~44,계,7.0
노원구,19~44,남,7.0
노원구,19~44,여,7.0
노원구,45~64,계,7.0
노원구,45~64,남,6.9
노원구,45~64,여,7.0
노원구,65~74,계,6.6
노원구,65~74,남,6.6
노원구,65~74,여,6.5
노원구,75 이상,계,6.9
노원구,75 이상,남,7.4
노원구,75 이상,여,6.6
강북구,계,계,6.8
강북구,계,남,6.9
강북구,계,여,6.9
강북구,19~44,계,7.0
강북구,19~44,남,7.0
강북구,19~44,여,7.0
강북구,45~64,계,7.0
강북구,45~64,남,6.9
강북구,45~64,여,7.0
강북구,65~74,계,6.6
강북구,65~74,남,6.6
강북구,65~74,여,6.5
강북구,75 이상,계,6.9
강북구,75 이상,남,7.4
강북구,75 이상,여,6.6
중구,계,계,6.8
중구,계,남,6.9
중구,계,여,6.9
중구,19~44,계,7.0
중구,19~44,남,7.0
중구,19~44,여,7.0
중구,45~64,계,7.0
중구,45~64,남,6.9
중구,45~64,여,7.0
중구,65~74,계,6.6
중구,65~74,남,6.6
중구,65~74,여,6.5
중구,75 이상,계,6.9
중구,75 이상,남,7.4
중구,75 이상,여,6.6
용산구,계,계,7.1
용산구,계,남,6.9
용산구,계,여,6.9
용산구,19~44,계,7.0
용산구,19~44,남,7.0
용산구,19~44,여,7.0
용산구,45~64,계,7.0
용산구,45~64,남,6.9
용산구,45~64,여,7.0
용산구,65~74,계,6.6
용산구,65~74,남,6.6
용산구,65~74,여,6.5
용산구,75 이상,계,6.9
용산구,75 이상,남,7.4
용산구,75 이상,여,6.6
송파구,계,계,7.2
송파구,계,남,6.9
송파구,계,여,6.9
송파구,19~44,계,7.0
송파구,19~44,남,7.0
송파구,19~44,여,7.0
송파구,45~64,계,7.0
송파구,45~64,남,6.9
송파구,45~64,여,7.0
송파구,65~74,계,6.6
송파구,65~74,남,6.6
송파구,65~74,여,6.5
송파구,75 이상,계,6.9
송파구,75 이상,남,7.4
송파구,75 이상,여,6.6
성동구,계,계,7.0
성동구,계,남,6.9
성동구,계,여,6.9
성동구,19~44,계,7.0
성동구,19~44,남,7.0
성동구,19~44,여,7.0
성동구,45~64,계,7.0
성동구,45~64,남,6.9
성동구,45~64,여,7.0
성동구,65~74,계,6.6
성동구,65~74,남,6.6
성동구,65~74,여,6.5
성동구,75 이상,계,6.9
성동구,75 이상,남,7.4
