지역,연령별,성별,1인당 연소득
도봉구,계,여,1810.9
도봉구,19~44,계,1917.4
도봉구,19~44,남,1906.2
도봉구,19~44,여,1926.9
도봉구,45~64,계,2017.7
도봉구,45~64,남,2066.8
도봉구,45~64,여,1983.9
도봉구,65~74,계,1537.0
도봉구,65~74,남,1562.7
도봉구,65~74,여,1515.6
도봉구,75 이상,계,1305.0
도봉구,75 이상,남,1188.0
도봉구,75 이상,여,1379.0
노원구,계,계,1767.4
노원구,계,남,1785.9
노원구,계,여,1754.7
노원구,19~44,계,1947.8
노원구,19~44,남,1999.5
노원구,19~44,여,1907.4
노원구,45~64,계,2044.2
노원구,45~64,남,2027.8
노원구,45~64,여,2054.7
노원구,65~74,계,1297.4
노원구,65~74,남,1393.1
노원구,65~74,여,1229.9
노원구,75 이상,계,1118.9
노원구,75 이상,남,960.0
노원구,75 이상,여,1211.0
강북구,계,계,1557.9
강북구,계,남,1617.1
강북구,계,여,1513.0
강북구,19~44,계,1780.3
강북구,19~44,남,1895.4
강북구,19~44,여,1687.7
강북구,45~64,계,1765.3
강북구,45~64,남,1830.6
강북구,45~64,여,1716.2
강북구,65~74,계,1310.8
강북구,65~74,남,1274.8
강북구,65~74,여,1334.8
강북구,75 이상,계,1036.3
강북구,75 이상,남,1065.5
강북구,75 이상,여,1013.1
중구,계,계,1988.5
중구,계,남,2026.6
중구,계,여,1953.0
중구,19~44,계,2395.0
중구,19~44,남,2452.9
중구,19~44,여,2332.3
중구,45~64,계,2080.9
중구,45~64,남,2070.4
중구,45~64,여,2090.6
중구,65~74,계,1314.5
중구,65~74,남,1328.8
중구,65~74,여,1301.5
중구,75 이상,계,1157.2
중구,75 이상,남,927.5
중구,75 이상,여,1292.9
용산구,계,계,2061.0
용산구,계,남,2030.5
용산구,계,여,2086.5
용산구,19~44,계,2217.1
용산구,19~44,남,2106.0
용산구,19~44,여,2310.6
용산구,45~64,계,2233.2
용산구,45~64,남,2180.5
용산구,45~64,여,2282.1
용산구,65~74,계,1864.4
용산구,65~74,남,2042.8
용산구,65~74,여,1741.8
용산구,75 이상,계,1554.8
용산구,75 이상,남,1499.7
용산구,75 이상,여,1599.1
송파구,계,계,2197.3
송파구,계,남,2265.6
송파구,계,여,2144.4
송파구,19~44,계,2239.1
송파구,19~44,남,2295.3
송파구,19~44,여,2191.3
송파구,45~64,계,2339.1
송파구,45~64,남,2376.5
송파구,45~64,여,2311.8
송파구,65~74,계,2023.3
송파구,65~74,남,2186.2
송파구,65~74,여,1917.2
송파구,75 이상,계,1560.7
송파구,75 이상,남,1686.4
송파구,75 이상,여,1450.6
성동구,계,계,2165.3
성동구,계,남,2177.3
성동구,계,여,2155.7
성동구,19~44,계,2484.7
성동구,19~44,남,2528.2
성동구,19~44,여,2449.6
성동구,45~64,계,2412.1
성동구,45~64,남,2390.0
성동구,45~64,여,2429.1
성동구,65~74,계,1340.3
성동구,65~74,남,1384.8
성동구,65~74,여,1297.2
성동구,75 이상,계,1168.5
성동구,75 이상,남,1179.3
성동구,75 이상,여,1161.0
서초구,계,계,3037.7
서초구,계,남,3009.9
서초구,계,여,3059.1
서초구,19~44,계,2818.8
서초구,19~44,남,2664.0
서초구,19~44,여,2956.9
서초구,45~64,계,3552.2
서초구,45~64,남,3677.1
서초구,45~64,여,3465.8
서초구,65~74,계,2633.5
서초구,65~74,남,2987.1
서초구,65~74,여,2377.5
서초구,75 이상,계,2415.1
서초구,75 이상,남,1961.3
서초구,75 이상,여,2731.8
동대문구,계,계,1768.8
동대문구,계,남,1796.2
동대문구,계,여,1746.3
동대문구,19~44,계,1864.4
동대문구,19~44,남,1892.1
동대문구,19~44,여,1841.1
동대문구,45~64,계,1948.1
동대문구,45~64,남,1973.9
동대문구,45~64,여,1927.2
동대문구,65~74,계,1373.3
동대문구,65~74,남,1402.1
동대문구,65~74,여,1350.6
동대문구,75 이상,계,1393.8
동대문구,75 이상,남,1421.6
동대문구,75 이상,여,1369.8
광진구,계,계,1983.4
광진구,계,남,2057.3
광진구,계,여,1919.8
광진구,19~44,계,2200.1
광진구,19~44,남,2214.3
광진구,19~44,여,2187.4
광진구,45~64,계,1983.2
광진구,45~64,남,2139.8
광진구,45~64,여,1854.6
광진구,65~74,계,1550.4
광진구,65~74,남,1596.6
광진구,65~74,여,1508.6
광진구,75 이상,계,1441.1
광진구,75 이상,남,1517.6
광진구,75 이상,여,1375.9
강동구,계,계,2006.3
강동구,계,남,2069.4
강동구,계,여,1954.0
강동구,19~44,계,2159.9
강동구,19~44,남,2235.5
강동구,19~44,여,2095.2
강동구,45~64,계,2108.6
강동구,45~64,남,2119.1
강동구,45~64,여,2100.5
강동구,65~74,계,1702.4
강동구,65~74,남,1952.1
강동구,65~74,여,1491.8
강동구,75 이상,계,1244.4
강동구,75 이상,남,1231.9
강동구,75 이상,여,1256.8
강남구,계,계,2767.5
강남구,계,남,2910.7
