지역,연령별,성별,1인당 연소득,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
마포구,45~64,남,1929.4,41.7,56.5,15.7,69.6,28.7,3.5,7.8,67.8,7.21
마포구,45~64,여,2051.1,32.5,51.5,10.7,67.3,30.2,10.1,5.3,82.8,7.17
마포구,65~74,계,1703.0,26.2,59.5,8.7,78.0,18.3,8.7,11.1,67.5,6.79
마포구,65~74,남,1715.6,32.7,65.4,11.5,78.0,15.4,3.8,11.5,71.2,6.75
마포구,65~74,여,1694.7,21.6,55.4,6.8,78.1,20.3,12.2,10.8,64.9,6.81
마포구,75 이상,계,1356.7,24.0,56.7,4.8,86.0,16.3,4.8,14.4,49.0,7.01
마포구,75 이상,남,1382.6,27.7,66.0,8.5,91.3,4.3,4.3,14.9,48.9,7.15
마포구,75 이상,여,1334.4,21.1,49.1,1.8,81.5,26.3,5.3,14.0,49.1,6.89
동작구,계,계,1910.8,44.4,65.7,16.4,78.5,20.7,4.9,9.0,66.6,7.19
동작구,계,남,1985.5,50.4,70.9,21.5,82.1,20.5,2.5,12.1,62.5,7.19
동작구,계,여,1853.9,39.6,61.6,12.4,75.7,20.8,6.9,6.5,69.8,7.2
동작구,19~44,계,2126.0,57.4,69.1,18.6,78.9,24.3,3.0,6.3,74.3,7.25
동작구,19~44,남,2142.1,60.8,74.3,22.8,82.4,24.0,1.2,8.8,73.1,7.2
동작구,19~44,여,2112.3,54.4,64.6,14.9,75.7,24.6,4.6,4.1,75.4,7.29
동작구,45~64,계,2163.8,41.7,65.3,20.0,80.1,22.3,5.0,11.0,72.0,7.35
동작구,45~64,남,2239.9,45.7,68.2,27.1,83.3,24.0,3.1,13.2,60.5,7.2
동작구,45~64,여,2106.5,38.6,63.2,14.6,77.6,21.1,6.4,9.4,80.7,7.47
동작구,65~74,계,1407.8,35.5,65.8,9.2,77.0,10.5,3.3,11.2,55.3,7.12
동작구,65~74,남,1569.6,42.6,67.6,8.8,79.4,10.3,2.9,16.2,51.5,7.22
동작구,65~74,여,1302.7,29.8,64.3,9.5,75.0,10.7,3.6,7.1,58.3,7.05
동작구,75 이상,계,1088.4,17.5,53.6,8.2,74.7,17.5,14.4,9.3,38.1,6.61
동작구,75 이상,남,1087.0,32.4,70.3,18.9,81.1,10.8,5.4,16.2,40.5,7.03
동작구,75 이상,여,1089.3,8.3,43.3,1.7,70.7,21.7,20.0,5.0,36.7,6.35
금천구,계,계,1793.8,34.9,61.1,13.8,52.6,25.0,7.9,12.6,66.0,6.67
금천구,계,남,1868.5,41.2,62.1,19.7,51.6,21.8,5.9,16.4,56.2,6.66
금천구,계,여,1730.0,29.6,60.3,8.7,53.4,27.7,9.5,9.3,74.5,6.68
금천구,19~44,계,1995.8,56.1,64.3,16.1,45.4,26.9,5.3,10.2,68.4,6.98
금천구,19~44,남,2126.9,63.0,67.3,24.8,46.4,23.6,5.5,12.7,62.4,6.92
금천구,19~44,여,1873.6,49.7,61.6,7.9,44.4,29.9,5.1,7.9,74.0,7.03
금천구,45~64,계,1915.4,25.0,62.6,14.1,55.3,24.4,9.6,14.3,69.9,6.61
금천구,45~64,남,1973.6,30.2,61.1,18.9,52.4,23.5,7.4,18.1,52.3,6.55
금천구,45~64,여,1873.7,21.3,63.8,10.6,57.4,25.1,11.1,11.6,82.6,6.64
금천구,65~74,계,1448.1,19.2,53.8,13.8,56.2,22.3,7.7,16.2,65.4,6.65
금천구,65~74,남,1594.7,25.4,52.2,19.4,55.2,19.4,3.0,22.4,56.7,6.73
금천구,65~74,여,1292.2,12.7,55.6,7.9,57.1,25.4,12.7,9.5,74.6,6.56
금천구,75 이상,계,1032.3,15.9,53.4,3.4,63.5,23.9,11.4,9.1,42.0,5.78
금천구,75 이상,남,907.8,19.5,61.0,2.4,62.5,12.2,7.3,14.6,43.9,5.83
금천구,75 이상,여,1143.2,12.8,46.8,4.3,64.4,34.0,14.9,4.3,40.4,5.74
구로구,계,계,1898.2,33.8,59.3,9.8,59.5,23.5,5.6,6.8,64.5,6.71
구로구,계,남,1942.0,40.1,60.3,14.3,65.2,20.5,2.7,7.9,55.9,6.75
구로구,계,여,1863.0,28.8,58.4,6.3,55.0,25.9,7.8,5.9,71.4,6.68
구로구,19~44,계,2132.1,46.7,63.9,12.5,54.2,31.2,3.7,4.0,73.8,6.8
구로구,19~44,남,2199.8,50.7,66.0,16.7,65.4,27.1,2.1,3.5,71.5,6.86
구로구,19~44,여,2076.6,43.5,62.1,9.0,45.3,34.5,5.1,4.5,75.7,6.76
구로구,45~64,계,2115.8,31.0,58.5,11.0,54.5,20.4,5.2,10.7,68.1,6.82
구로구,45~64,남,2117.1,39.0,59.1,17.1,59.4,19.0,2.4,13.4,52.4,6.91
구로구,45~64,여,2114.7,24.5,58.0,6.0,50.5,21.5,7.5,8.5,81.0,6.75
구로구,65~74,계,1300.1,24.8,59.1,6.6,75.0,19.0,9.5,6.6,53.3,6.65
구로구,65~74,남,1440.2,34.6,57.7,9.6,77.6,15.4,5.8,7.7,42.3,6.49
구로구,65~74,여,1211.4,18.8,60.0,4.7,73.5,21.2,11.8,5.9,60.0,6.75
구로구,75 이상,계,1049.4,13.8,46.8,1.1,73.3,16.0,7.4,1.1,35.1,6.05
구로구,75 이상,남,984.5,17.4,50.0,2.2,71.1,10.9,2.2,2.2,34.8,6.14
구로구,75 이상,여,1109.9,10.4,43.8,0.0,75.6,20.8,12.5,0.0,35.4,5.98
관악구,계,계,1812.0,37.7,60.6,11.9,80.5,25.4,6.6,8.4,65.2,7.18
관악구,계,남,1866.2,41.8,62.7,16.4,83.4,25.4,5.3,11.3,60.2,7.13
관악구,계,여,1770.8,34.5,59.0,8.5,78.3,25.4,7.5,6.2,69.0,7.22
관악구,19~44,계,2165.8,44.7,64.1,14.9,73.3,32.7,6.1,8.8,72.1,7.12
관악구,19~44,남,2211.3,49.4,64.4,20.6,77.3,34.4,5.6,14.4,68.9,7.18
관악구,19~44,여,2124.6,40.3,63.8,9.7,69.6,31.1,6.6,3.6,75.0,7.07
관악구,45~64,계,1889.8,38.0,62.7,11.9,84.6,25.1,8.8,7.5,68.8,7.08
관악구,45~64,남,1987.1,40.4,61.4,15.8,88.7,22.8,7.9,7.0,64.0,6.96
관악구,45~64,여,1829.0,36.5,63.5,9.4,82.1,26.5,9.4,7.7,71.8,7.16
관악구,65~74,계,1272.7,28.0,52.0,6.0,87.7,12.7,4.0,10.7,58.0,7.37
관악구,65~74,남,1218.5,35.7,60.7,3.6,90.7,10.7,1.8,12.5,42.9,7.18
관악구,65~74,여,1305.4,23.4,46.8,7.4,85.9,13.8,5.3,9.6,67.0,7.49
