지역,연령별,성별,주관적 스트레스 수준
서울시,계,계,24.5
서울시,계,남,22.6
서울시,계,여,26.1
서울시,19~44,계,31.2
서울시,19~44,남,28.7
서울시,19~44,여,33.3
서울시,45~64,계,23.1
서울시,45~64,남,22.5
서울시,45~64,여,23.5
서울시,65~74,계,17.1
서울시,65~74,남,14.4
서울시,65~74,여,19.1
서울시,75 이상,계,17.2
서울시,75 이상,남,11.6
서울시,75 이상,여,21.3
영등포구,계,계,25.8
영등포구,계,남,22.0
영등포구,계,여,29.1
영등포구,19~44,계,34.4
영등포구,19~44,남,29.9
영등포구,19~44,여,38.7
영등포구,45~64,계,22.1
영등포구,45~64,남,20.1
영등포구,45~64,여,23.7
영등포구,65~74,계,20.9
영등포구,65~74,남,11.9
영등포구,65~74,여,27.9
영등포구,75 이상,계,10.7
영등포구,75 이상,남,10.0
영등포구,75 이상,여,11.4
양천구,계,계,24.7
양천구,계,남,24.2
양천구,계,여,25.0
양천구,19~44,계,34.9
양천구,19~44,남,30.7
양천구,19~44,여,38.3
양천구,45~64,계,22.6
양천구,45~64,남,25.1
양천구,45~64,여,20.6
양천구,65~74,계,14.3
양천구,65~74,남,10.0
양천구,65~74,여,17.7
양천구,75 이상,계,4.2
양천구,75 이상,남,8.0
양천구,75 이상,여,2.2
마포구,계,계,27.5
마포구,계,남,26.1
마포구,계,여,28.5
마포구,19~44,계,31.8
마포구,19~44,남,33.3
마포구,19~44,여,30.5
마포구,45~64,계,29.6
마포구,45~64,남,28.7
마포구,45~64,여,30.2
마포구,65~74,계,18.3
마포구,65~74,남,15.4
마포구,65~74,여,20.3
마포구,75 이상,계,16.3
마포구,75 이상,남,4.3
마포구,75 이상,여,26.3
동작구,계,계,20.7
동작구,계,남,20.5
동작구,계,여,20.8
동작구,19~44,계,24.3
동작구,19~44,남,24.0
동작구,19~44,여,24.6
동작구,45~64,계,22.3
동작구,45~64,남,24.0
동작구,45~64,여,21.1
동작구,65~74,계,10.5
동작구,65~74,남,10.3
동작구,65~74,여,10.7
동작구,75 이상,계,17.5
동작구,75 이상,남,10.8
동작구,75 이상,여,21.7
금천구,계,계,25.0
금천구,계,남,21.8
금천구,계,여,27.7
금천구,19~44,계,26.9
금천구,19~44,남,23.6
금천구,19~44,여,29.9
금천구,45~64,계,24.4
금천구,45~64,남,23.5
금천구,45~64,여,25.1
금천구,65~74,계,22.3
금천구,65~74,남,19.4
금천구,65~74,여,25.4
금천구,75 이상,계,23.9
금천구,75 이상,남,12.2
금천구,75 이상,여,34.0
구로구,계,계,23.5
구로구,계,남,20.5
구로구,계,여,25.9
구로구,19~44,계,31.2
구로구,19~44,남,27.1
구로구,19~44,여,34.5
구로구,45~64,계,20.4
구로구,45~64,남,19.0
구로구,45~64,여,21.5
구로구,65~74,계,19.0
구로구,65~74,남,15.4
구로구,65~74,여,21.2
구로구,75 이상,계,16.0
구로구,75 이상,남,10.9
구로구,75 이상,여,20.8
관악구,계,계,25.4
관악구,계,남,25.4
관악구,계,여,25.4
관악구,19~44,계,32.7
관악구,19~44,남,34.4
관악구,19~44,여,31.1
관악구,45~64,계,25.1
관악구,45~64,남,22.8
관악구,45~64,여,26.5
관악구,65~74,계,12.7
관악구,65~74,남,10.7
관악구,65~74,여,13.8
관악구,75 이상,계,17.9
관악구,75 이상,남,14.9
관악구,75 이상,여,20.8
강서구,계,계,28.7
강서구,계,남,25.0
강서구,계,여,31.7
강서구,19~44,계,33.5
강서구,19~44,남,28.2
강서구,19~44,여,38.4
강서구,45~64,계,28.2
강서구,45~64,남,25.7
강서구,45~64,여,29.9
강서구,65~74,계,20.5
강서구,65~74,남,17.3
강서구,65~74,여,22.9
강서구,75 이상,계,22.6
강서구,75 이상,남,18.4
강서구,75 이상,여,26.1
중랑구,계,계,24.4
중랑구,계,남,18.8
중랑구,계,여,28.2
중랑구,19~44,계,29.5
중랑구,19~44,남,24.8
중랑구,19~44,여,33.0
중랑구,45~64,계,22.2
중랑구,45~64,남,17.5
중랑구,45~64,여,24.8
중랑구,65~74,계,20.4
중랑구,65~74,남,15.9
중랑구,65~74,여,24.7
중랑구,75 이상,계,22.7
중랑구,75 이상,남,8.3
중랑구,75 이상,여,32.7
종로구,계,계,26.3
종로구,계,남,24.6
종로구,계,여,27.6
종로구,19~44,계,33.7
종로구,19~44,남,32.4
종로구,19~44,여,34.9
종로구,45~64,계,24.5
종로구,45~64,남,22.9
종로구,45~64,여,25.7
종로구,65~74,계,22.3
종로구,65~74,남,20.0
종로구,65~74,여,24.2
종로구,75 이상,계,17.9
종로구,75 이상,남,11.4
종로구,75 이상,여,21.5
은평구,계,계,26.6
은평구,계,남,23.8
은평구,계,여,28.5
은평구,19~44,계,31.7
은평구,19~44,남,27.1
은평구,19~44,여,35.3
은평구,45~64,계,28.0
은평구,45~64,남,25.5
은평구,45~64,여,29.7
은평구,65~74,계,22.3
