지역,연령별,성별,걷기 실천
금천구,계,계,61.1
금천구,계,남,62.1
금천구,계,여,60.3
금천구,19~44,계,64.3
금천구,19~44,남,67.3
금천구,19~44,여,61.6
금천구,45~64,계,62.6
금천구,45~64,남,61.1
금천구,45~64,여,63.8
금천구,65~74,계,53.8
금천구,65~74,남,52.2
금천구,65~74,여,55.6
금천구,75 이상,계,53.4
금천구,75 이상,남,61.0
금천구,75 이상,여,46.8
구로구,계,계,59.3
구로구,계,남,60.3
구로구,계,여,58.4
구로구,19~44,계,63.9
구로구,19~44,남,66.0
구로구,19~44,여,62.1
구로구,45~64,계,58.5
구로구,45~64,남,59.1
구로구,45~64,여,58.0
구로구,65~74,계,59.1
구로구,65~74,남,57.7
구로구,65~74,여,60.0
구로구,75 이상,계,46.8
구로구,75 이상,남,50.0
구로구,75 이상,여,43.8
관악구,계,계,60.6
관악구,계,남,62.7
관악구,계,여,59.0
관악구,19~44,계,64.1
관악구,19~44,남,64.4
관악구,19~44,여,63.8
관악구,45~64,계,62.7
관악구,45~64,남,61.4
관악구,45~64,여,63.5
관악구,65~74,계,52.0
관악구,65~74,남,60.7
관악구,65~74,여,46.8
관악구,75 이상,계,53.7
관악구,75 이상,남,61.7
관악구,75 이상,여,45.8
강서구,계,계,57.5
강서구,계,남,61.4
강서구,계,여,54.4
강서구,19~44,계,59.4
강서구,19~44,남,64.7
강서구,19~44,여,54.6
강서구,45~64,계,57.5
강서구,45~64,남,56.9
강서구,45~64,여,57.9
강서구,65~74,계,56.6
강서구,65~74,남,63.5
강서구,65~74,여,51.4
강서구,75 이상,계,50.0
강서구,75 이상,남,60.5
강서구,75 이상,여,41.3
중랑구,계,계,61.3
중랑구,계,남,63.0
중랑구,계,여,60.1
중랑구,19~44,계,64.6
중랑구,19~44,남,70.5
중랑구,19~44,여,60.3
중랑구,45~64,계,57.9
중랑구,45~64,남,53.2
중랑구,45~64,여,60.4
중랑구,65~74,계,64.7
중랑구,65~74,남,65.9
중랑구,65~74,여,63.5
중랑구,75 이상,계,56.8
중랑구,75 이상,남,63.9
중랑구,75 이상,여,51.9
종로구,계,계,43.3
종로구,계,남,47.5
종로구,계,여,40.0
종로구,19~44,계,49.8
종로구,19~44,남,51.4
종로구,19~44,여,48.3
종로구,45~64,계,41.0
종로구,45~64,남,42.9
종로구,45~64,여,39.4
종로구,65~74,계,48.2
종로구,65~74,남,52.0
종로구,65~74,여,45.2
종로구,75 이상,계,30.9
종로구,75 이상,남,47.7
종로구,75 이상,여,21.5
은평구,계,계,63.5
은평구,계,남,65.0
은평구,계,여,62.5
은평구,19~44,계,72.0
은평구,19~44,남,75.4
은평구,19~44,여,69.3
은평구,45~64,계,59.3
은평구,45~64,남,59.1
은평구,45~64,여,59.5
은평구,65~74,계,61.5
은평구,65~74,남,52.5
은평구,65~74,여,66.1
은평구,75 이상,계,59.4
은평구,75 이상,남,70.9
은평구,75 이상,여,51.3
성북구,계,계,59.4
성북구,계,남,63.3
성북구,계,여,56.4
성북구,19~44,계,59.4
성북구,19~44,남,64.3
성북구,19~44,여,55.2
성북구,45~64,계,60.5
성북구,45~64,남,60.3
성북구,45~64,여,60.6
성북구,65~74,계,59.7
성북구,65~74,남,66.7
성북구,65~74,여,54.9
성북구,75 이상,계,55.6
성북구,75 이상,남,65.1
성북구,75 이상,여,48.2
서대문구,계,계,51.8
서대문구,계,남,55.5
서대문구,계,여,49.0
서대문구,19~44,계,55.3
서대문구,19~44,남,62.1
서대문구,19~44,여,48.8
서대문구,45~64,계,52.5
서대문구,45~64,남,50.8
서대문구,45~64,여,53.7
서대문구,65~74,계,52.7
서대문구,65~74,남,59.3
서대문구,65~74,여,48.4
서대문구,75 이상,계,40.9
서대문구,75 이상,남,40.8
서대문구,75 이상,여,40.9
도봉구,계,계,55.0
도봉구,계,남,61.1
도봉구,계,여,50.5
도봉구,19~44,계,55.2
도봉구,19~44,남,62.5
도봉구,19~44,여,49.1
도봉구,45~64,계,55.6
도봉구,45~64,남,56.3
도봉구,45~64,여,55.0
도봉구,65~74,계,56.7
도봉구,65~74,남,63.9
도봉구,65~74,여,50.6
도봉구,75 이상,계,50.5
도봉구,75 이상,남,67.4
도봉구,75 이상,여,39.7
노원구,계,계,63.0
노원구,계,남,68.8
노원구,계,여,59.0
노원구,19~44,계,64.1
노원구,19~44,남,69.0
노원구,19~44,여,60.5
노원구,45~64,계,66.1
노원구,45~64,남,70.7
노원구,45~64,여,63.1
노원구,65~74,계,65.8
노원구,65~74,남,66.2
노원구,65~74,여,65.6
노원구,75 이상,계,47.0
노원구,75 이상,남,66.7
노원구,75 이상,여,36.0
강북구,계,계,52.9
강북구,계,남,53.9
강북구,계,여,52.2
강북구,19~44,계,61.5
강북구,19~44,남,61.5
강북구,19~44,여,61.5
강북구,45~64,계,53.2
강북구,45~64,남,48.2
강북구,45~64,여,57.0
강북구,65~74,계,48.7
강북구,65~74,남,52.4
강북구,65~74,여,46.3
강북구,75 이상,계,42.9
강북구,75 이상,남,54.2
강북구,75 이상,여,34.4
중구,계,계,65.2
중구,계,남,65.5
중구,계,여,64.9
중구,19~44,계,64.6
중구,19~44,남,65.4
중구,19~44,여,63.7
중구,45~64,계,69.9
중구,45~64,남,65.8
중구,45~64,여,73.6
중구,65~74,계,68.3
중구,65~74,남,71.9
중구,65~74,여,65.1
중구,75 이상,계,49.1
중구,75 이상,남,55.0
중구,75 이상,여,45.6
용산구,계,계,70.1
용산구,계,남,70.4
용산구,계,여,69.8
용산구,19~44,계,67.3
용산구,19~44,남,66.7
용산구,19~44,여,67.8
용산구,45~64,계,75.0
용산구,45~64,남,72.0
용산구,45~64,여,77.8
용산구,65~74,계,70.0
용산구,65~74,남,70.2
용산구,65~74,여,69.9
용산구,75 이상,계,64.5
용산구,75 이상,남,74.3
용산구,75 이상,여,56.5
송파구,계,계,71.4
송파구,계,남,73.9
송파구,계,여,69.5
송파구,19~44,계,72.0
송파구,19~44,남,74.6
송파구,19~44,여,69.9
송파구,45~64,계,68.5
송파구,45~64,남,70.9
송파구,45~64,여,66.7
송파구,65~74,계,78.2
송파구,65~74,남,80.4
송파구,65~74,여,76.7
송파구,75 이상,계,67.7
송파구,75 이상,남,71.4
송파구,75 이상,여,64.7
성동구,계,계,62.2
성동구,계,남,63.0
성동구,계,여,61.5
성동구,19~44,계,62.6
성동구,19~44,남,62.8
성동구,19~44,여,62.4
성동구,45~64,계,61.9
성동구,45~64,남,60.8
성동구,45~64,여,62.7
성동구,65~74,계,64.8
성동구,65~74,남,65.1
성동구,65~74,여,64.6
성동구,75 이상,계,58.1
성동구,75 이상,남,68.4
성동구,75 이상,여,50.9
서초구,계,계,56.1
서초구,계,남,63.7
서초구,계,여,50.1
서초구,19~44,계,58.2
서초구,19~44,남,65.2
서초구,19~44,여,52.1
서초구,45~64,계,52.9
서초구,45~64,남,60.8
서초구,45~64,여,47.4
서초구,65~74,계,60.7
서초구,65~74,남,69.8
서초구,65~74,여,53.6
서초구,75 이상,계,53.7
서초구,75 이상,남,60.0
서초구,75 이상,여,48.9
동대문구,계,계,49.5
동대문구,계,남,53.4
동대문구,계,여,46.3
동대문구,19~44,계,54.8
동대문구,19~44,남,63.4
동대문구,19~44,여,47.5
동대문구,45~64,계,46.9
동대문구,45~64,남,46.4
동대문구,45~64,여,47.3
동대문구,65~74,계,46.2
동대문구,65~74,남,47.6
동대문구,65~74,여,45.0
동대문구,75 이상,계,45.4
동대문구,75 이상,남,51.1
동대문구,75 이상,여,40.4
광진구,계,계,58.3
광진구,계,남,57.3
광진구,계,여,59.2
광진구,19~44,계,63.2
광진구,19~44,남,64.0
광진구,19~44,여,62.6
광진구,45~64,계,54.3
광진구,45~64,남,48.7
광진구,45~64,여,58.9
광진구,65~74,계,52.5
광진구,65~74,남,54.4
광진구,65~74,여,50.8
광진구,75 이상,계,60.3
광진구,75 이상,남,65.5
광진구,75 이상,여,55.9
강동구,계,계,53.8
강동구,계,남,57.2
강동구,계,여,51.0
강동구,19~44,계,57.8
강동구,19~44,남,63.3
강동구,19~44,여,53.1
강동구,45~64,계,53.0
강동구,45~64,남,52.1
강동구,45~64,여,53.7
강동구,65~74,계,54.3
강동구,65~74,남,56.1
강동구,65~74,여,52.8
강동구,75 이상,계,34.3
강동구,75 이상,남,48.6
강동구,75 이상,여,20.0
강남구,계,계,57.0
강남구,계,남,59.1
강남구,계,여,55.6
강남구,19~44,계,60.9
강남구,19~44,남,61.1
강남구,19~44,여,60.7
강남구,45~64,계,55.8
강남구,45~64,남,58.7
강남구,45~64,여,53.7
강남구,65~74,계,55.7
강남구,65~74,남,59.0
강남구,65~74,여,53.4
강남구,75 이상,계,40.0
강남구,75 이상,남,45.5
강남구,75 이상,여,36.8
