지역,연령별,성별,걷기 실천
서울시,계,계,59.6
서울시,계,남,62.3
서울시,계,여,57.5
서울시,19~44,계,62.6
서울시,19~44,남,65.8
서울시,19~44,여,59.8
서울시,45~64,계,59.0
서울시,45~64,남,58.8
서울시,45~64,여,59.2
서울시,65~74,계,60.0
서울시,65~74,남,62.6
서울시,65~74,여,58.0
서울시,75 이상,계,50.7
서울시,75 이상,남,60.5
서울시,75 이상,여,43.5
영등포구,계,계,71.1
영등포구,계,남,72.1
영등포구,계,여,70.2
영등포구,19~44,계,69.6
영등포구,19~44,남,71.2
영등포구,19~44,여,68.0
영등포구,45~64,계,75.3
영등포구,45~64,남,74.8
영등포구,45~64,여,75.7
영등포구,65~74,계,72.5
영등포구,65~74,남,71.6
영등포구,65~74,여,73.3
영등포구,75 이상,계,56.8
영등포구,75 이상,남,67.5
영등포구,75 이상,여,44.1
양천구,계,계,61.7
양천구,계,남,63.4
양천구,계,여,60.5
양천구,19~44,계,66.3
양천구,19~44,남,70.7
양천구,19~44,여,62.8
양천구,45~64,계,59.1
양천구,45~64,남,56.7
양천구,45~64,여,61.0
양천구,65~74,계,67.0
양천구,65~74,남,72.0
양천구,65~74,여,62.9
양천구,75 이상,계,46.5
양천구,75 이상,남,48.0
양천구,75 이상,여,45.7
마포구,계,계,58.8
마포구,계,남,62.1
마포구,계,여,56.3
마포구,19~44,계,62.8
마포구,19~44,남,63.8
마포구,19~44,여,61.9
마포구,45~64,계,53.5
마포구,45~64,남,56.5
마포구,45~64,여,51.5
마포구,65~74,계,59.5
마포구,65~74,남,65.4
마포구,65~74,여,55.4
마포구,75 이상,계,56.7
마포구,75 이상,남,66.0
마포구,75 이상,여,49.1
동작구,계,계,65.7
동작구,계,남,70.9
동작구,계,여,61.6
동작구,19~44,계,69.1
동작구,19~44,남,74.3
동작구,19~44,여,64.6
동작구,45~64,계,65.3
동작구,45~64,남,68.2
동작구,45~64,여,63.2
동작구,65~74,계,65.8
동작구,65~74,남,67.6
동작구,65~74,여,64.3
동작구,75 이상,계,53.6
동작구,75 이상,남,70.3
동작구,75 이상,여,43.3
