지역,연령별,성별,격렬한 신체활동 실천
서울시,계,계,16.2
서울시,계,남,20.4
서울시,계,여,13.0
서울시,19~44,계,19.4
서울시,19~44,남,25.4
서울시,19~44,여,14.3
서울시,45~64,계,17.3
서울시,45~64,남,20.0
서울시,45~64,여,15.3
서울시,65~74,계,13.3
서울시,65~74,남,15.7
서울시,65~74,여,11.5
서울시,75 이상,계,5.9
서울시,75 이상,남,9.2
서울시,75 이상,여,3.4
영등포구,계,계,18.0
영등포구,계,남,21.6
영등포구,계,여,14.6
영등포구,19~44,계,19.3
영등포구,19~44,남,23.9
영등포구,19~44,여,14.6
영등포구,45~64,계,20.7
영등포구,45~64,남,23.7
영등포구,45~64,여,18.2
영등포구,65~74,계,12.7
영등포구,65~74,남,16.4
영등포구,65~74,여,9.9
영등포구,75 이상,계,6.9
영등포구,75 이상,남,11.4
영등포구,75 이상,여,0.0
양천구,계,계,16.4
양천구,계,남,17.9
양천구,계,여,15.2
양천구,19~44,계,18.1
양천구,19~44,남,21.7
양천구,19~44,여,15.3
양천구,45~64,계,18.1
양천구,45~64,남,18.6
양천구,45~64,여,17.7
양천구,65~74,계,14.8
양천구,65~74,남,12.5
양천구,65~74,여,16.7
양천구,75 이상,계,4.2
양천구,75 이상,남,4.0
양천구,75 이상,여,4.3
마포구,계,계,12.9
마포구,계,남,16.6
마포구,계,여,10.1
마포구,19~44,계,16.4
마포구,19~44,남,21.2
마포구,19~44,여,12.7
마포구,45~64,계,11.9
마포구,45~64,남,15.2
마포구,45~64,여,9.5
마포구,65~74,계,8.8
마포구,65~74,남,10.4
마포구,65~74,여,7.7
마포구,75 이상,계,4.8
마포구,75 이상,남,8.5
마포구,75 이상,여,1.8
동작구,계,계,16.4
동작구,계,남,21.5
동작구,계,여,12.4
동작구,19~44,계,18.3
동작구,19~44,남,22.9
동작구,19~44,여,14.2
동작구,45~64,계,20.4
동작구,45~64,남,27.7
동작구,45~64,여,14.7
동작구,65~74,계,9.2
동작구,65~74,남,7.7
동작구,65~74,여,10.5
동작구,75 이상,계,8.2
동작구,75 이상,남,18.9
동작구,75 이상,여,1.7
금천구,계,계,13.8
금천구,계,남,19.7
금천구,계,여,8.7
