지역,연령별,성별,주관적 건강수준
서대문구,19~44,여,58.2
서대문구,45~64,계,44.1
서대문구,45~64,남,48.9
서대문구,45~64,여,40.5
서대문구,65~74,계,37.0
서대문구,65~74,남,46.4
서대문구,65~74,여,31.1
서대문구,75 이상,계,21.4
서대문구,75 이상,남,29.5
서대문구,75 이상,여,14.8
도봉구,계,계,38.3
도봉구,계,남,42.8
도봉구,계,여,34.6
도봉구,19~44,계,45.9
도봉구,19~44,남,49.4
도봉구,19~44,여,42.9
도봉구,45~64,계,38.6
도봉구,45~64,남,45.0
도봉구,45~64,여,33.8
도봉구,65~74,계,27.9
도봉구,65~74,남,29.1
도봉구,65~74,여,27.0
도봉구,75 이상,계,19.7
도봉구,75 이상,남,24.2
도봉구,75 이상,여,16.3
노원구,계,계,40.6
노원구,계,남,47.8
노원구,계,여,35.3
노원구,19~44,계,48.7
노원구,19~44,남,56.0
노원구,19~44,여,43.2
노원구,45~64,계,38.3
노원구,45~64,남,40.5
노원구,45~64,여,36.5
노원구,65~74,계,30.8
노원구,65~74,남,43.2
노원구,65~74,여,19.1
노원구,75 이상,계,18.9
노원구,75 이상,남,41.2
노원구,75 이상,여,12.3
강북구,계,계,33.9
강북구,계,남,39.7
강북구,계,여,29.3
강북구,19~44,계,43.0
강북구,19~44,남,49.7
강북구,19~44,여,36.9
강북구,45~64,계,31.1
강북구,45~64,남,36.4
강북구,45~64,여,27.3
강북구,65~74,계,28.4
강북구,65~74,남,26.9
강북구,65~74,여,29.6
강북구,75 이상,계,21.6
강북구,75 이상,남,35.1
강북구,75 이상,여,11.8
중구,계,계,44.3
중구,계,남,48.9
중구,계,여,40.8
중구,19~44,계,61.7
중구,19~44,남,67.1
중구,19~44,여,57.1
중구,45~64,계,37.8
중구,45~64,남,41.4
중구,45~64,여,35.1
중구,65~74,계,26.1
중구,65~74,남,28.8
중구,65~74,여,24.1
중구,75 이상,계,27.6
중구,75 이상,남,25.0
중구,75 이상,여,29.1
용산구,계,계,51.0
용산구,계,남,56.1
용산구,계,여,47.2
용산구,19~44,계,59.2
용산구,19~44,남,62.5
용산구,19~44,여,56.8
용산구,45~64,계,51.8
용산구,45~64,남,61.9
용산구,45~64,여,43.6
용산구,65~74,계,43.5
용산구,65~74,남,42.2
용산구,65~74,여,44.4
용산구,75 이상,계,27.8
용산구,75 이상,남,28.9
용산구,75 이상,여,27.1
송파구,계,계,56.7
송파구,계,남,58.0
송파구,계,여,55.6
송파구,19~44,계,66.0
송파구,19~44,남,68.0
송파구,19~44,여,64.3
송파구,45~64,계,58.0
송파구,45~64,남,58.9
송파구,45~64,여,57.2
송파구,65~74,계,32.2
송파구,65~74,남,27.8
송파구,65~74,여,35.2
송파구,75 이상,계,16.4
송파구,75 이상,남,13.0
송파구,75 이상,여,18.8
성동구,계,계,45.7
성동구,계,남,47.3
성동구,계,여,44.2
성동구,19~44,계,56.3
성동구,19~44,남,55.6
성동구,19~44,여,56.9
성동구,45~64,계,43.2
성동구,45~64,남,47.3
성동구,45~64,여,39.8
성동구,65~74,계,33.9
성동구,65~74,남,33.9
성동구,65~74,여,33.8
성동구,75 이상,계,20.3
성동구,75 이상,남,27.5
성동구,75 이상,여,12.8
서초구,계,계,50.9
서초구,계,남,54.3
서초구,계,여,48.2
서초구,19~44,계,58.0
서초구,19~44,남,59.2
서초구,19~44,여,57.1
서초구,45~64,계,46.6
서초구,45~64,남,52.3
서초구,45~64,여,42.1
서초구,65~74,계,44.3
서초구,65~74,남,50.0
서초구,65~74,여,39.6
서초구,75 이상,계,28.9
서초구,75 이상,남,30.0
서초구,75 이상,여,28.0
동대문구,계,계,39.4
동대문구,계,남,45.9
동대문구,계,여,33.8
동대문구,19~44,계,48.6
동대문구,19~44,남,57.9
동대문구,19~44,여,38.9
동대문구,45~64,계,37.5
동대문구,45~64,남,38.3
동대문구,45~64,여,36.8
동대문구,65~74,계,28.2
동대문구,65~74,남,29.2
동대문구,65~74,여,27.3
동대문구,75 이상,계,28.0
동대문구,75 이상,남,43.2
동대문구,75 이상,여,19.0
광진구,계,계,46.0
광진구,계,남,49.8
광진구,계,여,42.7
광진구,19~44,계,55.5
광진구,19~44,남,57.4
광진구,19~44,여,53.6
광진구,45~64,계,42.1
광진구,45~64,남,45.0
광진구,45~64,여,39.9
광진구,65~74,계,33.1
광진구,65~74,남,47.1
광진구,65~74,여,22.4
광진구,75 이상,계,24.1
광진구,75 이상,남,24.1
광진구,75 이상,여,24.1
강동구,계,계,48.8
강동구,계,남,53.5
강동구,계,여,44.9
강동구,19~44,계,57.8
강동구,19~44,남,62.0
강동구,19~44,여,53.7
강동구,45~64,계,49.5
강동구,45~64,남,54.2
강동구,45~64,여,46.1
강동구,65~74,계,30.6
강동구,65~74,남,30.0
강동구,65~74,여,31.1
강동구,75 이상,계,21.6
강동구,75 이상,남,38.9
강동구,75 이상,여,12.1
강남구,계,계,54.7
강남구,계,남,60.3
강남구,계,여,50.3
강남구,19~44,계,63.7
강남구,19~44,남,69.3
강남구,19~44,여,59.2
강남구,45~64,계,51.4
강남구,45~64,남,58.8
강남구,45~64,여,45.9
강남구,65~74,계,36.7
강남구,65~74,남,40.5
강남구,65~74,여,33.3
강남구,75 이상,계,21.9
강남구,75 이상,남,18.8
강남구,75 이상,여,25.0
