지역,연령별,성별,주관적 건강수준
서울시,계,계,43.8
서울시,계,남,48.7
서울시,계,여,39.9
서울시,19~44,계,55.1
서울시,19~44,남,59.3
서울시,19~44,여,51.4
서울시,45~64,계,40.7
서울시,45~64,남,44.8
서울시,45~64,여,37.4
서울시,65~74,계,30.9
서울시,65~74,남,36.2
서울시,65~74,여,26.8
서울시,75 이상,계,20.5
서울시,75 이상,남,25.9
서울시,75 이상,여,16.6
영등포구,계,계,50.9
영등포구,계,남,55.7
영등포구,계,여,46.7
영등포구,19~44,계,61.3
영등포구,19~44,남,65.8
영등포구,19~44,여,57.2
영등포구,45~64,계,44.9
영등포구,45~64,남,48.8
영등포구,45~64,여,41.4
영등포구,65~74,계,39.5
영등포구,65~74,남,48.6
영등포구,65~74,여,32.7
영등포구,75 이상,계,30.3
영등포구,75 이상,남,30.8
영등포구,75 이상,여,30.0
양천구,계,계,42.5
양천구,계,남,46.9
양천구,계,여,38.9
양천구,19~44,계,54.4
양천구,19~44,남,59.8
양천구,19~44,여,49.7
양천구,45~64,계,39.9
양천구,45~64,남,41.8
양천구,45~64,여,38.5
양천구,65~74,계,27.1
양천구,65~74,남,37.5
양천구,65~74,여,17.7
양천구,75 이상,계,19.3
양천구,75 이상,남,21.4
양천구,75 이상,여,17.2
마포구,계,계,38.0
마포구,계,남,43.6
마포구,계,여,33.6
마포구,19~44,계,48.8
마포구,19~44,남,55.5
마포구,19~44,여,42.9
마포구,45~64,계,32.9
마포구,45~64,남,35.4
마포구,45~64,여,31.0
마포구,65~74,계,29.9
마포구,65~74,남,40.5
마포구,65~74,여,24.7
마포구,75 이상,계,13.2
마포구,75 이상,남,13.9
마포구,75 이상,여,12.5
동작구,계,계,42.9
동작구,계,남,48.9
동작구,계,여,37.6
동작구,19~44,계,53.1
동작구,19~44,남,58.2
동작구,19~44,여,48.4
동작구,45~64,계,37.5
동작구,45~64,남,43.0
동작구,45~64,여,32.8
동작구,65~74,계,35.3
동작구,65~74,남,46.9
동작구,65~74,여,27.1
동작구,75 이상,계,15.3
동작구,75 이상,남,17.9
동작구,75 이상,여,12.9
금천구,계,계,35.8
금천구,계,남,40.6
금천구,계,여,32.1
금천구,19~44,계,52.9
금천구,19~44,남,56.1
금천구,19~44,여,50.3
금천구,45~64,계,30.4
금천구,45~64,남,36.0
금천구,45~64,여,26.0
금천구,65~74,계,19.7
금천구,65~74,남,22.4
금천구,65~74,여,17.4
금천구,75 이상,계,9.9
금천구,75 이상,남,17.9
금천구,75 이상,여,4.7
구로구,계,계,37.4
구로구,계,남,40.4
구로구,계,여,35.3
구로구,19~44,계,48.6
구로구,19~44,남,48.3
구로구,19~44,여,48.8
구로구,45~64,계,36.5
구로구,45~64,남,39.9
구로구,45~64,여,34.1
구로구,65~74,계,22.7
구로구,65~74,남,31.2
구로구,65~74,여,16.9
구로구,75 이상,계,12.0
구로구,75 이상,남,18.8
구로구,75 이상,여,7.0
관악구,계,계,52.1
관악구,계,남,57.5
관악구,계,여,47.3
관악구,19~44,계,65.8
관악구,19~44,남,69.8
관악구,19~44,여,61.4
관악구,45~64,계,47.6
관악구,45~64,남,53.0
관악구,45~64,여,43.8
관악구,65~74,계,35.8
관악구,65~74,남,48.0
관악구,65~74,여,25.4
관악구,75 이상,계,22.5
관악구,75 이상,남,17.9
관악구,75 이상,여,26.8
강서구,계,계,38.6
강서구,계,남,43.0
강서구,계,여,34.8
강서구,19~44,계,46.4
강서구,19~44,남,45.8
강서구,19~44,여,46.9
강서구,45~64,계,36.3
강서구,45~64,남,44.0
강서구,45~64,여,30.2
강서구,65~74,계,26.9
강서구,65~74,남,34.8
강서구,65~74,여,20.7
강서구,75 이상,계,20.0
강서구,75 이상,남,31.0
강서구,75 이상,여,11.1
중랑구,계,계,36.8
중랑구,계,남,42.6
중랑구,계,여,32.3
중랑구,19~44,계,48.5
중랑구,19~44,남,53.2
중랑구,19~44,여,44.5
중랑구,45~64,계,29.4
중랑구,45~64,남,36.2
중랑구,45~64,여,24.9
중랑구,65~74,계,28.1
중랑구,65~74,남,29.8
중랑구,65~74,여,26.8
중랑구,75 이상,계,27.3
중랑구,75 이상,남,37.5
중랑구,75 이상,여,17.6
종로구,계,계,42.6
종로구,계,남,45.7
종로구,계,여,40.1
종로구,19~44,계,60.3
종로구,19~44,남,59.7
종로구,19~44,여,60.8
종로구,45~64,계,39.5
종로구,45~64,남,42.2
종로구,45~64,여,37.3
종로구,65~74,계,29.3
종로구,65~74,남,34.0
종로구,65~74,여,26.2
종로구,75 이상,계,13.4
종로구,75 이상,남,21.1
종로구,75 이상,여,8.5
은평구,계,계,40.4
은평구,계,남,46.4
은평구,계,여,35.9
은평구,19~44,계,53.2
은평구,19~44,남,60.0
은평구,19~44,여,47.8
은평구,45~64,계,35.8
은평구,45~64,남,36.5
은평구,45~64,여,35.2
은평구,65~74,계,31.9
은평구,65~74,남,53.1
은평구,65~74,여,17.1
은평구,75 이상,계,16.2
은평구,75 이상,남,17.6
은평구,75 이상,여,15.2
성북구,계,계,39.2
성북구,계,남,44.4
성북구,계,여,34.9
성북구,19~44,계,50.8
성북구,19~44,남,60.5
성북구,19~44,여,41.7
성북구,45~64,계,36.5
성북구,45~64,남,35.3
성북구,45~64,여,37.4
성북구,65~74,계,22.0
성북구,65~74,남,19.6
성북구,65~74,여,24.1
성북구,75 이상,계,15.0
성북구,75 이상,남,25.8
성북구,75 이상,여,8.2
서대문구,계,계,48.3
서대문구,계,남,55.1
서대문구,계,여,42.9
서대문구,19~44,계,63.3
서대문구,19~44,남,69.0
