지역,연령별,성별,주관적 스트레스 수준
서대문구,19~44,남,28.7
서대문구,19~44,여,29.9
서대문구,45~64,계,23.0
서대문구,45~64,남,18.3
서대문구,45~64,여,26.6
서대문구,65~74,계,17.1
서대문구,65~74,남,17.9
서대문구,65~74,여,16.7
서대문구,75 이상,계,14.3
서대문구,75 이상,남,11.4
서대문구,75 이상,여,16.7
도봉구,계,계,26.9
도봉구,계,남,26.7
도봉구,계,여,27.1
도봉구,19~44,계,35.9
도봉구,19~44,남,32.1
도봉구,19~44,여,39.1
도봉구,45~64,계,23.6
도봉구,45~64,남,25.6
도봉구,45~64,여,22.0
도봉구,65~74,계,16.3
도봉구,65~74,남,16.4
도봉구,65~74,여,16.2
도봉구,75 이상,계,21.1
도봉구,75 이상,남,24.2
도봉구,75 이상,여,18.6
노원구,계,계,25.9
노원구,계,남,21.9
노원구,계,여,28.8
노원구,19~44,계,31.1
노원구,19~44,남,25.7
노원구,19~44,여,35.0
노원구,45~64,계,21.7
노원구,45~64,남,20.3
노원구,45~64,여,22.8
노원구,65~74,계,20.9
노원구,65~74,남,15.9
노원구,65~74,여,25.5
노원구,75 이상,계,23.0
노원구,75 이상,남,11.8
노원구,75 이상,여,26.3
강북구,계,계,28.0
강북구,계,남,24.1
강북구,계,여,31.2
강북구,19~44,계,37.4
강북구,19~44,남,34.0
강북구,19~44,여,40.5
강북구,45~64,계,26.2
강북구,45~64,남,22.1
강북구,45~64,여,29.2
강북구,65~74,계,16.2
강북구,65~74,남,10.4
강북구,65~74,여,21.0
강북구,75 이상,계,21.6
강북구,75 이상,남,16.2
강북구,75 이상,여,25.5
중구,계,계,23.7
중구,계,남,22.5
중구,계,여,24.6
중구,19~44,계,29.0
중구,19~44,남,25.0
중구,19~44,여,32.5
중구,45~64,계,25.3
중구,45~64,남,25.7
중구,45~64,여,25.0
중구,65~74,계,12.7
중구,65~74,남,13.6
중구,65~74,여,12.0
중구,75 이상,계,13.8
중구,75 이상,남,12.5
중구,75 이상,여,14.5
용산구,계,계,20.5
용산구,계,남,19.9
용산구,계,여,21.0
용산구,19~44,계,26.3
용산구,19~44,남,23.8
용산구,19~44,여,28.2
용산구,45~64,계,18.4
용산구,45~64,남,21.6
용산구,45~64,여,15.8
용산구,65~74,계,11.1
용산구,65~74,남,6.7
용산구,65~74,여,14.3
용산구,75 이상,계,14.8
용산구,75 이상,남,13.3
용산구,75 이상,여,15.7
송파구,계,계,22.3
송파구,계,남,22.6
송파구,계,여,22.1
송파구,19~44,계,30.3
송파구,19~44,남,32.8
송파구,19~44,여,28.1
송파구,45~64,계,16.0
송파구,45~64,남,13.7
송파구,45~64,여,17.9
송파구,65~74,계,16.7
송파구,65~74,남,11.1
송파구,65~74,여,20.4
송파구,75 이상,계,12.7
송파구,75 이상,남,17.4
송파구,75 이상,여,9.4
성동구,계,계,27.6
성동구,계,남,26.7
성동구,계,여,28.4
성동구,19~44,계,37.7
성동구,19~44,남,34.4
성동구,19~44,여,40.7
성동구,45~64,계,22.1
성동구,45~64,남,25.3
성동구,45~64,여,19.3
성동구,65~74,계,19.0
성동구,65~74,남,17.9
성동구,65~74,여,20.0
성동구,75 이상,계,11.7
성동구,75 이상,남,7.7
성동구,75 이상,여,15.8
서초구,계,계,27.9
서초구,계,남,25.9
서초구,계,여,29.5
서초구,19~44,계,33.5
서초구,19~44,남,30.6
서초구,19~44,여,35.8
서초구,45~64,계,25.1
서초구,45~64,남,24.8
서초구,45~64,여,25.3
서초구,65~74,계,14.4
서초구,65~74,남,11.4
서초구,65~74,여,17.0
서초구,75 이상,계,24.4
서초구,75 이상,남,20.0
서초구,75 이상,여,28.0
동대문구,계,계,27.7
동대문구,계,남,25.8
동대문구,계,여,29.3
동대문구,19~44,계,35.9
동대문구,19~44,남,30.5
동대문구,19~44,여,41.7
동대문구,45~64,계,26.1
동대문구,45~64,남,29.7
동대문구,45~64,여,23.4
동대문구,65~74,계,16.1
동대문구,65~74,남,16.7
동대문구,65~74,여,15.6
동대문구,75 이상,계,19.0
동대문구,75 이상,남,5.4
동대문구,75 이상,여,27.0
광진구,계,계,27.0
광진구,계,남,25.1
광진구,계,여,28.5
광진구,19~44,계,36.7
광진구,19~44,남,35.1
광진구,19~44,여,38.2
광진구,45~64,계,19.8
광진구,45~64,남,16.4
광진구,45~64,여,22.5
광진구,65~74,계,18.6
광진구,65~74,남,17.6
광진구,65~74,여,19.4
광진구,75 이상,계,12.1
광진구,75 이상,남,10.3
광진구,75 이상,여,13.8
강동구,계,계,26.0
강동구,계,남,23.9
강동구,계,여,27.7
강동구,19~44,계,33.2
강동구,19~44,남,29.3
강동구,19~44,여,36.8
강동구,45~64,계,23.5
강동구,45~64,남,22.9
강동구,45~64,여,24.0
강동구,65~74,계,15.7
강동구,65~74,남,16.7
강동구,65~74,여,14.8
강동구,75 이상,계,15.7
강동구,75 이상,남,0.0
강동구,75 이상,여,24.2
강남구,계,계,25.0
강남구,계,남,24.7
강남구,계,여,25.2
강남구,19~44,계,30.1
강남구,19~44,남,28.1
강남구,19~44,여,31.7
강남구,45~64,계,21.0
강남구,45~64,남,22.9
강남구,45~64,여,19.6
강남구,65~74,계,19.3
강남구,65~74,남,17.1
강남구,65~74,여,21.3
강남구,75 이상,계,16.1
강남구,75 이상,남,20.0
강남구,75 이상,여,12.5
