지역,연령별,성별,격렬한 신체활동 실천
중랑구,19~44,여,20.5
중랑구,45~64,계,14.9
중랑구,45~64,남,17.7
중랑구,45~64,여,12.9
중랑구,65~74,계,12.5
중랑구,65~74,남,17.5
중랑구,65~74,여,8.5
중랑구,75 이상,계,0.0
중랑구,75 이상,남,0.0
중랑구,75 이상,여,0.0
종로구,계,계,15.0
종로구,계,남,21.4
종로구,계,여,9.9
종로구,19~44,계,20.9
종로구,19~44,남,31.8
종로구,19~44,여,11.1
종로구,45~64,계,13.8
종로구,45~64,남,16.3
종로구,45~64,여,11.8
종로구,65~74,계,9.0
종로구,65~74,남,11.3
종로구,65~74,여,7.5
종로구,75 이상,계,8.2
종로구,75 이상,남,15.8
종로구,75 이상,여,3.4
은평구,계,계,11.5
은평구,계,남,15.8
은평구,계,여,8.1
은평구,19~44,계,12.5
은평구,19~44,남,18.1
은평구,19~44,여,8.0
은평구,45~64,계,13.5
은평구,45~64,남,16.0
은평구,45~64,여,11.6
은평구,65~74,계,8.4
은평구,65~74,남,14.3
은평구,65~74,여,4.3
은평구,75 이상,계,2.5
은평구,75 이상,남,5.9
은평구,75 이상,여,0.0
성북구,계,계,21.2
성북구,계,남,28.8
성북구,계,여,14.9
성북구,19~44,계,22.7
성북구,19~44,남,31.6
성북구,19~44,여,14.6
성북구,45~64,계,23.5
성북구,45~64,남,30.0
성북구,45~64,여,18.5
성북구,65~74,계,17.0
성북구,65~74,남,28.3
성북구,65~74,여,7.4
성북구,75 이상,계,8.8
성북구,75 이상,남,6.5
성북구,75 이상,여,10.2
서대문구,계,계,12.0
서대문구,계,남,12.6
서대문구,계,여,11.6
서대문구,19~44,계,17.5
서대문구,19~44,남,18.4
서대문구,19~44,여,16.7
서대문구,45~64,계,12.5
서대문구,45~64,남,13.7
서대문구,45~64,여,11.6
서대문구,65~74,계,5.5
서대문구,65~74,남,1.8
서대문구,65~74,여,7.8
서대문구,75 이상,계,0.0
서대문구,75 이상,남,0.0
서대문구,75 이상,여,0.0
도봉구,계,계,13.6
도봉구,계,남,17.3
도봉구,계,여,10.6
도봉구,19~44,계,19.7
도봉구,19~44,남,26.9
도봉구,19~44,여,13.6
도봉구,45~64,계,11.6
도봉구,45~64,남,13.1
도봉구,45~64,여,10.5
도봉구,65~74,계,9.3
도봉구,65~74,남,9.1
도봉구,65~74,여,9.5
도봉구,75 이상,계,2.6
도봉구,75 이상,남,6.1
도봉구,75 이상,여,0.0
노원구,계,계,11.9
노원구,계,남,15.7
노원구,계,여,9.2
노원구,19~44,계,12.5
노원구,19~44,남,17.7
노원구,19~44,여,8.5
노원구,45~64,계,14.0
노원구,45~64,남,16.3
노원구,45~64,여,12.2
노원구,65~74,계,6.6
노원구,65~74,남,4.5
노원구,65~74,여,8.5
노원구,75 이상,계,5.4
노원구,75 이상,남,17.6
노원구,75 이상,여,1.8
강북구,계,계,8.4
강북구,계,남,12.9
강북구,계,여,4.7
강북구,19~44,계,14.6
강북구,19~44,남,22.2
강북구,19~44,여,7.7
강북구,45~64,계,6.1
강북구,45~64,남,7.8
강북구,45~64,여,4.8
강북구,65~74,계,4.7
강북구,65~74,남,9.0
강북구,65~74,여,1.2
강북구,75 이상,계,1.1
강북구,75 이상,남,2.7
강북구,75 이상,여,0.0
중구,계,계,19.3
중구,계,남,25.8
중구,계,여,14.3
중구,19~44,계,21.7
중구,19~44,남,30.5
중구,19~44,여,14.1
중구,45~64,계,22.6
중구,45~64,남,27.9
중구,45~64,여,18.6
중구,65~74,계,13.4
중구,65~74,남,18.6
중구,65~74,여,9.6
중구,75 이상,계,6.9
중구,75 이상,남,6.2
중구,75 이상,여,7.3
용산구,계,계,22.1
용산구,계,남,27.0
용산구,계,여,18.5
용산구,19~44,계,21.8
용산구,19~44,남,28.0
용산구,19~44,여,17.2
용산구,45~64,계,26.4
용산구,45~64,남,29.9
용산구,45~64,여,23.6
용산구,65~74,계,21.3
용산구,65~74,남,24.4
용산구,65~74,여,19.0
용산구,75 이상,계,13.0
용산구,75 이상,남,17.8
용산구,75 이상,여,10.0
송파구,계,계,16.8
송파구,계,남,22.4
송파구,계,여,12.1
송파구,19~44,계,18.7
송파구,19~44,남,27.8
송파구,19~44,여,10.7
송파구,45~64,계,14.9
송파구,45~64,남,16.1
송파구,45~64,여,13.9
송파구,65~74,계,22.2
송파구,65~74,남,27.8
송파구,65~74,여,18.5
송파구,75 이상,계,5.5
송파구,75 이상,남,13.0
송파구,75 이상,여,0.0
성동구,계,계,12.6
성동구,계,남,15.3
성동구,계,여,10.1
성동구,19~44,계,16.3
성동구,19~44,남,18.5
성동구,19~44,여,14.4
성동구,45~64,계,12.0
성동구,45~64,남,15.1
성동구,45~64,여,9.4
성동구,65~74,계,8.3
성동구,65~74,남,12.5
성동구,65~74,여,4.6
성동구,75 이상,계,2.5
성동구,75 이상,남,5.0
성동구,75 이상,여,0.0
서초구,계,계,21.7
서초구,계,남,29.4
서초구,계,여,15.6
서초구,19~44,계,23.9
서초구,19~44,남,35.9
서초구,19~44,여,14.2
서초구,45~64,계,21.5
서초구,45~64,남,25.5
서초구,45~64,여,18.4
서초구,65~74,계,16.5
서초구,65~74,남,22.7
서초구,65~74,여,11.3
서초구,75 이상,계,13.3
서초구,75 이상,남,10.0
서초구,75 이상,여,16.0
동대문구,계,계,13.7
동대문구,계,남,16.6
동대문구,계,여,11.2
동대문구,19~44,계,15.7
동대문구,19~44,남,17.4
동대문구,19~44,여,13.9
동대문구,45~64,계,14.7
동대문구,45~64,남,19.5
동대문구,45~64,여,11.1
동대문구,65~74,계,10.7
동대문구,65~74,남,12.5
동대문구,65~74,여,9.1
동대문구,75 이상,계,8.0
동대문구,75 이상,남,10.8
동대문구,75 이상,여,6.3
광진구,계,계,17.1
광진구,계,남,21.1
광진구,계,여,13.8
광진구,19~44,계,19.4
광진구,19~44,남,21.8
광진구,19~44,여,17.3
광진구,45~64,계,17.6
광진구,45~64,남,24.3
광진구,45~64,여,12.4
광진구,65~74,계,11.0
광진구,65~74,남,11.8
광진구,65~74,여,10.4
광진구,75 이상,계,10.3
광진구,75 이상,남,17.2
광진구,75 이상,여,3.4
강동구,계,계,23.3
강동구,계,남,28.2
강동구,계,여,19.2
강동구,19~44,계,24.6
강동구,19~44,남,28.3
강동구,19~44,여,21.1
강동구,45~64,계,25.4
강동구,45~64,남,33.3
강동구,45~64,여,19.8
강동구,65~74,계,19.0
강동구,65~74,남,21.7
강동구,65~74,여,16.4
강동구,75 이상,계,7.8
강동구,75 이상,남,5.6
강동구,75 이상,여,9.1
강남구,계,계,19.4
강남구,계,남,26.3
강남구,계,여,14.0
강남구,19~44,계,22.9
강남구,19~44,남,31.8
강남구,19~44,여,15.8
강남구,45~64,계,17.4
강남구,45~64,남,22.9
강남구,45~64,여,13.4
강남구,65~74,계,14.4
강남구,65~74,남,19.0
강남구,65~74,여,10.4
강남구,75 이상,계,9.4
강남구,75 이상,남,12.5
강남구,75 이상,여,6.2
