지역,연령별,성별,격렬한 신체활동 실천
서울시,계,계,15.8
서울시,계,남,20.3
서울시,계,여,12.2
서울시,19~44,계,18.8
서울시,19~44,남,24.3
서울시,19~44,여,14.0
서울시,45~64,계,15.9
서울시,45~64,남,19.7
서울시,45~64,여,13.0
서울시,65~74,계,11.7
서울시,65~74,남,15.0
서울시,65~74,여,9.2
서울시,75 이상,계,5.7
서울시,75 이상,남,8.2
서울시,75 이상,여,4.0
영등포구,계,계,16.2
영등포구,계,남,17.9
영등포구,계,여,14.6
영등포구,19~44,계,17.5
영등포구,19~44,남,20.8
영등포구,19~44,여,14.4
영등포구,45~64,계,15.1
영등포구,45~64,남,14.0
영등포구,45~64,여,16.0
영등포구,65~74,계,18.6
영등포구,65~74,남,18.9
영등포구,65~74,여,18.4
영등포구,75 이상,계,10.6
영등포구,75 이상,남,19.2
영등포구,75 이상,여,5.0
양천구,계,계,16.1
양천구,계,남,19.4
양천구,계,여,13.4
양천구,19~44,계,18.4
양천구,19~44,남,19.5
양천구,19~44,여,17.5
양천구,45~64,계,17.4
양천구,45~64,남,23.5
양천구,45~64,여,12.7
양천구,65~74,계,10.2
양천구,65~74,남,12.5
양천구,65~74,여,8.1
양천구,75 이상,계,5.3
양천구,75 이상,남,7.1
양천구,75 이상,여,3.4
마포구,계,계,13.4
마포구,계,남,18.3
마포구,계,여,9.7
마포구,19~44,계,18.8
마포구,19~44,남,23.0
마포구,19~44,여,15.1
마포구,45~64,계,12.3
마포구,45~64,남,18.5
마포구,45~64,여,7.6
마포구,65~74,계,6.3
마포구,65~74,남,9.5
마포구,65~74,여,4.7
마포구,75 이상,계,1.3
마포구,75 이상,남,2.8
마포구,75 이상,여,0.0
동작구,계,계,17.9
동작구,계,남,23.9
동작구,계,여,12.7
동작구,19~44,계,22.4
동작구,19~44,남,27.9
동작구,19~44,여,17.2
동작구,45~64,계,18.3
동작구,45~64,남,26.2
동작구,45~64,여,11.5
동작구,65~74,계,8.4
동작구,65~74,남,10.2
동작구,65~74,여,7.1
동작구,75 이상,계,3.4
동작구,75 이상,남,7.1
동작구,75 이상,여,0.0
금천구,계,계,14.6
금천구,계,남,17.1
금천구,계,여,12.5
금천구,19~44,계,13.8
금천구,19~44,남,14.6
금천구,19~44,여,13.1
금천구,45~64,계,16.3
금천구,45~64,남,19.9
금천구,45~64,여,13.5
금천구,65~74,계,15.1
금천구,65~74,남,17.2
금천구,65~74,여,13.2
금천구,75 이상,계,8.5
금천구,75 이상,남,14.3
금천구,75 이상,여,4.7
구로구,계,계,9.4
구로구,계,남,13.0
구로구,계,여,6.7
구로구,19~44,계,12.3
구로구,19~44,남,17.2
구로구,19~44,여,8.7
구로구,45~64,계,9.3
구로구,45~64,남,13.1
구로구,45~64,여,6.5
구로구,65~74,계,6.7
구로구,65~74,남,8.3
구로구,65~74,여,5.6
구로구,75 이상,계,0.0
구로구,75 이상,남,0.0
구로구,75 이상,여,0.0
관악구,계,계,16.8
관악구,계,남,20.4
관악구,계,여,13.5
관악구,19~44,계,20.6
관악구,19~44,남,27.0
관악구,19~44,여,13.8
관악구,45~64,계,15.1
관악구,45~64,남,15.2
관악구,45~64,여,15.1
관악구,65~74,계,14.7
관악구,65~74,남,18.0
관악구,65~74,여,11.9
관악구,75 이상,계,6.3
관악구,75 이상,남,5.1
관악구,75 이상,여,7.5
강서구,계,계,14.1
강서구,계,남,19.2
강서구,계,여,9.8
강서구,19~44,계,15.8
강서구,19~44,남,20.2
강서구,19~44,여,11.5
강서구,45~64,계,13.9
강서구,45~64,남,18.7
강서구,45~64,여,10.1
강서구,65~74,계,13.5
강서구,65~74,남,23.9
강서구,65~74,여,5.2
강서구,75 이상,계,6.2
강서구,75 이상,남,6.9
강서구,75 이상,여,5.6
중랑구,계,계,17.2
중랑구,계,남,20.7
중랑구,계,여,14.4
중랑구,19~44,계,24.0
중랑구,19~44,남,28.1
