지역,연령별,성별,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
서울시,계,계,43.8,60.3,15.8,70.1,25.9,7.0,9.5,65.7,6.92
서울시,계,남,48.7,62.8,20.3,71.7,24.8,5.3,11.5,58.5,6.95
서울시,계,여,39.9,58.2,12.2,68.8,26.7,8.3,7.8,71.7,6.9
서울시,19~44,계,55.1,63.4,18.8,64.4,32.5,6.8,8.8,72.9,7.07
서울시,19~44,남,59.3,66.3,24.3,66.4,30.1,4.9,11.3,65.1,7.12
서울시,19~44,여,51.4,60.8,14.0,62.6,34.6,8.5,6.7,79.7,7.02
서울시,45~64,계,40.7,59.0,15.9,72.0,23.5,6.8,10.3,67.8,6.91
서울시,45~64,남,44.8,59.5,19.7,74.5,24.7,5.4,11.3,58.2,6.89
서울시,45~64,여,37.4,58.7,13.0,70.0,22.6,7.8,9.6,75.2,6.93
서울시,65~74,계,30.9,61.5,11.7,77.0,16.8,7.2,10.9,55.3,6.79
서울시,65~74,남,36.2,64.6,15.0,76.6,14.4,6.2,13.5,48.4,6.74
서울시,65~74,여,26.8,59.2,9.2,77.4,18.6,8.0,8.9,60.6,6.83
서울시,75 이상,계,20.5,48.0,5.7,80.5,16.9,8.3,6.9,35.4,6.45
서울시,75 이상,남,25.9,56.1,8.2,80.8,12.2,5.3,11.3,37.6,6.63
서울시,75 이상,여,16.6,42.1,4.0,80.3,20.4,10.5,3.7,33.7,6.31
영등포구,계,계,50.9,74.2,16.2,49.6,28.1,5.5,8.8,64.2,7.23
영등포구,계,남,55.7,76.0,17.9,47.2,28.4,3.7,9.1,54.5,7.24
영등포구,계,여,46.7,72.6,14.6,51.6,27.8,7.1,8.5,72.6,7.22
영등포구,19~44,계,61.3,77.4,17.5,41.7,31.6,4.7,6.1,70.0,7.19
영등포구,19~44,남,65.8,82.2,20.8,42.1,30.2,3.0,6.4,58.9,7.18
영등포구,19~44,여,57.2,73.0,14.4,41.4,32.9,6.3,5.9,80.2,7.2
영등포구,45~64,계,44.9,71.9,15.1,49.9,30.1,6.4,9.9,64.9,7.21
영등포구,45~64,남,48.8,68.3,14.0,44.5,32.9,5.5,6.7,52.4,7.2
영등포구,45~64,여,41.4,75.1,16.0,54.7,27.6,7.2,12.7,76.2,7.22
영등포구,65~74,계,39.5,79.1,18.6,69.8,12.8,3.5,16.3,59.3,7.5
영등포구,65~74,남,48.6,81.1,18.9,73.0,10.8,0.0,24.3,56.8,7.59
영등포구,65~74,여,32.7,77.6,18.4,67.3,14.3,6.2,10.2,61.2,7.43
영등포구,75 이상,계,30.3,59.1,10.6,72.3,15.2,9.1,10.6,28.8,7.24
영등포구,75 이상,남,30.8,69.2,19.2,68.0,11.5,3.8,23.1,30.8,7.5
영등포구,75 이상,여,30.0,52.5,5.0,75.0,17.5,12.5,2.5,27.5,7.08
양천구,계,계,42.5,59.8,16.1,71.4,28.2,5.6,8.8,66.5,6.91
양천구,계,남,46.9,62.7,19.4,70.0,29.8,4.1,11.8,58.9,6.86
