지역,연령별,성별,우울감 경험률
서울시,계,계,7.0
서울시,계,남,5.3
서울시,계,여,8.3
서울시,19~44,계,6.8
서울시,19~44,남,4.9
서울시,19~44,여,8.5
서울시,45~64,계,6.8
서울시,45~64,남,5.4
서울시,45~64,여,7.8
서울시,65~74,계,7.2
서울시,65~74,남,6.2
서울시,65~74,여,8.0
서울시,75 이상,계,8.3
서울시,75 이상,남,5.3
서울시,75 이상,여,10.5
영등포구,계,계,5.5
영등포구,계,남,3.7
영등포구,계,여,7.1
영등포구,19~44,계,4.7
영등포구,19~44,남,3.0
영등포구,19~44,여,6.3
영등포구,45~64,계,6.4
영등포구,45~64,남,5.5
영등포구,45~64,여,7.2
영등포구,65~74,계,3.5
영등포구,65~74,남,0.0
영등포구,65~74,여,6.2
영등포구,75 이상,계,9.1
영등포구,75 이상,남,3.8
영등포구,75 이상,여,12.5
양천구,계,계,5.6
양천구,계,남,4.1
양천구,계,여,6.8
양천구,19~44,계,5.1
양천구,19~44,남,4.3
양천구,19~44,여,5.8
양천구,45~64,계,4.9
양천구,45~64,남,3.6
양천구,45~64,여,5.9
양천구,65~74,계,9.3
양천구,65~74,남,5.4
양천구,65~74,여,12.9
양천구,75 이상,계,5.4
양천구,75 이상,남,3.6
양천구,75 이상,여,7.1
마포구,계,계,7.3
마포구,계,남,4.5
마포구,계,여,9.5
마포구,19~44,계,7.3
마포구,19~44,남,3.7
마포구,19~44,여,10.5
마포구,45~64,계,6.7
마포구,45~64,남,4.7
마포구,45~64,여,8.2
마포구,65~74,계,7.1
마포구,65~74,남,7.1
마포구,65~74,여,7.1
마포구,75 이상,계,10.5
마포구,75 이상,남,5.6
마포구,75 이상,여,15.0
동작구,계,계,7.6
동작구,계,남,5.4
동작구,계,여,9.6
동작구,19~44,계,7.5
동작구,19~44,남,5.0
동작구,19~44,여,9.8
동작구,45~64,계,7.1
동작구,45~64,남,6.0
동작구,45~64,여,8.1
동작구,65~74,계,8.4
동작구,65~74,남,4.1
동작구,65~74,여,11.4
동작구,75 이상,계,10.2
동작구,75 이상,남,7.1
동작구,75 이상,여,12.9
금천구,계,계,5.3
금천구,계,남,3.2
금천구,계,여,6.9
금천구,19~44,계,5.7
금천구,19~44,남,2.5
금천구,19~44,여,8.4
금천구,45~64,계,5.7
금천구,45~64,남,5.0
금천구,45~64,여,6.3
금천구,65~74,계,3.9
금천구,65~74,남,0.0
금천구,65~74,여,7.2
금천구,75 이상,계,2.8
금천구,75 이상,남,3.6
금천구,75 이상,여,2.3
구로구,계,계,5.5
구로구,계,남,5.2
구로구,계,여,5.8
구로구,19~44,계,5.0
구로구,19~44,남,4.6
구로구,19~44,여,5.3
구로구,45~64,계,5.7
구로구,45~64,남,5.2
구로구,45~64,여,6.1
구로구,65~74,계,5.9
구로구,65~74,남,8.3
구로구,65~74,여,4.2
구로구,75 이상,계,6.7
구로구,75 이상,남,3.1
구로구,75 이상,여,9.3
관악구,계,계,7.8
관악구,계,남,6.0
관악구,계,여,9.3
관악구,19~44,계,6.8
관악구,19~44,남,4.7
관악구,19~44,여,9.1
관악구,45~64,계,8.5
관악구,45~64,남,6.1
관악구,45~64,여,10.3
관악구,65~74,계,8.3
관악구,65~74,남,10.0
관악구,65~74,여,6.8
관악구,75 이상,계,8.8
관악구,75 이상,남,7.7
관악구,75 이상,여,9.8
강서구,계,계,7.3
강서구,계,남,7.0
강서구,계,여,7.5
강서구,19~44,계,6.1
강서구,19~44,남,5.4
강서구,19~44,여,6.7
강서구,45~64,계,8.0
강서구,45~64,남,8.0
강서구,45~64,여,7.9
강서구,65~74,계,9.6
강서구,65~74,남,10.9
강서구,65~74,여,8.6
강서구,75 이상,계,7.7
강서구,75 이상,남,6.9
강서구,75 이상,여,8.3
중랑구,계,계,10.2
중랑구,계,남,5.7
중랑구,계,여,13.6
중랑구,19~44,계,9.2
중랑구,19~44,남,2.9
중랑구,19~44,여,14.5
중랑구,45~64,계,11.4
중랑구,45~64,남,7.8
중랑구,45~64,여,13.9
중랑구,65~74,계,10.2
중랑구,65~74,남,10.5
중랑구,65~74,여,9.9
중랑구,75 이상,계,9.1
중랑구,75 이상,남,3.1
중랑구,75 이상,여,14.7
종로구,계,계,5.3
종로구,계,남,4.4
종로구,계,여,6.0
종로구,19~44,계,7.1
종로구,19~44,남,4.5
종로구,19~44,여,9.4
종로구,45~64,계,4.1
종로구,45~64,남,5.4
종로구,45~64,여,2.9
종로구,65~74,계,3.0
종로구,65~74,남,1.9
종로구,65~74,여,3.8
종로구,75 이상,계,7.2
종로구,75 이상,남,2.6
종로구,75 이상,여,10.2
은평구,계,계,7.3
은평구,계,남,7.0
은평구,계,여,7.6
은평구,19~44,계,6.9
은평구,19~44,남,6.9
은평구,19~44,여,7.0
은평구,45~64,계,8.7
은평구,45~64,남,8.3
은평구,45~64,여,9.0
은평구,65~74,계,5.1
은평구,65~74,남,6.1
은평구,65~74,여,4.3
은평구,75 이상,계,6.2
은평구,75 이상,남,2.9
은평구,75 이상,여,8.7
성북구,계,계,7.9
성북구,계,남,6.2
성북구,계,여,9.3
성북구,19~44,계,7.8
성북구,19~44,남,5.8
성북구,19~44,여,9.7
성북구,45~64,계,6.4
성북구,45~64,남,6.7
성북구,45~64,여,6.2
성북구,65~74,계,8.0
성북구,65~74,남,4.3
성북구,65~74,여,11.1
성북구,75 이상,계,15.0
성북구,75 이상,남,9.7
성북구,75 이상,여,18.4
서대문구,계,계,5.1
서대문구,계,남,3.0
서대문구,계,여,6.8
서대문구,19~44,계,4.6
서대문구,19~44,남,2.3
서대문구,19~44,여,6.7
서대문구,45~64,계,4.6
서대문구,45~64,남,3.1
서대문구,45~64,여,5.8
서대문구,65~74,계,6.2
서대문구,65~74,남,1.8
서대문구,65~74,여,8.9
서대문구,75 이상,계,7.1
서대문구,75 이상,남,6.8
서대문구,75 이상,여,7.4
도봉구,계,계,7.1
도봉구,계,남,6.4
도봉구,계,여,7.6
도봉구,19~44,계,6.2
도봉구,19~44,남,5.1
도봉구,19~44,여,7.1
도봉구,45~64,계,8.9
도봉구,45~64,남,8.1
도봉구,45~64,여,9.5
도봉구,65~74,계,4.7
도봉구,65~74,남,7.3
도봉구,65~74,여,2.7
도봉구,75 이상,계,6.6
도봉구,75 이상,남,3.0
도봉구,75 이상,여,9.3
노원구,계,계,5.0
노원구,계,남,2.6
노원구,계,여,6.7
노원구,19~44,계,5.1
노원구,19~44,남,3.4
노원구,19~44,여,6.4
노원구,45~64,계,3.4
노원구,45~64,남,1.3
노원구,45~64,여,5.1
노원구,65~74,계,4.4
노원구,65~74,남,0.0
