지역,연령별,성별,우울감 경험률
노원구,65~74,여,8.5
노원구,75 이상,계,12.2
노원구,75 이상,남,11.8
노원구,75 이상,여,12.3
강북구,계,계,8.9
강북구,계,남,6.3
강북구,계,여,11.0
강북구,19~44,계,9.3
강북구,19~44,남,7.2
강북구,19~44,여,11.3
강북구,45~64,계,10.5
강북구,45~64,남,6.5
강북구,45~64,여,13.4
강북구,65~74,계,4.1
강북구,65~74,남,4.5
강북구,65~74,여,3.7
강북구,75 이상,계,9.1
강북구,75 이상,남,5.4
강북구,75 이상,여,11.8
중구,계,계,4.7
중구,계,남,4.3
중구,계,여,5.0
중구,19~44,계,3.7
중구,19~44,남,3.7
중구,19~44,여,3.7
중구,45~64,계,5.2
중구,45~64,남,3.6
중구,45~64,여,6.4
중구,65~74,계,6.3
중구,65~74,남,8.5
중구,65~74,여,4.8
중구,75 이상,계,4.6
중구,75 이상,남,3.1
중구,75 이상,여,5.5
용산구,계,계,5.9
용산구,계,남,4.1
용산구,계,여,7.2
용산구,19~44,계,5.1
용산구,19~44,남,2.4
용산구,19~44,여,7.0
용산구,45~64,계,7.7
용산구,45~64,남,6.7
용산구,45~64,여,8.5
용산구,65~74,계,3.7
용산구,65~74,남,2.2
용산구,65~74,여,4.8
용산구,75 이상,계,6.1
용산구,75 이상,남,4.4
용산구,75 이상,여,7.1
송파구,계,계,6.7
송파구,계,남,6.1
송파구,계,여,7.2
송파구,19~44,계,7.1
송파구,19~44,남,7.1
송파구,19~44,여,7.1
송파구,45~64,계,5.4
송파구,45~64,남,4.8
송파구,45~64,여,6.0
송파구,65~74,계,11.1
송파구,65~74,남,8.3
송파구,65~74,여,13.0
송파구,75 이상,계,5.5
송파구,75 이상,남,4.3
송파구,75 이상,여,6.2
성동구,계,계,5.2
성동구,계,남,4.6
성동구,계,여,5.8
성동구,19~44,계,4.8
성동구,19~44,남,3.7
성동구,19~44,여,5.7
성동구,45~64,계,4.7
성동구,45~64,남,4.1
성동구,45~64,여,5.3
성동구,65~74,계,7.4
성동구,65~74,남,7.1
성동구,65~74,여,7.7
성동구,75 이상,계,6.3
성동구,75 이상,남,7.5
성동구,75 이상,여,5.1
서초구,계,계,7.5
서초구,계,남,5.4
서초구,계,여,9.3
서초구,19~44,계,8.0
서초구,19~44,남,6.1
서초구,19~44,여,9.6
서초구,45~64,계,6.8
서초구,45~64,남,5.4
서초구,45~64,여,7.9
서초구,65~74,계,8.2
서초구,65~74,남,4.5
서초구,65~74,여,11.3
서초구,75 이상,계,6.7
서초구,75 이상,남,0.0
서초구,75 이상,여,12.0
동대문구,계,계,7.5
동대문구,계,남,4.9
동대문구,계,여,9.8
동대문구,19~44,계,9.2
동대문구,19~44,남,4.7
동대문구,19~44,여,13.9
동대문구,45~64,계,8.7
동대문구,45~64,남,6.2
동대문구,45~64,여,10.5
동대문구,65~74,계,3.4
동대문구,65~74,남,4.2
동대문구,65~74,여,2.6
동대문구,75 이상,계,4.0
동대문구,75 이상,남,2.7
동대문구,75 이상,여,4.8
광진구,계,계,9.7
광진구,계,남,9.2
광진구,계,여,10.1
광진구,19~44,계,9.2
광진구,19~44,남,8.4
광진구,19~44,여,10.0
광진구,45~64,계,6.9
광진구,45~64,남,7.1
광진구,45~64,여,6.7
광진구,65~74,계,16.9
광진구,65~74,남,17.6
광진구,65~74,여,16.4
광진구,75 이상,계,13.8
광진구,75 이상,남,10.3
광진구,75 이상,여,17.2
강동구,계,계,10.6
강동구,계,남,7.7
강동구,계,여,13.0
강동구,19~44,계,10.2
강동구,19~44,남,8.7
강동구,19~44,여,11.6
강동구,45~64,계,7.6
강동구,45~64,남,5.2
강동구,45~64,여,9.2
강동구,65~74,계,17.4
강동구,65~74,남,13.3
강동구,65~74,여,21.3
강동구,75 이상,계,19.6
강동구,75 이상,남,0.0
강동구,75 이상,여,30.3
강남구,계,계,7.7
강남구,계,남,4.2
강남구,계,여,10.3
강남구,19~44,계,8.1
강남구,19~44,남,4.7
강남구,19~44,여,10.8
강남구,45~64,계,6.1
강남구,45~64,남,2.0
강남구,45~64,여,9.1
강남구,65~74,계,6.7
강남구,65~74,남,4.8
강남구,65~74,여,8.3
강남구,75 이상,계,21.9
강남구,75 이상,남,18.8
강남구,75 이상,여,25.0
