지역,연령별,성별,긍정적 태도율(자연환경)
서대문구,19~44,남,75.1
서대문구,19~44,여,75.8
서대문구,45~64,계,79.7
서대문구,45~64,남,83.6
서대문구,45~64,여,76.7
서대문구,65~74,계,86.2
서대문구,65~74,남,85.5
서대문구,65~74,여,86.7
서대문구,75 이상,계,85.6
서대문구,75 이상,남,88.6
서대문구,75 이상,여,83.0
도봉구,계,계,84.2
도봉구,계,남,87.4
도봉구,계,여,81.7
도봉구,19~44,계,79.2
도봉구,19~44,남,80.9
도봉구,19~44,여,77.7
도봉구,45~64,계,85.1
도봉구,45~64,남,89.3
도봉구,45~64,여,81.8
도봉구,65~74,계,91.3
도봉구,65~74,남,94.4
도봉구,65~74,여,89.0
도봉구,75 이상,계,90.5
도봉구,75 이상,남,97.0
도봉구,75 이상,여,85.4
노원구,계,계,84.4
노원구,계,남,85.6
노원구,계,여,83.5
노원구,19~44,계,81.9
노원구,19~44,남,84.0
노원구,19~44,여,80.3
노원구,45~64,계,83.3
노원구,45~64,남,84.3
노원구,45~64,여,82.6
노원구,65~74,계,91.2
노원구,65~74,남,93.2
노원구,65~74,여,89.4
노원구,75 이상,계,94.6
노원구,75 이상,남,94.1
노원구,75 이상,여,94.7
강북구,계,계,71.1
강북구,계,남,72.2
강북구,계,여,70.2
강북구,19~44,계,64.6
강북구,19~44,남,68.2
강북구,19~44,여,61.3
강북구,45~64,계,73.7
강북구,45~64,남,73.9
강북구,45~64,여,73.6
강북구,65~74,계,72.8
강북구,65~74,남,72.7
강북구,65~74,여,72.8
강북구,75 이상,계,81.4
강북구,75 이상,남,80.6
강북구,75 이상,여,82.0
중구,계,계,64.9
중구,계,남,66.3
중구,계,여,63.9
중구,19~44,계,57.4
중구,19~44,남,62.3
중구,19~44,여,53.3
중구,45~64,계,64.1
중구,45~64,남,67.7
중구,45~64,여,61.5
중구,65~74,계,73.6
중구,65~74,남,64.4
중구,65~74,여,80.2
중구,75 이상,계,83.7
중구,75 이상,남,84.4
중구,75 이상,여,83.3
용산구,계,계,70.9
용산구,계,남,73.2
용산구,계,여,69.1
용산구,19~44,계,63.5
용산구,19~44,남,63.7
용산구,19~44,여,63.4
용산구,45~64,계,72.2
용산구,45~64,남,75.4
용산구,45~64,여,69.7
용산구,65~74,계,81.5
용산구,65~74,남,88.9
용산구,65~74,여,76.2
용산구,75 이상,계,82.6
용산구,75 이상,남,86.7
용산구,75 이상,여,80.0
송파구,계,계,77.1
송파구,계,남,77.7
송파구,계,여,76.6
송파구,19~44,계,71.6
송파구,19~44,남,73.1
송파구,19~44,여,70.2
송파구,45~64,계,82.0
송파구,45~64,남,83.3
송파구,45~64,여,80.8
송파구,65~74,계,77.3
송파구,65~74,남,79.4
송파구,65~74,여,75.9
송파구,75 이상,계,87.0
송파구,75 이상,남,73.9
송파구,75 이상,여,96.8
성동구,계,계,61.9
성동구,계,남,63.3
성동구,계,여,60.6
성동구,19~44,계,57.8
성동구,19~44,남,60.6
성동구,19~44,여,55.3
성동구,45~64,계,61.9
성동구,45~64,남,64.3
성동구,45~64,여,59.8
성동구,65~74,계,67.5
성동구,65~74,남,61.8
성동구,65~74,여,72.3
성동구,75 이상,계,74.0
성동구,75 이상,남,74.4
성동구,75 이상,여,73.7
서초구,계,계,67.9
서초구,계,남,69.6
서초구,계,여,66.6
서초구,19~44,계,64.9
서초구,19~44,남,66.1
서초구,19~44,여,63.8
서초구,45~64,계,68.7
서초구,45~64,남,72.2
서초구,45~64,여,66.0
서초구,65~74,계,76.6
서초구,65~74,남,76.2
서초구,65~74,여,76.9
서초구,75 이상,계,73.3
서초구,75 이상,남,70.0
서초구,75 이상,여,76.0
동대문구,계,계,60.5
동대문구,계,남,64.1
동대문구,계,여,57.4
동대문구,19~44,계,52.9
동대문구,19~44,남,58.5
동대문구,19~44,여,46.9
동대문구,45~64,계,60.3
동대문구,45~64,남,65.4
동대문구,45~64,여,56.5
동대문구,65~74,계,71.1
동대문구,65~74,남,73.6
동대문구,65~74,여,68.8
동대문구,75 이상,계,73.5
동대문구,75 이상,남,69.4
동대문구,75 이상,여,75.8
광진구,계,계,72.4
광진구,계,남,72.6
광진구,계,여,72.2
광진구,19~44,계,67.6
광진구,19~44,남,65.2
광진구,19~44,여,69.9
광진구,45~64,계,74.8
광진구,45~64,남,78.4
광진구,45~64,여,71.9
광진구,65~74,계,80.2
광진구,65~74,남,78.0
광진구,65~74,여,81.8
광진구,75 이상,계,78.6
광진구,75 이상,남,86.2
광진구,75 이상,여,70.4
강동구,계,계,76.1
강동구,계,남,81.0
강동구,계,여,72.1
강동구,19~44,계,71.1
강동구,19~44,남,75.0
강동구,19~44,여,67.4
강동구,45~64,계,78.9
강동구,45~64,남,86.3
강동구,45~64,여,73.7
강동구,65~74,계,76.9
강동구,65~74,남,81.7
강동구,65~74,여,72.1
강동구,75 이상,계,90.2
강동구,75 이상,남,94.4
강동구,75 이상,여,87.9
강남구,계,계,65.0
강남구,계,남,68.0
강남구,계,여,62.7
강남구,19~44,계,57.3
강남구,19~44,남,60.4
강남구,19~44,여,54.8
강남구,45~64,계,69.6
강남구,45~64,남,73.9
강남구,45~64,여,66.5
강남구,65~74,계,73.3
강남구,65~74,남,69.0
강남구,65~74,여,77.1
강남구,75 이상,계,93.8
강남구,75 이상,남,100.0
강남구,75 이상,여,87.5
