지역,연령별,성별,행복감 지수
서울시,계,계,6.92
서울시,계,남,6.95
서울시,계,여,6.9
서울시,19~44,계,7.07
서울시,19~44,남,7.12
서울시,19~44,여,7.02
서울시,45~64,계,6.91
서울시,45~64,남,6.89
서울시,45~64,여,6.93
서울시,65~74,계,6.79
서울시,65~74,남,6.74
서울시,65~74,여,6.83
서울시,75 이상,계,6.45
서울시,75 이상,남,6.63
서울시,75 이상,여,6.31
영등포구,계,계,7.23
영등포구,계,남,7.24
영등포구,계,여,7.22
영등포구,19~44,계,7.19
영등포구,19~44,남,7.18
영등포구,19~44,여,7.2
영등포구,45~64,계,7.21
영등포구,45~64,남,7.2
영등포구,45~64,여,7.22
영등포구,65~74,계,7.5
영등포구,65~74,남,7.59
영등포구,65~74,여,7.43
영등포구,75 이상,계,7.24
영등포구,75 이상,남,7.5
영등포구,75 이상,여,7.08
양천구,계,계,6.91
양천구,계,남,6.86
양천구,계,여,6.95
양천구,19~44,계,6.86
양천구,19~44,남,6.83
양천구,19~44,여,6.89
양천구,45~64,계,7.02
양천구,45~64,남,6.99
양천구,45~64,여,7.05
양천구,65~74,계,6.79
양천구,65~74,남,6.85
양천구,65~74,여,6.74
양천구,75 이상,계,6.68
양천구,75 이상,남,6.26
양천구,75 이상,여,7.07
마포구,계,계,6.96
마포구,계,남,7.01
마포구,계,여,6.92
마포구,19~44,계,7.16
마포구,19~44,남,7.19
마포구,19~44,여,7.13
마포구,45~64,계,6.95
마포구,45~64,남,6.94
마포구,45~64,여,6.96
마포구,65~74,계,6.81
마포구,65~74,남,7.12
마포구,65~74,여,6.66
마포구,75 이상,계,6.14
마포구,75 이상,남,6.2
마포구,75 이상,여,6.08
동작구,계,계,7.03
동작구,계,남,7.15
동작구,계,여,6.93
동작구,19~44,계,7.19
동작구,19~44,남,7.26
동작구,19~44,여,7.13
동작구,45~64,계,7.02
동작구,45~64,남,7.17
동작구,45~64,여,6.9
동작구,65~74,계,6.96
동작구,65~74,남,7.16
동작구,65~74,여,6.81
동작구,75 이상,계,6.1
동작구,75 이상,남,6.21
동작구,75 이상,여,6.0
금천구,계,계,6.57
금천구,계,남,6.6
금천구,계,여,6.55
금천구,19~44,계,6.82
금천구,19~44,남,6.85
금천구,19~44,여,6.8
금천구,45~64,계,6.48
금천구,45~64,남,6.45
금천구,45~64,여,6.5
금천구,65~74,계,6.44
금천구,65~74,남,6.47
금천구,65~74,여,6.42
금천구,75 이상,계,6.03
금천구,75 이상,남,6.25
금천구,75 이상,여,5.88
구로구,계,계,6.91
구로구,계,남,7.0
구로구,계,여,6.85
구로구,19~44,계,7.21
구로구,19~44,남,7.21
구로구,19~44,여,7.21
구로구,45~64,계,6.78
구로구,45~64,남,6.88
구로구,45~64,여,6.71
구로구,65~74,계,6.67
구로구,65~74,남,6.52
구로구,65~74,여,6.77
구로구,75 이상,계,6.52
구로구,75 이상,남,7.31
구로구,75 이상,여,5.93
관악구,계,계,6.84
관악구,계,남,6.83
관악구,계,여,6.85
관악구,19~44,계,6.99
관악구,19~44,남,7.02
관악구,19~44,여,6.96
관악구,45~64,계,6.78
관악구,45~64,남,6.64
관악구,45~64,여,6.88
관악구,65~74,계,6.71
관악구,65~74,남,6.9
관악구,65~74,여,6.54
관악구,75 이상,계,6.51
관악구,75 이상,남,6.38
관악구,75 이상,여,6.63
강서구,계,계,6.71
강서구,계,남,6.55
강서구,계,여,6.85
강서구,19~44,계,6.76
강서구,19~44,남,6.57
강서구,19~44,여,6.95
강서구,45~64,계,6.59
강서구,45~64,남,6.53
강서구,45~64,여,6.63
강서구,65~74,계,6.8
강서구,65~74,남,6.41
강서구,65~74,여,7.1
강서구,75 이상,계,6.83
강서구,75 이상,남,6.72
강서구,75 이상,여,6.92
중랑구,계,계,6.83
중랑구,계,남,6.89
중랑구,계,여,6.79
중랑구,19~44,계,6.96
중랑구,19~44,남,7.19
중랑구,19~44,여,6.76
중랑구,45~64,계,6.83
중랑구,45~64,남,6.8
중랑구,45~64,여,6.84
중랑구,65~74,계,6.51
중랑구,65~74,남,6.26
중랑구,65~74,여,6.71
중랑구,75 이상,계,6.77
중랑구,75 이상,남,6.78
중랑구,75 이상,여,6.75
종로구,계,계,7.01
종로구,계,남,7.06
종로구,계,여,6.97
종로구,19~44,계,7.21
종로구,19~44,남,7.24
종로구,19~44,여,7.18
종로구,45~64,계,6.97
종로구,45~64,남,6.88
종로구,45~64,여,7.04
종로구,65~74,계,6.9
종로구,65~74,남,7.23
종로구,65~74,여,6.69
종로구,75 이상,계,6.67
종로구,75 이상,남,6.89
종로구,75 이상,여,6.53
은평구,계,계,6.64
은평구,계,남,6.61
은평구,계,여,6.66
은평구,19~44,계,6.96
은평구,19~44,남,7.05
은평구,19~44,여,6.9
은평구,45~64,계,6.49
은평구,45~64,남,6.24
은평구,45~64,여,6.69
은평구,65~74,계,6.5
은평구,65~74,남,6.67
은평구,65~74,여,6.38
은평구,75 이상,계,6.03
은평구,75 이상,남,6.12
은평구,75 이상,여,5.96
성북구,계,계,6.57
성북구,계,남,6.52
성북구,계,여,6.61
성북구,19~44,계,6.92
성북구,19~44,남,6.91
성북구,19~44,여,6.93
성북구,45~64,계,6.6
성북구,45~64,남,6.34
성북구,45~64,여,6.81
성북구,65~74,계,5.81
성북구,65~74,남,5.98
성북구,65~74,여,5.67
성북구,75 이상,계,5.65
성북구,75 이상,남,5.87
성북구,75 이상,여,5.51
서대문구,계,계,6.69
서대문구,계,남,6.76
서대문구,계,여,6.64
서대문구,19~44,계,6.92
서대문구,19~44,남,6.93
서대문구,19~44,여,6.92
서대문구,45~64,계,6.87
서대문구,45~64,남,6.89
서대문구,45~64,여,6.86
서대문구,65~74,계,6.3
서대문구,65~74,남,6.36
서대문구,65~74,여,6.27
서대문구,75 이상,계,5.84
서대문구,75 이상,남,6.23
서대문구,75 이상,여,5.53
도봉구,계,계,6.79
도봉구,계,남,6.78
도봉구,계,여,6.79
도봉구,19~44,계,6.95
도봉구,19~44,남,6.98
도봉구,19~44,여,6.93
도봉구,45~64,계,6.66
