지역,연령별,성별,중등도 신체활동 실천
노원구,계,남,8.0
노원구,계,여,3.0
노원구,19~44,계,3.4
노원구,19~44,남,4.6
노원구,19~44,여,2.6
노원구,45~64,계,7.4
노원구,45~64,남,11.8
노원구,45~64,여,4.1
노원구,65~74,계,7.7
노원구,65~74,남,11.4
노원구,65~74,여,4.3
노원구,75 이상,계,0.0
노원구,75 이상,남,0.0
노원구,75 이상,여,0.0
강북구,계,계,8.8
강북구,계,남,10.2
강북구,계,여,7.7
강북구,19~44,계,8.4
강북구,19~44,남,12.4
강북구,19~44,여,4.8
강북구,45~64,계,9.9
강북구,45~64,남,7.8
강북구,45~64,여,11.5
강북구,65~74,계,9.5
강북구,65~74,남,10.4
강북구,65~74,여,8.6
강북구,75 이상,계,4.5
강북구,75 이상,남,10.8
강북구,75 이상,여,0.0
중구,계,계,10.3
중구,계,남,14.9
중구,계,여,6.8
중구,19~44,계,10.4
중구,19~44,남,15.2
중구,19~44,여,6.3
중구,45~64,계,12.2
중구,45~64,남,15.7
중구,45~64,여,9.6
중구,65~74,계,9.9
중구,65~74,남,16.9
중구,65~74,여,4.8
중구,75 이상,계,3.4
중구,75 이상,남,6.2
중구,75 이상,여,1.8
용산구,계,계,13.4
용산구,계,남,16.8
용산구,계,여,10.9
용산구,19~44,계,11.4
용산구,19~44,남,14.3
용산구,19~44,여,9.3
용산구,45~64,계,15.7
용산구,45~64,남,19.4
용산구,45~64,여,12.7
용산구,65~74,계,17.6
용산구,65~74,남,17.8
용산구,65~74,여,17.5
용산구,75 이상,계,10.4
용산구,75 이상,남,17.8
용산구,75 이상,여,5.7
송파구,계,계,9.9
송파구,계,남,11.1
송파구,계,여,9.0
송파구,19~44,계,7.8
송파구,19~44,남,11.6
송파구,19~44,여,4.5
송파구,45~64,계,11.7
송파구,45~64,남,9.5
송파구,45~64,여,13.4
송파구,65~74,계,17.8
송파구,65~74,남,22.2
송파구,65~74,여,14.8
송파구,75 이상,계,1.8
송파구,75 이상,남,0.0
송파구,75 이상,여,3.1
성동구,계,계,11.4
성동구,계,남,13.2
성동구,계,여,9.7
성동구,19~44,계,10.6
성동구,19~44,남,12.2
성동구,19~44,여,9.1
성동구,45~64,계,11.7
성동구,45~64,남,11.0
성동구,45~64,여,12.3
성동구,65~74,계,16.5
성동구,65~74,남,25.0
성동구,65~74,여,9.2
성동구,75 이상,계,6.3
성동구,75 이상,남,10.0
성동구,75 이상,여,2.6
서초구,계,계,10.2
서초구,계,남,11.0
서초구,계,여,9.4
서초구,19~44,계,8.0
서초구,19~44,남,8.2
서초구,19~44,여,7.9
서초구,45~64,계,11.5
서초구,45~64,남,12.1
서초구,45~64,여,11.1
서초구,65~74,계,15.5
서초구,65~74,남,18.2
서초구,65~74,여,13.2
서초구,75 이상,계,8.9
서초구,75 이상,남,15.0
서초구,75 이상,여,4.0
동대문구,계,계,12.1
동대문구,계,남,12.4
동대문구,계,여,11.8
동대문구,19~44,계,10.5
동대문구,19~44,남,11.1
동대문구,19~44,여,10.0
동대문구,45~64,계,15.1
동대문구,45~64,남,14.1
동대문구,45~64,여,15.8
동대문구,65~74,계,10.1
동대문구,65~74,남,6.9
동대문구,65~74,여,13.0
동대문구,75 이상,계,12.0
동대문구,75 이상,남,24.3
동대문구,75 이상,여,4.8
광진구,계,계,7.8
광진구,계,남,10.4
광진구,계,여,5.5
광진구,19~44,계,9.7
광진구,19~44,남,12.9
광진구,19~44,여,6.8
광진구,45~64,계,4.7
광진구,45~64,남,6.4
광진구,45~64,여,3.4
광진구,65~74,계,7.6
광진구,65~74,남,5.9
광진구,65~74,여,9.0
광진구,75 이상,계,10.3
광진구,75 이상,남,20.7
광진구,75 이상,여,0.0
강동구,계,계,17.2
강동구,계,남,21.2
강동구,계,여,14.0
강동구,19~44,계,14.2
강동구,19~44,남,17.4
강동구,19~44,여,11.1
강동구,45~64,계,20.0
강동구,45~64,남,24.8
강동구,45~64,여,16.6
강동구,65~74,계,21.5
강동구,65~74,남,25.0
강동구,65~74,여,18.0
강동구,75 이상,계,9.8
강동구,75 이상,남,16.7
