지역,연령별,성별,체중조절 경험 여부
서울시,계,계,65.7
서울시,계,남,58.5
서울시,계,여,71.7
서울시,19~44,계,72.9
서울시,19~44,남,65.1
서울시,19~44,여,79.7
서울시,45~64,계,67.8
서울시,45~64,남,58.2
서울시,45~64,여,75.2
서울시,65~74,계,55.3
서울시,65~74,남,48.4
서울시,65~74,여,60.6
서울시,75 이상,계,35.4
서울시,75 이상,남,37.6
서울시,75 이상,여,33.7
영등포구,계,계,64.2
영등포구,계,남,54.5
영등포구,계,여,72.6
영등포구,19~44,계,70.0
영등포구,19~44,남,58.9
영등포구,19~44,여,80.2
영등포구,45~64,계,64.9
영등포구,45~64,남,52.4
영등포구,45~64,여,76.2
영등포구,65~74,계,59.3
영등포구,65~74,남,56.8
영등포구,65~74,여,61.2
영등포구,75 이상,계,28.8
영등포구,75 이상,남,30.8
영등포구,75 이상,여,27.5
양천구,계,계,66.5
양천구,계,남,58.9
양천구,계,여,72.9
양천구,19~44,계,68.3
양천구,19~44,남,61.6
양천구,19~44,여,74.1
양천구,45~64,계,72.1
양천구,45~64,남,61.8
양천구,45~64,여,80.1
양천구,65~74,계,58.5
양천구,65~74,남,55.4
양천구,65~74,여,61.3
양천구,75 이상,계,33.3
양천구,75 이상,남,32.1
양천구,75 이상,여,34.5
마포구,계,계,64.1
마포구,계,남,56.9
마포구,계,여,69.7
마포구,19~44,계,70.7
마포구,19~44,남,63.4
마포구,19~44,여,77.2
마포구,45~64,계,69.1
마포구,45~64,남,53.8
마포구,45~64,여,80.7
마포구,65~74,계,52.8
마포구,65~74,남,52.4
마포구,65~74,여,52.9
마포구,75 이상,계,27.6
마포구,75 이상,남,38.9
마포구,75 이상,여,17.5
동작구,계,계,69.6
동작구,계,남,65.8
동작구,계,여,72.9
동작구,19~44,계,74.0
동작구,19~44,남,70.1
동작구,19~44,여,77.7
동작구,45~64,계,71.2
동작구,45~64,남,65.8
동작구,45~64,여,75.9
동작구,65~74,계,62.2
동작구,65~74,남,59.2
동작구,65~74,여,64.3
동작구,75 이상,계,44.1
동작구,75 이상,남,46.4
동작구,75 이상,여,41.9
금천구,계,계,63.0
금천구,계,남,53.0
금천구,계,여,70.8
금천구,19~44,계,70.7
금천구,19~44,남,61.8
금천구,19~44,여,78.0
금천구,45~64,계,64.0
금천구,45~64,남,49.7
금천구,45~64,여,75.0
금천구,65~74,계,53.5
금천구,65~74,남,43.1
금천구,65~74,여,62.3
금천구,75 이상,계,36.6
금천구,75 이상,남,42.9
금천구,75 이상,여,32.6
구로구,계,계,70.7
구로구,계,남,61.2
구로구,계,여,77.6
구로구,19~44,계,77.9
구로구,19~44,남,72.2
구로구,19~44,여,82.1
구로구,45~64,계,72.5
구로구,45~64,남,58.2
구로구,45~64,여,82.7
구로구,65~74,계,59.7
구로구,65~74,남,47.9
구로구,65~74,여,67.6
구로구,75 이상,계,45.3
구로구,75 이상,남,43.8
구로구,75 이상,여,46.5
관악구,계,계,65.5
관악구,계,남,57.3
관악구,계,여,72.8
관악구,19~44,계,73.3
관악구,19~44,남,66.5
관악구,19~44,여,80.7
관악구,45~64,계,67.2
관악구,45~64,남,54.5
관악구,45~64,여,76.2
관악구,65~74,계,56.9
관악구,65~74,남,46.0
관악구,65~74,여,66.1
관악구,75 이상,계,30.0
관악구,75 이상,남,30.8
관악구,75 이상,여,29.3
강서구,계,계,60.3
강서구,계,남,49.5
강서구,계,여,69.7
강서구,19~44,계,66.7
강서구,19~44,남,52.7
강서구,19~44,여,80.4
강서구,45~64,계,61.7
강서구,45~64,남,52.0
강서구,45~64,여,69.3
강서구,65~74,계,54.8
강서구,65~74,남,47.8
강서구,65~74,여,60.3
강서구,75 이상,계,21.5
강서구,75 이상,남,17.2
강서구,75 이상,여,25.0
중랑구,계,계,65.8
중랑구,계,남,53.1
중랑구,계,여,75.7
중랑구,19~44,계,75.2
중랑구,19~44,남,64.3
중랑구,19~44,여,84.5
중랑구,45~64,계,69.1
중랑구,45~64,남,51.1
중랑구,45~64,여,81.3
중랑구,65~74,계,47.7
중랑구,65~74,남,36.8
중랑구,65~74,여,56.3
중랑구,75 이상,계,30.3
중랑구,75 이상,남,31.2
중랑구,75 이상,여,29.4
종로구,계,계,58.8
종로구,계,남,55.7
종로구,계,여,61.3
종로구,19~44,계,74.8
종로구,19~44,남,71.4
종로구,19~44,여,77.8
종로구,45~64,계,60.0
종로구,45~64,남,51.2
종로구,45~64,여,67.2
종로구,65~74,계,43.6
종로구,65~74,남,45.3
종로구,65~74,여,42.5
종로구,75 이상,계,21.6
종로구,75 이상,남,26.3
종로구,75 이상,여,18.6
은평구,계,계,59.5
은평구,계,남,51.9
은평구,계,여,65.3
은평구,19~44,계,64.3
은평구,19~44,남,54.4
은평구,19~44,여,72.1
은평구,45~64,계,65.1
은평구,45~64,남,57.1
은평구,45~64,여,71.4
은평구,65~74,계,50.4
은평구,65~74,남,46.9
은평구,65~74,여,52.9
은평구,75 이상,계,26.2
은평구,75 이상,남,23.5
은평구,75 이상,여,28.3
성북구,계,계,66.4
성북구,계,남,57.8
성북구,계,여,73.6
성북구,19~44,계,75.0
성북구,19~44,남,66.3
성북구,19~44,여,83.0
성북구,45~64,계,64.3
성북구,45~64,남,53.3
성북구,45~64,여,72.8
성북구,65~74,계,61.0
성북구,65~74,남,47.8
성북구,65~74,여,72.2
성북구,75 이상,계,40.0
성북구,75 이상,남,41.9
성북구,75 이상,여,38.8
서대문구,계,계,56.4
서대문구,계,남,54.1
서대문구,계,여,58.3
서대문구,19~44,계,63.9
