지역,연령별,성별,체중조절 경험 여부
서대문구,19~44,남,59.8
서대문구,19~44,여,67.5
서대문구,45~64,계,62.2
서대문구,45~64,남,58.8
서대문구,45~64,여,64.7
서대문구,65~74,계,39.7
서대문구,65~74,남,39.3
서대문구,65~74,여,40.0
서대문구,75 이상,계,35.7
서대문구,75 이상,남,36.4
서대문구,75 이상,여,35.2
도봉구,계,계,57.9
도봉구,계,남,49.5
도봉구,계,여,64.6
도봉구,19~44,계,68.2
도봉구,19~44,남,57.1
도봉구,19~44,여,77.7
도봉구,45~64,계,57.3
도봉구,45~64,남,46.9
도봉구,45~64,여,65.2
도봉구,65~74,계,54.3
도봉구,65~74,남,56.4
도봉구,65~74,여,52.7
도봉구,75 이상,계,21.1
도봉구,75 이상,남,15.2
도봉구,75 이상,여,25.6
노원구,계,계,55.2
노원구,계,남,46.8
노원구,계,여,61.3
노원구,19~44,계,67.0
노원구,19~44,남,58.3
노원구,19~44,여,73.5
노원구,45~64,계,53.1
노원구,45~64,남,43.8
노원구,45~64,여,60.4
노원구,65~74,계,37.4
노원구,65~74,남,25.0
노원구,65~74,여,48.9
노원구,75 이상,계,21.6
노원구,75 이상,남,11.8
노원구,75 이상,여,24.6
강북구,계,계,70.8
강북구,계,남,62.3
강북구,계,여,77.6
강북구,19~44,계,77.3
강북구,19~44,남,67.3
강북구,19~44,여,86.3
강북구,45~64,계,75.2
강북구,45~64,남,68.8
강북구,45~64,여,79.9
강북구,65~74,계,59.5
강북구,65~74,남,44.8
강북구,65~74,여,71.6
강북구,75 이상,계,47.7
강북구,75 이상,남,45.9
강북구,75 이상,여,49.0
중구,계,계,67.1
중구,계,남,61.3
중구,계,여,71.6
중구,19~44,계,76.3
중구,19~44,남,71.3
중구,19~44,여,80.6
중구,45~64,계,71.3
중구,45~64,남,63.6
중구,45~64,여,77.1
중구,65~74,계,55.6
중구,65~74,남,44.1
중구,65~74,여,63.9
중구,75 이상,계,32.2
중구,75 이상,남,31.2
중구,75 이상,여,32.7
용산구,계,계,72.8
용산구,계,남,72.2
용산구,계,여,73.3
용산구,19~44,계,80.0
용산구,19~44,남,75.6
용산구,19~44,여,83.3
용산구,45~64,계,69.9
용산구,45~64,남,68.7
용산구,45~64,여,70.9
용산구,65~74,계,74.1
용산구,65~74,남,75.6
용산구,65~74,여,73.0
용산구,75 이상,계,54.8
용산구,75 이상,남,66.7
용산구,75 이상,여,47.1
송파구,계,계,64.3
송파구,계,남,54.6
송파구,계,여,72.4
송파구,19~44,계,73.5
송파구,19~44,남,65.2
송파구,19~44,여,80.8
송파구,45~64,계,63.4
송파구,45~64,남,50.6
송파구,45~64,여,74.1
송파구,65~74,계,52.2
송파구,65~74,남,36.1
송파구,65~74,여,63.0
송파구,75 이상,계,20.0
송파구,75 이상,남,21.7
송파구,75 이상,여,18.8
성동구,계,계,69.7
성동구,계,남,60.7
성동구,계,여,77.7
성동구,19~44,계,76.1
성동구,19~44,남,65.6
성동구,19~44,여,85.6
성동구,45~64,계,70.3
성동구,45~64,남,61.6
성동구,45~64,여,77.8
성동구,65~74,계,64.5
성동구,65~74,남,51.8
성동구,65~74,여,75.4
성동구,75 이상,계,42.3
성동구,75 이상,남,46.2
성동구,75 이상,여,38.5
서초구,계,계,71.1
서초구,계,남,67.7
서초구,계,여,73.8
서초구,19~44,계,74.1
서초구,19~44,남,70.4
서초구,19~44,여,77.1
서초구,45~64,계,74.9
서초구,45~64,남,71.8
서초구,45~64,여,77.4
서초구,65~74,계,56.7
서초구,65~74,남,52.3
서초구,65~74,여,60.4
서초구,75 이상,계,44.4
서초구,75 이상,남,45.0
서초구,75 이상,여,44.0
동대문구,계,계,63.4
동대문구,계,남,56.0
동대문구,계,여,69.9
동대문구,19~44,계,70.0
동대문구,19~44,남,60.5
동대문구,19~44,여,80.0
동대문구,45~64,계,69.9
동대문구,45~64,남,60.9
동대문구,45~64,여,76.6
동대문구,65~74,계,45.6
동대문구,65~74,남,37.5
동대문구,65~74,여,53.2
동대문구,75 이상,계,46.0
동대문구,75 이상,남,51.4
동대문구,75 이상,여,42.9
광진구,계,계,70.9
광진구,계,남,64.7
광진구,계,여,76.1
광진구,19~44,계,77.3
광진구,19~44,남,68.8
광진구,19~44,여,85.0
광진구,45~64,계,72.6
광진구,45~64,남,66.4
광진구,45~64,여,77.5
광진구,65~74,계,62.7
광진구,65~74,남,54.9
광진구,65~74,여,68.7
광진구,75 이상,계,31.0
광진구,75 이상,남,44.8
광진구,75 이상,여,17.2
강동구,계,계,71.5
강동구,계,남,66.3
강동구,계,여,75.8
강동구,19~44,계,75.9
강동구,19~44,남,69.6
강동구,19~44,여,82.1
강동구,45~64,계,72.7
강동구,45~64,남,66.0
강동구,45~64,여,77.4
강동구,65~74,계,62.8
강동구,65~74,남,58.3
강동구,65~74,여,67.2
강동구,75 이상,계,51.0
강동구,75 이상,남,61.1
강동구,75 이상,여,45.5
강남구,계,계,78.3
강남구,계,남,69.7
강남구,계,여,85.0
강남구,19~44,계,80.6
강남구,19~44,남,74.5
강남구,19~44,여,85.4
강남구,45~64,계,81.2
강남구,45~64,남,69.9
강남구,45~64,여,89.5
강남구,65~74,계,65.6
강남구,65~74,남,57.1
강남구,65~74,여,72.9
강남구,75 이상,계,50.0
강남구,75 이상,남,43.8
강남구,75 이상,여,56.2
