,제공기관명,관리번호,공원명,공원구분,소재지지번주소,위도,경도,공원면적,지정고시일,데이터기준일자,시도,자치구
753,서울특별시 강동구,11740-00047,원터공원,근린공원,서울특별시 강동구 명일2동 37,37.5524155,127.1430368,24508.5,1982-04-29,2020-09-11,서울특별시,강동구
754,서울특별시 강동구,11740-00048,송림공원,근린공원,서울특별시 강동구 고덕동 310,37.5550473189,127.1539494150,11491.0,1982-04-29,2020-09-11,서울특별시,강동구
755,서울특별시 강동구,11740-00049,까치공원,근린공원,서울특별시 강동구 고덕1동 493,37.557079,127.149995,19464.8,1982-04-29,2020-09-11,서울특별시,강동구
756,서울특별시 강동구,11740-00050,두레공원,근린공원,서울특별시 강동구 고덕1동 497,37.558206,127.152203,13460.2,1982-04-29,2020-09-11,서울특별시,강동구
757,서울특별시 강동구,11740-00051,동자공원,근린공원,서울특별시 강동구 고덕1동 648,37.559711,127.152467,6416.6,1982-04-29,2020-09-11,서울특별시,강동구
761,서울특별시 강동구,11740-00010,샛별공원,어린이공원,서울특별시 강동구 성내1동 566,37.526993,127.127036,2391.6,1972-11-06,2020-09-11,서울특별시,강동구
763,서울특별시 강동구,11740-00011,달님공원,어린이공원,서울특별시 강동구 길동 405-21,37.5362103810,127.142551,998.6,1972-11-06,2020-09-11,서울특별시,강동구
764,서울특별시 강동구,11740-00012,무궁화공원,어린이공원,서울특별시 강동구 길동 340-17,37.5423345,127.1454037940,996.3,1972-11-06,2020-09-11,서울특별시,강동구
765,서울특별시 강동구,11740-00013,희망공원,어린이공원,서울특별시 강동구 길동 365-6,37.539039,127.142255,992.4,1972-11-06,2020-09-11,서울특별시,강동구
766,서울특별시 강동구,11740-00014,성심공원,어린이공원,서울특별시 강동구 길동 386-1,37.5383145806,127.137376,992.3,1972-11-06,2020-09-11,서울특별시,강동구
767,서울특별시 강동구,11740-00015,샘물공원,어린이공원,서울특별시 강동구 명일1동 315-1,37.5510159,127.1447414,992.1,1972-11-06,2020-09-11,서울특별시,강동구
768,서울특별시 강동구,11740-00016,염주골공원,어린이공원,서울특별시 강동구 명일1동 326-10,37.549932,127.1456058981,991.3,1972-11-06,2020-09-11,서울특별시,강동구
769,서울특별시 강동구,11740-00017,성내천공원,어린이공원,서울특별시 강동구 성내1동 463-4,37.526764,127.123929,1413.6,1974-12-06,2020-09-11,서울특별시,강동구
770,서울특별시 강동구,11740-00018,새장터공원,어린이공원,서울특별시 강동구 암사1동 468-2,37.5521262416,127.130563,1592.0,1976-04-22,2020-09-11,서울특별시,강동구
771,서울특별시 강동구,11740-00019,광나루공원,어린이공원,서울특별시 강동구 암사2동 515,37.5500717,127.1255453934,1637.7,1976-04-22,2020-09-11,서울특별시,강동구
772,서울특별시 강동구,11740-00020,볕우물공원,어린이공원,서울특별시 강동구 암사1동 453-8,37.553613,127.135704,1552.8,1976-04-22,2020-09-11,서울특별시,강동구
773,서울특별시 강동구,11740-00021,구암공원,어린이공원,서울특별시 강동구 암사3동 449-8,37.556567,127.137608,1647.8,1976-04-22,2020-09-11,서울특별시,강동구
